"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"2:41:00::"	"firemen"	"themselves"	"san_francisco"	"last"	"san_francisco_firemen"	"firemen_themselves"	"themselves_last"	"∅_san_francisco_firemen"	"san_francisco_firemen_themselves"	"firemen_themselves_last"	"themselves_last_week"	"ε"	"NN"	"NNS"	"VB"	"PRP"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"firemen"	"busy"	"themselves"	"last"	"week"	"with"	"their"	"annual"	"voluntary"	"task"	"of"	"fix"	"toys"	"for"	"distribution"	"to"	"needy"	"children"	
"3:00:00::"	"family"	"."	"the"	"∅"	"the_family"	"family_."	"._∅"	"keep_the_family"	"the_family_."	"family_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"break"	"the"	"monotony"	"it"	"may"	"be"	"to"	"invent"	"task"	"that"	"will"	"keep"	"the"	"family"	"busy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"as"	"mind"	"he"	"mind_be"	"be_as"	"as_he"	"his_mind_be"	"mind_be_as"	"be_as_he"	"as_he_consider"	"PRP$"	"NN"	"VB"	"JJ"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"make"	"some"	"comment"	"his"	"mind"	"be"	"busy"	"as"	"he"	"consider"	"the"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"far"	"and"	"be"	"more"	"be_far"	"far_and"	"and_more"	"of_be_far"	"be_far_and"	"far_and_more"	"and_more_prosperous"	"IN"	"VB"	"RB"	"JJ"	"CC"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"no"	"larger"	"than"	"location"	"this"	"mining"	"town"	"have"	"the"	"appearance"	"of"	"be"	"far"	"busy"	"and"	"more"	"prosperous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:active:06"	"the"	"street"	"scan"	"below"	"scan_the"	"the_street"	"street_below"	"feverishly_scan_the"	"scan_the_street"	"the_street_below"	"street_below_."	"RB"	"VB"	"DT"	"JJ"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"the"	"porch"	"rail"	"beyond"	"view"	"of"	"bar"	"window"	"he"	"feverishly"	"scan"	"the"	"busy"	"street"	"below"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"creature"	"myriad"	"that"	"myriad_of"	"of_creature"	"creature_that"	"a_myriad_of"	"myriad_of_creature"	"of_creature_that"	"creature_that_had"	"DT"	"NN"	"IN"	"JJ"	"NN"	"WDT"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"nine"	"o'clock"	"in"	"the"	"morning"	"the"	"hour"	"which"	"like"	"a"	"spade"	"turn"	"clod"	"of"	"earth"	"expose"	"the"	"day"	"a"	"myriad"	"of"	"busy"	"creature"	"that"	"had"	"lie_dormant"	"in"	"the"	"quiet"	"night"	"0"	"0"	"0"	"0"	
"3:00:00::"	"so"	"."	"be"	"∅"	"be_so"	"so_."	"._∅"	"we_be_so"	"be_so_."	"so_._∅"	"._∅_∅"	"PRP"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"we"	"so"	"busy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:fancy:00"	"``"	"''"	"a"	"overture"	"a_``"	"``_''"	"''_overture"	"after_a_``"	"a_``_''"	"``_''_overture"	"''_overture_,"	"IN"	"DT"	"ε"	"JJ"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"busy"	"overture"	"the"	"curtain"	"rise"	"on"	"a"	"farm"	"scene"	"the"	"location"	"in"	"northern"	"maine"	"0"	"0"	"0"	"0"	
"5:00:00:intrusive:01"	"a"	"week"	"open"	"for"	"open_a"	"a_week"	"week_for"	"game_open_a"	"open_a_week"	"a_week_for"	"week_for_group"	"NN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"open"	"a"	"busy"	"week"	"for"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"very"	"mission"	"a"	"."	"a_very"	"very_mission"	"mission_."	"of_a_very"	"a_very_mission"	"very_mission_."	"mission_._∅"	"IN"	"DT"	"RB"	"JJ"	"NN"	"ε"	"ε"	"like"	"to"	"enact"	"a"	"little"	"tableau"	"this"	"afternoon"	"person"	"say"	"he"	"explain"	"about"	"the"	"visit"	"and"	"the"	"effect"	"he"	"wish"	"to"	"create"	"picture"	"of"	"a"	"very"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"very"	"today"	"appear"	","	"appear_very"	"very_today"	"today_,"	"to_appear_very"	"appear_very_today"	"very_today_,"	"today_,_not"	"TO"	"VB"	"RB"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"like"	"to"	"appear"	"very"	"busy"	"today"	"not"	"busy"	"exactly"	"but"	"joyous"	"exuberant"	"full_of_life"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"not"	"exactly"	","	","	",_not"	"not_exactly"	"exactly_,"	"today_,_not"	",_not_exactly"	"not_exactly_,"	"exactly_,_but"	"NN"	"ε"	"RB"	"JJ"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"like"	"them"	"to"	"very"	"busy"	"today"	"not"	"busy"	"exactly"	"but"	"joyous"	"exuberant"	"full_of_life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
