"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"1:06:00::"	"in"	"in"	"and"	"the"	"and_in"	"in_in"	"in_the"	"airport_and_in"	"and_in_in"	"in_in_the"	"in_the_street"	"NN"	"CC"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"hole"	"in"	"at"	"the"	"airport"	"and"	"in"	"car"	"in"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"parked"	"then"	"and"	"and"	"and_parked"	"parked_then"	"then_and"	"traffic_and_parked"	"and_parked_then"	"parked_then_and"	"then_and_for"	"NN"	"CC"	"JJ"	"NN"	"RB"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"street"	"that"	"be"	"now"	"of"	"traffic"	"and"	"parked"	"car"	"then"	"and"	"for"	"many"	"year"	"drowse"	"on"	"an"	"august"	"afternoon"	"in"	"the"	"shade"	"of"	"the"	"curbside"	"tree"	"and"	"silence"	"be"	"a"	"weight"	"almost"	"palpable"	"in"	"the"	"air"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"front_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"grin"	"nod"	"and"	"walk_around"	"the"	"front"	"of"	"the"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"with"	"around"	"the"	"around_the"	"the_with"	"with_the"	"come_back_around_the"	"around_the_with"	"the_with_the"	"with_the_boot"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"catch"	"her"	"come_back"	"around"	"the"	"car"	"with"	"the"	"boot"	"wearer"	"teeter"	"half"	"mincing"	"walk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"lurch"	"∅"	"along"	"∅_the"	"the_lurch"	"lurch_along"	"∅_∅_the"	"∅_the_lurch"	"the_lurch_along"	"lurch_along_at"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"car"	"lurch"	"along"	"at"	"a"	"snail"	"crawl"	"the"	"left"	"front"	"mudguard"	"bang"	"and"	"scrape"	"against"	"the"	"tire"	"occasionally"	"scrape"	"against"	"the"	"road"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"fix"	"choose"	"fix_the"	"the_,"	",_choose"	",_fix_the"	"fix_the_,"	"the_,_choose"	",_choose_where"	"ε"	"VB"	"DT"	"NN"	"ε"	"VB"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"few"	"wife"	"say"	"person"	"who"	"balance"	"the"	"fix"	"the"	"car"	"choose"	"where"	"the"	"family"	"will"	"live"	"and"	"deal"	"with"	"the"	"tradesman"	"are"	"suddenly"	"going_to"	"become"	"submissive"	"where"	"sex"	"is"	"concern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	","	"leave"	"and"	"leave_his"	"his_,"	",_and"	"had_leave_his"	"leave_his_,"	"his_,_and"	",_and_a_few"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"taxi"	"take"	"him"	"back"	"to"	"the"	"and"	"grill"	"where"	"he"	"had"	"leave"	"his"	"car"	"and"	"a_few"	"minute"	"later"	"he"	"find"	"a"	"parking_space"	"across"	"the"	"street"	"from"	"his"	"apartment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"with"	"in"	"his"	"in_his"	"his_with"	"with_his"	"be_in_his"	"in_his_with"	"his_with_his"	"with_his_camera"	"VB"	"IN"	"PRP$"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"in"	"his"	"car"	"with"	"his"	"camera"	"and"	"equipment"	"bag"	"in"	"less_than"	"two"	"minute"	"and"	"it"	"take"	"him"	"only"	"three"	"more"	"to"	"reach"	"the"	"corner"	"a"	"block"	"from"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"parked"	"to"	"between"	"reach"	"between_parked"	"parked_to"	"to_reach"	"squeeze_between_parked"	"between_parked_to"	"parked_to_reach"	"to_reach_the"	"VB"	"IN"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"cross"	"the"	"narrow"	"squeeze"	"between"	"parked"	"car"	"to"	"reach"	"the"	"sidewalk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"that"	"thumb"	"was"	"thumb_a"	"a_that"	"that_was"	"listlessly_thumb_a"	"thumb_a_that"	"a_that_was"	"that_was_slowly"	"RB"	"VB"	"DT"	"NN"	"WDT"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"nurse"	"anger"	"listlessly"	"thumb"	"a"	"car"	"that"	"was"	"slowly"	"approach"	"its"	"prewar"	"chrome"	"nearly"	"blind"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"frame"	"and"	"a"	"and_the"	"the_frame"	"frame_a"	"jowl_and_the"	"and_the_frame"	"the_frame_a"	"frame_a_handsome"	"NN"	"CC"	"DT"	"NN"	"NN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"squeeze"	"a"	"look"	"between"	"fat"	"jowl"	"and"	"the"	"car"	"frame"	"a"	"handsome"	"and"	"still"	"dark-haired"	"lady"	"inquire"	"y_'_all_drahve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"were"	"whose"	"there"	"driver"	"there_were"	"were_whose"	"whose_driver"	"as_there_were"	"there_were_whose"	"were_whose_driver"	"whose_driver_apparently"	"IN"	"EX"	"VBD"	"NN"	"WP$"	"NN"	"RB"	"on"	"the"	"accelerator"	"only"	"to"	"gradually"	"reach"	"again"	"the"	"mph"	"which"	"would"	"i"	"hope"	"overhaul"	"person"	"and"	"the"	"blonde"	"and"	"as"	"there"	"were"	"whose"	"driver"	"apparently"	"have"	"something"	"more"	"important"	"to"	"catch"	"than"	"had"	"i"	"person"	"settle_down"	"to"	"practice"	"on"	"person"	"the"	"kittenish"	"wile"	"she"	"would"	"need"	"when"	"make"	"her"	"duty"	"call"	"on"	"colonel"	"and"	"mrs"	"somebody"	"in"	"location"	
"1:06:00::"	"big"	"was"	"a"	"approach"	"a_big"	"big_was"	"was_approach"	"∅_a_big"	"a_big_was"	"big_was_approach"	"was_approach_,"	"ε"	"DT"	"JJ"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"big"	"car"	"was"	"approach"	"its"	"chrome"	"tooth"	"grinning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"another"	"was"	"∅"	"come"	"∅_another"	"another_was"	"was_come"	"∅_∅_another"	"∅_another_was"	"another_was_come"	"was_come_,"	"ε"	"ε"	"JJ"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"car"	"was"	"come"	"a"	"tiny"	"dark"	"shape"	"on"	"a"	"far"	"hill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
