"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"
"4:02:00::"	"plan"	"."	"be"	"∅"	"be_plan"	"plan_."	"._∅"	"should_be_plan"	"be_plan_."	"plan_._∅"	"._∅_∅"	"MD"	"VB"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"water"	"rationing"	"will"	"be"	"and"	"should"	"be"	"plan"	"carefully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"you"	"examine"	"have"	"the"	"have_you"	"you_examine"	"examine_the"	"∅_have_you"	"have_you_examine"	"you_examine_the"	"examine_the_selling"	"ε"	"VBP"	"PRP"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"carefully"	"examine"	"the"	"selling"	"technique"	"which"	"best"	"suit"	"your"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"you"	"police"	"are"	"washup"	"are_you"	"you_police"	"police_washup"	"∅_are_you"	"are_you_police"	"you_police_washup"	"police_washup_time"	"ε"	"VBP"	"PRP"	"RB"	"VB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"carefully"	"police"	"washup"	"time"	"and"	"rest"	"period"	"to"	"be"	"certain"	"that"	"all"	"time"	"be"	"productive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"restrict"	"association"	"your"	"association_and"	"and_restrict"	"restrict_your"	"employee_association_and"	"association_and_restrict"	"and_restrict_your"	"restrict_your_plant"	"NN"	"NN"	"CC"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"consider"	"delegate"	"operational"	"to"	"your"	"employee"	"association"	"and"	"carefully"	"restrict"	"your"	"plant"	"financial"	"contribution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"choose"	"between"	"∅"	"contributory"	"∅_choose"	"choose_between"	"between_contributory"	"∅_∅_choose"	"∅_choose_between"	"choose_between_contributory"	"between_contributory_or"	"ε"	"ε"	"VB"	"RB"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"carefully"	"between"	"contributory"	"or"	"non"	"contributory"	"pension"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"a"	"planned"	"advocate"	","	"advocate_a"	"a_planned"	"planned_,"	"has_advocate_a"	"advocate_a_planned"	"a_planned_,"	"planned_,_balanced"	"VBZ"	"VB"	"DT"	"RB"	"JJ"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"past"	"year"	"has"	"advocate"	"a"	"carefully"	"planned"	"balanced"	"and"	"competitive"	"railway_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"been"	"study"	"not"	"in"	"not_been"	"been_study"	"study_in"	"have_not_been"	"not_been_study"	"been_study_in"	"study_in_the"	"VBP"	"RB"	"VBN"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"evangelism"	"and"	"congregational"	"have"	"not"	"been"	"carefully"	"study"	"in"	"the"	"church"	"one"	"study"	"in"	"pittsburgh"	"however"	"has"	"illuminate"	"the"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"but"	"lower"	"quickly"	"my"	"quickly_but"	"but_lower"	"lower_my"	"∅_quickly_but"	"quickly_but_lower"	"but_lower_my"	"lower_my_duffel_bag"	"ε"	"RB"	"CC"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"carefully"	"lower"	"my"	"duffel_bag"	"over"	"the"	"low"	"side"	"rack"	"i"	"step_on"	"the"	"running_board"	"it"	"flop"	"down"	"spring"	"back"	"up"	"and"	"gouge"	"my"	"shin"	
"4:02:00::"	"choose"	"so"	"are"	"that"	"are_choose"	"choose_so"	"so_that"	"subordinate_are_choose"	"are_choose_so"	"choose_so_that"	"so_that_they"	"NN"	"VBP"	"VB"	"RB"	"RB"	"RB"	"PRP"	"upon"	"which"	"the"	"example"	"show"	"in"	"figure"	"is"	"base"	"be"	"a"	"one"	"man"	"can"	"direct"	"about"	"six"	"subordinate"	"if"	"subordinate"	"are"	"choose"	"so"	"that"	"they"	"do"	"not"	"need"	"too_much"	"personal"	"coach"	"indoctrinate"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"drive"	","	"now"	"for_god's_sake"	"now_drive"	"drive_,"	",_for_god's_sake"	"``_now_drive"	"now_drive_,"	"drive_,_for_god's_sake"	",_for_god's_sake_''"	"ε"	"RB"	"VB"	"RB"	"ε"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"carefully"	"for_god's_sake"	"she"	"call"	"try"	"to"	"attain"	"a"	"half"	"humorous"	"resentment"	"at"	"his"	"departure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
