"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"
"2:35:00::"	","	"consecutive"	"style"	"grand-slam"	"style_,"	",_consecutive"	"consecutive_grand-slam"	"unprecedented_style_,"	"style_,_consecutive"	",_consecutive_grand-slam"	"consecutive_grand-slam_home_runs"	"JJ"	"NN"	"ε"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"year"	"when"	"amiable"	"jim_gentile"	"of"	"the"	"baltimore_orioles"	"amble"	"to"	"the"	"plate"	"consecutive"	"innings"	"with"	"the"	"bases"	"loaded"	"and"	"in"	"unprecedented"	"style"	"deliver"	"consecutive"	"grand-slam"	"home_runs"	"willie_mays"	"of"	"the"	"san_francisco"	"giants"	"borrow"	"a"	"teammate"	"bat"	"and"	"become"	"the"	"ninth"	"big_leaguer"	"to"	"stroke"	"four"	"home_runs"	"in"	"a"	"game"	"the"	"milwaukee_braves"	"tie"	"a"	"major-league"	"record"	"with"	"fourteen"	"home_runs"	"in"	"three"	"games"	"and"	"lose"	"two"	"of"	"them"	"and"	"catcher"	"johnny_blanchard"	"of"	"the"	"new_york"	"yankees"	"match"	"a"	"record"	"with"	"home_runs"	"in"	"four"	"successive"	"times"	"at"	"bat"	"two"	"of"	"them"	"as"	"a"	"pinch-hitter"	
"2:32:00::"	"be"	"by"	"will"	"gerald_t._owens"	"will_be"	"be_by"	"by_gerald_t._owens"	"address_will_be"	"will_be_by"	"be_by_gerald_t._owens"	"by_gerald_t._owens_,"	"NN"	"MD"	"VB"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"principal"	"will"	"be"	"deliver"	"by"	"gerald_t._owens"	"national"	"sales"	"manager"	"for"	"isodine_pharmical_corp."	"of"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"speeches"	"at"	"of"	"the"	"of_speeches"	"speeches_at"	"at_the"	"copies_of_speeches"	"of_speeches_at"	"speeches_at_the"	"at_the_governor"	"NNS"	"IN"	"NNS"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"special"	"mailings"	"by"	"industrial_division"	"include"	"copies"	"of"	"speeches"	"deliver"	"at"	"the"	"governor"	"conference"	"letters"	"and"	"brochures"	"to"	"conferees"	"at"	"med-chemical_symposium"	"at"	"university"	"of"	"rhode_island"	"and"	"letters"	"and"	"reprints"	"of"	"industrial"	"advertisements"	"to"	"such"	"organizations"	"as"	"society"	"of"	"industrial"	"realtors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"will"	"tomorrow"	"he"	"night"	"he_will"	"will_tomorrow"	"tomorrow_night"	"address_he_will"	"he_will_tomorrow"	"will_tomorrow_night"	"tomorrow_night_to"	"NN"	"PRP"	"MD"	"VB"	"NN"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"today"	"push_aside"	"white_house"	"business"	"to"	"devote"	"all"	"his"	"and"	"attention"	"to"	"work_on"	"the"	"berlin"	"crisis"	"address"	"he"	"will"	"deliver"	"tomorrow"	"night"	"to"	"the"	"american"	"people"	"over"	"nationwide"	"television"	"and"	"radio"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"into"	"a"	"draw"	"public"	"draw_into"	"into_a"	"a_public"	"be_draw_into"	"draw_into_a"	"into_a_public"	"a_public_ultimatum"	"VB"	"VB"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"already"	"two"	"quiet"	"demands"	"down"	"still"	"thursday"	"to"	"be"	"draw"	"into"	"deliver"	"a"	"public"	"ultimatum"	"to"	"moscow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"by"	"coal"	"ship"	"coal_,"	",_by"	"by_ship"	"virginia_coal_,"	"coal_,_by"	",_by_ship"	"by_ship_in"	"NNP"	"NN"	"ε"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"virginia"	"deliver"	"by"	"ship"	"in"	"wales"	"will"	"be"	"about"	"a"	"ton"	"cheaper"	"than"	"welsh"	"coal"	"deliver"	"by"	"rail"	"from"	"nearby"	"mines"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"coal"	"by"	"welsh"	"rail"	"welsh_coal"	"coal_by"	"by_rail"	"than_welsh_coal"	"welsh_coal_by"	"coal_by_rail"	"by_rail_from"	"IN"	"NNP"	"NN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"virginia"	"coal"	"deliver"	"by"	"ship"	"in"	"wales"	"will"	"be"	"a"	"ton"	"cheaper"	"than"	"welsh"	"coal"	"deliver"	"by"	"rail"	"from"	"nearby"	"mines"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"charlotte_rae"	"the"	"which"	"top-drawer"	"which_charlotte_rae"	"charlotte_rae_the"	"the_top-drawer"	"with_which_charlotte_rae"	"which_charlotte_rae_the"	"charlotte_rae_the_top-drawer"	"the_top-drawer_hart"	"IN"	"WDT"	"NNP"	"VB"	"DT"	"NN"	"NNP"	"particular"	"gems"	"in_this"	"collection"	"be"	"the"	"impudent"	"opening"	"song"	"of"	"the"	"garrick"	"gaieties"	"an"	"impressive"	"forecast"	"of"	"the"	"wit"	"and"	"melody"	"that"	"were"	"to"	"come"	"from"	"rodgers"	"and"	"hart"	"in"	"the"	"years"	"that"	"follow"	"dorothy_loudon"	"raucous"	"listing"	"of"	"the"	"attractions"	"at"	"the"	"roxy"	"music_hall"	"from"	"i"	"marry"	"an"	"angel"	"and"	"the"	"incisive"	"style"	"with"	"which"	"charlotte_rae"	"deliver"	"top-drawer"	"hart"	"lyrics"	"of"	"i"	"blush"	"a"	"song"	"that"	"was"	"cut"	"from"	"a"	"connecticut_yankee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"general_david_m._shoup"	"a"	","	"peppery"	",_general_david_m._shoup"	"general_david_m._shoup_a"	"a_peppery"	"marine_corps_,_general_david_m._shoup"	",_general_david_m._shoup_a"	"general_david_m._shoup_a_peppery"	"a_peppery_annual"	"NN"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year"	"after"	"he"	"was"	"catapult"	"over"	"nine"	"officers"	"to"	"him"	"and"	"make"	"commandant"	"of"	"the"	"marine_corps"	"general_david_m._shoup"	"deliver"	"a"	"peppery"	"annual"	"report"	"in"	"the"	"form"	"of"	"a"	"happy"	"warless"	"new_year"	"greeting"	"to"	"his"	"pentagon"	"staff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"lectures"	"at"	"on"	"harvard_university"	"on_lectures"	"lectures_at"	"at_harvard_university"	"largely_on_lectures"	"on_lectures_at"	"lectures_at_harvard_university"	"at_harvard_university_,"	"RB"	"IN"	"NNS"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_short"	"the"	"book"	"base"	"on"	"lectures"	"deliver"	"at"	"harvard_university"	"be"	"both"	"reliable"	"and"	"readable"	"the"	"author"	"possess"	"uncommonly"	"fine"	"english"	"style"	"and"	"he"	"is"	"deal"	"with"	"subjects"	"of"	"vast"	"importance"	"that"	"be"	"highly"	"topical"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
