"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"
"2:37:00::"	"persons"	"to"	"that"	"unite"	"that_persons"	"persons_to"	"to_unite"	"important_that_persons"	"that_persons_to"	"persons_to_unite"	"to_unite_with"	"JJ"	"IN"	"NNS"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"that"	"persons"	"desire"	"to"	"unite"	"with"	"the"	"church"	"be"	"prepare_for"	"this"	"experience"	"so_that"	"it"	"may"	"be"	"meaningful"	"and"	"spiritually"	"significant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"not"	"a"	"did"	"nuclear"	"did_not"	"not_a"	"a_nuclear"	"we_did_not"	"did_not_a"	"not_a_nuclear"	"a_nuclear_war"	"PRP"	"VBD"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"also"	"weaken"	"our"	"diplomatic"	"stance"	"because"	"could"	"easily"	"guess"	"we"	"did"	"not"	"desire"	"a"	"nuclear"	"war"	"except"	"in"	"the"	"ultimate"	"extremity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"eagerly"	"."	"so"	"∅"	"so_eagerly"	"eagerly_."	"._∅"	"both_so_eagerly"	"so_eagerly_."	"eagerly_._∅"	"._∅_∅"	"DT"	"RB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"while"	"he"	"use"	"talk"	"caresses"	"or"	"require"	"caresses"	"from"	"her"	"his"	"bride"	"will"	"sympathetically"	"understand"	"the"	"situation"	"and"	"eagerly"	"help"	"him"	"restore"	"physical"	"situation"	"so"	"they"	"can"	"have"	"the"	"consummation"	"they"	"both"	"so"	"eagerly"	"desire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"who"	"to"	"members"	"do"	"members_who"	"who_to"	"to_do"	"all_members_who"	"members_who_to"	"who_to_do"	"to_do_so"	"DT"	"NNS"	"WP"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._speaker"	"i"	"ask"	"unanimous"	"that"	"all"	"members"	"who"	"desire"	"to"	"do"	"so"	"may"	"extend"	"their"	"remarks"	"at"	"this"	"point"	"in"	"the"	"record"	"and"	"also"	"that"	"they"	"may"	"have"	"legislative"	"days"	"in_which"	"to"	"extend"	"their"	"remarks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"if"	"will"	"and"	"view"	"and_if"	"if_will"	"will_view"	"bridges_and_if"	"and_if_will"	"if_will_view"	"will_view_the"	"NNS"	"CC"	"IN"	"VB"	"MD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"palmer"	"will"	"attend_to"	"any"	"relate"	"to"	"bridges"	"and"	"if"	"desire"	"will"	"view"	"the"	"proposed"	"site"	"and"	"lay_out"	"and"	"superintend"	"the"	"work"	"or"	"recommend"	"a"	"suitable"	"person"	"to"	"execute"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"persons"	"to"	"of"	"study"	"of_persons"	"persons_to"	"to_study"	"applications_of_persons"	"of_persons_to"	"persons_to_study"	"to_study_or"	"NNS"	"IN"	"NNS"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"and"	"if"	"it"	"can"	"do"	"so"	"without"	"jeopardize"	"constitutional"	"and"	"statutory"	"tax-exemption"	"privileges"	"essential"	"the"	"maintenance"	"of"	"its"	"educational"	"program"	"and"	"facilities"	"emory_university"	"will"	"consider"	"applications"	"of"	"persons"	"desire"	"to"	"study"	"or"	"work"	"at"	"the"	"university"	"without"	"regard_to"	"race"	"color"	"or"	"creed"	"continue"	"university"	"policy"	"that"	"all"	"applications"	"shall"	"be"	"consider"	"on"	"the"	"basis"	"of"	"intellectual"	"and"	"moral"	"standards"	"and"	"criteria"	"design"	"to"	"assure"	"the"	"orderly"	"and"	"effective"	"conduct"	"of"	"the"	"university"	"and"	"the"	"fulfillment"	"of"	"its"	"mission"	"as"	"an"	"institution"	"of"	"christian"	"higher"	"education"	
"2:37:00::"	"him"	"to"	"make"	"participate"	"make_him"	"him_to"	"to_participate"	"also_make_him"	"make_him_to"	"him_to_participate"	"to_participate_actively"	"RB"	"VB"	"PRP"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"should"	"make"	"him"	"desire"	"to"	"participate"	"actively"	"in"	"civic"	"school"	"and"	"religious"	"life"	"of"	"the"	"community"	"so_that"	"that"	"phase"	"of"	"newark"	"will"	"live_up_to"	"the"	"challenge"	"present"	"by"	"this"	"exhibit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"heart"	"?"	"your"	"∅"	"your_heart"	"heart_?"	"?_∅"	"anything_your_heart"	"your_heart_?"	"heart_?_∅"	"?_∅_∅"	"NN"	"PRP$"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"always"	"hobbies"	"collect"	"stamps"	"coins"	"timetables"	"salt"	"and"	"pepper"	"shakers"	"elephants"	"dogs"	"dolls"	"shells"	"or"	"shall"	"just"	"say"	"collect"	"anything"	"your"	"heart"	"desire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"their"	"to"	"and"	"attract"	"and_their"	"their_to"	"to_attract"	"area_and_their"	"and_their_to"	"their_to_attract"	"to_attract_new"	"NN"	"CC"	"PRP$"	"NN"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"this"	"trend"	"toward"	"area"	"vocational_school"	"has"	"be"	"to"	"the"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:12:00::"	"a"	"to"	":"	"appropriate"	":_a"	"a_to"	"to_appropriate"	"negative_:_a"	":_a_to"	"a_to_appropriate"	"to_appropriate_this"	"JJ"	"ε"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"primitive"	"feeling"	"be"	"rudimentary"	"feeling"	"both"	"positive"	"negative"	"a"	"desire"	"to"	"appropriate"	"this"	"or"	"that"	"part"	"of"	"the"	"environment"	"into"	"oneself"	"a"	"desire"	"to"	"avoid"	"and"	"repel"	"this"	"or"	"that"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
