"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"2:30:00::"	"f"	"."	"let"	"∅"	"let_f"	"f_."	"._∅"	"has_let_f"	"let_f_."	"f_._∅"	"._∅_∅"	"VBZ"	"VB"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"twice"	"previously"	"the"	"senate"	"has"	"approve"	"measures"	"etv"	"and"	"the"	"house"	"has"	"let"	"f"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"drive"	"nobleman"	"in"	"nobleman_who"	"who_drive"	"drive_in"	"spanish_nobleman_who"	"nobleman_who_drive"	"who_drive_in"	"drive_in_the"	"JJ"	"NN"	"WP"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year"	"ago"	"it"	"was"	"bruit"	"that"	"the"	"primary"	"character"	"in"	"erich_maria_remarque"	"new"	"was"	"base"	"on"	"the"	"marquis_alfonso"	"de"	"portago"	"the"	"spanish"	"nobleman"	"who"	"die"	"drive"	"in"	"the"	"mille_miglia"	"automobile_race"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"has"	"."	"he"	"∅"	"he_has"	"has_."	"._∅"	"after_he_has"	"he_has_."	"has_._∅"	"._∅_∅"	"IN"	"PRP"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"no"	"common"	"thing"	"for"	"a"	"listener"	"critical"	"or"	"to"	"a"	"singer"	"live"	"for_the_first_time"	"only"	"after"	"he"	"has"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"thursday"	","	"in"	",_who"	"who_thursday"	"thursday_in"	"ave._,_who"	",_who_thursday"	"who_thursday_in"	"thursday_in_portland"	"NNP"	"ε"	"WP"	"VB"	"NNP"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"funeral"	"for"	"william_joseph_brett"	"ne"	"th"	"who"	"die"	"thursday"	"in"	"portland"	"will"	"be"	"monday"	"p."	"m."	"at"	"the"	"riverview_abbey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"and"	"thursday"	"collapse"	"in"	"collapse_and"	"and_thursday"	"thursday_in"	",_collapse_and"	"collapse_and_thursday"	"and_thursday_in"	"thursday_in_a"	"ε"	"VB"	"CC"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"monte_brooks"	"theatrical"	"producer"	"and"	"band"	"collapse"	"and"	"die"	"thursday"	"in"	"a"	"lloyd_center"	"restaurant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"creatures"	"because"	"dependent"	"we"	"dependent_creatures"	"creatures_because"	"because_we"	"and_dependent_creatures"	"dependent_creatures_because"	"creatures_because_we"	"because_we_be"	"CC"	"JJ"	"NNS"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"in_this"	"small"	"way"	"of"	"force"	"the"	"people"	"watch"	"as"	"tiny"	"and"	"innocent"	"and"	"dependent"	"creatures"	"die"	"because"	"we"	"be"	"afraid"	"to"	"feed"	"them"	"and"	"afraid"	"to"	"protest"	"and"	"say"	"how_come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"in"	"and"	"1953"	"and_who"	"who_in"	"in_1953"	"belgium_and_who"	"and_who_in"	"who_in_1953"	"in_1953_in"	"NNP"	"CC"	"WP"	"VB"	"IN"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"django"	"who"	"be_born"	"jean_baptiste_reinhardt"	"belgium"	"and"	"who"	"die"	"in"	"in"	"france"	"be"	"an"	"extraordinary"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"he"	","	"cause"	"be"	"cause_he"	"he_,"	",_be"	"whose_cause_he"	"cause_he_,"	"he_,_be"	",_be_the"	"WP$"	"NN"	"PRP"	"VB"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"congo"	"in"	"cause"	"he"	"die"	"be"	"the"	"scene"	"of"	"one"	"of"	"his"	"greatest"	"triumphs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"sunday"	"72"	"at"	"72_,"	",_sunday"	"sunday_at"	",_72_,"	"72_,_sunday"	",_sunday_at"	"sunday_at_his"	"ε"	"CD"	"ε"	"VB"	"NNP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"raymond_e._killingsworth"	"sunday"	"at"	"his"	"home"	"at"	"venable_st."	"nw"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"sunday"	"b"	"at"	"b_,"	",_sunday"	"sunday_at"	"101_b_,"	"b_,_sunday"	",_sunday_at"	"sunday_at_his"	"CD"	"NNP"	"ε"	"VB"	"NNP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"john_william_ball"	"of"	"marietta_st._nw"	"apartment"	"b"	"sunday"	"at"	"his"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
