"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"3:00:00::"	"more"	"with"	"be"	"person"	"be_more"	"more_with"	"with_person"	"it_be_more"	"be_more_with"	"more_with_person"	"with_person_than"	"PRP"	"VB"	"RB"	"JJ"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"more"	"difficult"	"with"	"person"	"than"	"with"	"most"	"author"	"to"	"say"	"what"	"be"	"the"	"extent"	"and"	"what"	"be"	"the"	"source"	"of"	"his"	"knowledge"	"0"	"0"	
"3:00:00::"	"be"	"and"	"will"	"should"	"will_be"	"be_and"	"and_should"	"rationing_will_be"	"will_be_and"	"be_and_should"	"and_should_be"	"NN"	"MD"	"VB"	"JJ"	"CC"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"water"	"will"	"be"	"difficult"	"and"	"should"	"be"	"plan"	"carefully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"it"	"to"	"make"	"farm"	"make_it"	"it_to"	"to_farm"	"labor_make_it"	"make_it_to"	"it_to_farm"	"to_farm_profitably"	"NN"	"VB"	"VB"	"JJ"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"high"	"cost"	"of"	"land"	"and"	"labor"	"make"	"it"	"difficult"	"to"	"farm"	"profitably"	"on"	"a"	"part-time"	"basis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"increasingly"	"to"	"it"	"render"	"it_increasingly"	"increasingly_to"	"to_render"	"find_it_increasingly"	"it_increasingly_to"	"increasingly_to_render"	"to_render_the"	"VB"	"PRP"	"RB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"for"	"several"	"year"	"now"	"the"	"commuter"	"railroad"	"our"	"large"	"metropolitan"	"area"	"have"	"find"	"it"	"increasingly"	"difficult"	"to"	"render"	"the"	"kind"	"of"	"service"	"our"	"expanding"	"population"	"want"	"and"	"is"	"entitled"	"to"	"have"	
"3:00:00::"	"is"	"to"	"it"	"tell"	"it_is"	"is_to"	"to_tell"	"intertwine_it_is"	"it_is_to"	"is_to_tell"	"to_tell_where"	"VB"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"siamese_cat"	"intertwine"	"it"	"is"	"difficult"	"to"	"tell"	"where"	"one"	"leave_off"	"and"	"another"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"rather"	"to"	"it"	"direct"	"it_rather"	"rather_to"	"to_direct"	"make_it_rather"	"it_rather_to"	"rather_to_direct"	"to_direct_his"	"VB"	"VB"	"RB"	"JJ"	"TO"	"VB"	"PRP$"	"like"	"the"	"person"	"enjoy"	"and"	"love"	"live"	"together"	"even"	"in"	"troubled"	"times"	"and"	"as"	"in"	"the"	"person"	"home"	"any"	"young_man"	"who"	"call"	"on"	"the"	"person"	"find"	"himself"	"confront"	"with"	"a"	"phalanx"	"femininity"	"which"	"make"	"it"	"rather"	"to"	"direct"	"his"	"particular"	"attention"	"to"	"any"	"one"	"of"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"it"	"understand"	"it_be"	"be_to"	"to_understand"	"still_it_be"	"it_be_to"	"be_to_understand"	"to_understand_why"	"RB"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"though"	"it"	"be"	"logical"	"that"	"a"	"man"	"who"	"could"	"plot"	"would"	"not"	"hesitate"	"to"	"speak"	"an"	"untruth"	"still"	"it"	"be"	"difficult"	"to"	"understand"	"why"	"person"	"speak_for"	"only"	"for"	"person"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"more"	"."	"consider"	"∅"	"consider_more"	"more_."	"._∅"	"be_consider_more"	"consider_more_."	"more_._∅"	"._∅_∅"	"VB"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"are"	"contention"	"might"	"be"	"consider"	"more"	"difficult"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"most"	"to"	"be"	"capture"	"be_most"	"most_to"	"to_capture"	"would_be_most"	"be_most_to"	"most_to_capture"	"to_capture_them"	"MD"	"VB"	"RB"	"JJ"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"ten"	"or"	"more"	"dangerous"	"party"	"single_out"	"for"	"prosecution"	"be"	"still"	"at_large"	"and"	"person"	"realize"	"that"	"if"	"these"	"man"	"entrench"	"themselves"	"in"	"their"	"adobe_house"	"themselves"	"through"	"loophole"	"it"	"would"	"be"	"most"	"difficult"	"to"	"capture"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"always"	"."	"be"	"∅"	"be_always"	"always_."	"._∅"	"that_be_always"	"be_always_."	"always_._∅"	"._∅_∅"	"WDT"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"the"	"blow"	"that"	"be"	"always"	"difficult"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"play"	"direct"	"here"	"direct_a"	"a_play"	"play_here"	"has_direct_a"	"direct_a_play"	"a_play_here"	"play_here_,"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"direct"	"a"	"difficult"	"play"	"here"	"usually"	"well"	"but"	"with"	"just"	"a_bit"	"too"	"much"	"physical"	"movement"	"in"	"the"	"first"	"act"	"for"	"my"	"taste"	"0"	"0"	
"3:00:00::"	"most"	"to"	"be"	"resolve"	"be_most"	"most_to"	"to_resolve"	"that_be_most"	"be_most_to"	"most_to_resolve"	"to_resolve_in"	"WDT"	"VB"	"RB"	"JJ"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"very"	"beginning"	"the"	"electoral"	"discussion"	"raise"	"fundamental"	"issue"	"moroccan"	"politics"	"precisely"	"the"	"type"	"of"	"question"	"that"	"be"	"most"	"difficult"	"to"	"resolve"	"in"	"the"	"new"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"these"	"sleep"	"day"	"sleep_be"	"be_these"	"these_day"	"∅_sleep_be"	"sleep_be_these"	"be_these_day"	"these_day_."	"ε"	"NN"	"VB"	"JJ"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"difficult"	"these"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"face"	"time"	"to"	"."	"to_face"	"face_time"	"time_."	"expect_to_face"	"to_face_time"	"face_time_."	"time_._∅"	"VB"	"TO"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"society"	"expect"	"to"	"face"	"difficult"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"it"	"envision"	"it_be"	"be_to"	"to_envision"	"that_it_be"	"it_be_to"	"be_to_envision"	"to_envision_a"	"IN"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"electricity"	"play"	"such"	"an"	"important"	"part"	"community"	"life"	"today"	"that"	"it"	"be"	"difficult"	"to"	"envision"	"a"	"time"	"when"	"current"	"be"	"not"	"available"	"for"	"daily"	"use"	"0"	"0"	"0"	"0"	"0"	
