"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"3:00:01::"	"the"	"principle"	"be"	"of"	"be_the"	"the_principle"	"principle_of"	"achievement_be_the"	"be_the_principle"	"the_principle_of"	"principle_of_informal"	"NN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"the"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	","	"be"	"proximate"	"be_the"	"the_,"	",_proximate"	"communism_be_the"	"be_the_,"	"the_,_proximate"	",_proximate_goal"	"NN"	"VB"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"follow"	"that"	"over"	"communism"	"be"	"the"	"dominant"	"proximate"	"goal"	"of"	"american"	"policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"-"	"can"	"nature"	"can_be"	"be_-"	"-_nature"	"woman_can_be"	"can_be_-"	"be_-_nature"	"-_nature_has"	"NN"	"MD"	"VB"	"JJ"	"ε"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"a"	"certain"	"point"	"of_course"	"woman"	"can"	"be"	"dominant"	"nature"	"has"	"see"	"to"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"demandingly"	"in"	"become"	"marriage"	"become_demandingly"	"demandingly_in"	"in_marriage"	"his_become_demandingly"	"become_demandingly_in"	"demandingly_in_marriage"	"in_marriage_."	"PRP$"	"VB"	"RB"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sometimes"	"this"	"lead"	"his"	"become"	"demandingly"	"dominant"	"in"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"or"	"one"	"powerful"	","	"powerful_or"	"or_one"	"one_,"	"a_powerful_or"	"powerful_or_one"	"or_one_,"	"one_,_to"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"always"	"a"	"temptation"	"for"	"religious"	"organization"	"especially"	"a"	"powerful"	"or"	"dominant"	"one"	"to"	"impose"	"through"	"the"	"clenched_fist"	"of"	"the"	"law"	"its"	"creedal"	"viewpoint"	"upon"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"credo"	"become"	"of"	"become_the"	"the_credo"	"credo_of"	"capitalism_become_the"	"become_the_credo"	"the_credo_of"	"credo_of_western"	"NN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"particularly"	"be"	"this"	"true"	"laissez-faire"	"capitalism"	"become"	"the"	"dominant"	"credo"	"of"	"western"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"trait"	"be"	"in"	"be_the"	"the_trait"	"trait_in"	"to_be_the"	"be_the_trait"	"the_trait_in"	"trait_in_person"	"TO"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"rather"	"detached"	"attitude"	"toward"	"life"	"has"	"seem"	"to"	"be"	"the"	"dominant"	"trait"	"in"	"person"	"personality"	"ever"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"often"	"stress"	"∅"	"simply"	"∅_often"	"often_stress"	"stress_simply"	"∅_∅_often"	"∅_often_stress"	"often_stress_simply"	"stress_simply_indicate"	"ε"	"ε"	"RB"	"JJ"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dominant"	"stress"	"simply"	"indicate"	"a"	"centering"	"of"	"attention"	"or"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"bond"	"as"	","	"as_the"	"the_bond"	"bond_,"	"religion_as_the"	"as_the_bond"	"the_bond_,"	"bond_,_even"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"unify"	"effect"	"of"	"religion"	"is"	"also"	"bring_out"	"in"	"the"	"fact"	"that"	"historically"	"have"	"cling"	"together"	"as"	"more_or_less"	"cohesive"	"cultural"	"unit"	"with"	"religion"	"as"	"the"	"dominant"	"bond"	"even"	"though"	"spatially"	"dispersed"	"and"	"not"	"politically"	"organized"	"0"	"0"	
"3:00:01::"	"the"	"tendency"	"that"	"of"	"that_the"	"the_tendency"	"tendency_of"	"appear_that_the"	"that_the_tendency"	"the_tendency_of"	"tendency_of_person"	"VB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"that"	"the"	"dominant"	"tendency"	"of"	"person"	"early"	"tale"	"however"	"pictorial"	"or"	"even"	"picturesque"	"the"	"surface"	"be"	"already"	"toward"	"the"	"symbolic"	"the"	"emblematic"	"the"	"expressionistic"	
