"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"1:27:00::"	"of"	"."	"coating"	"∅"	"coating_of"	"of_."	"._∅"	"their_coating_of"	"coating_of_."	"of_._∅"	"._∅_∅"	"PRP$"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"our"	"two"	"jeep"	"mate"	"person"	"from"	"location"	"and"	"person"	"location"	"pennsylvania"	"were"	"beam"	"under"	"their"	"coating"	"of"	"dust"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"film"	"through"	"upon"	"through_the"	"the_film"	"film_upon"	"rivulet_through_the"	"through_the_film"	"the_film_upon"	"film_upon_his"	"NN"	"IN"	"DT"	"NN"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"remove"	"his"	"hat"	"to"	"let"	"trapped"	"sweat"	"cut"	"rivulet"	"through"	"the"	"dust"	"film"	"upon"	"his"	"gaunt"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	","	"atop"	"there"	"atop_the"	"the_,"	",_there"	"in_atop_the"	"atop_the_,"	"the_,_there"	",_there_be"	"VB"	"IN"	"DT"	"NN"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"say"	"without"	"turn"	"her"	"head"	"after"	"rain"	"beat"	"in"	"atop"	"the"	"dust"	"there"	"be"	"n't"	"a"	"thing"	"that"	"won"	"n't"	"be"	"streaked"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"stinging"	"."	"the"	"∅"	"the_stinging"	"stinging_."	"._∅"	"in_the_stinging"	"the_stinging_."	"stinging_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stagger"	"into"	"the"	"street"	"sprawl"	"in"	"the"	"stinging"	"dust"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"blow"	"on"	"man"	"object"	"man_blow"	"blow_on"	"on_object"	"∅_man_blow"	"man_blow_on"	"blow_on_object"	"on_object_in"	"ε"	"NN"	"VB"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blow"	"dust"	"on"	"object"	"in"	"a"	"room"	"on"	"the"	"seventeenth"	"floor"	"of"	"the"	"location"	"and"	"blow"	"it"	"off"	"again"	"and"	"do"	"the"	"same"	"in"	"a"	"tiny"	"almost"	"airless"	"room"	"in"	"a"	"tenement"	"in"	"the"	"location"	
"1:27:00::"	"a"	"swirling"	"to"	"stop"	"to_a"	"a_swirling"	"swirling_stop"	"screech_to_a"	"to_a_swirling"	"a_swirling_stop"	"swirling_stop_,"	"VB"	"TO"	"DT"	"NN"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hardly"	"had"	"person"	"drive"	"off"	"when"	"a"	"rusty"	"pickup"	"truck"	"father"	"or"	"grandfather"	"of"	"senor"	"ford"	"sedan"	"come"	"screech"	"to"	"a"	"dust"	"swirling"	"stop"	"and"	"a"	"brown"	"face"	"appear"	"its"	"nose"	"threaten"	"by"	"shard"	"of_what"	"had"	"once"	"be"	"the"	"side"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"gray"	"that"	"powdery"	"settle"	"powdery_gray"	"gray_that"	"that_settle"	"the_powdery_gray"	"powdery_gray_that"	"gray_that_settle"	"that_settle_over"	"DT"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"off_and_on"	"all"	"day"	"someone"	"would"	"be"	"at"	"the"	"powdery"	"gray"	"dust"	"that"	"settle"	"over"	"everything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"clog"	"∅"	"their"	"∅_the"	"the_clog"	"clog_their"	"∅_∅_the"	"∅_the_clog"	"the_clog_their"	"clog_their_throat"	"ε"	"ε"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dust"	"clog"	"their"	"throat"	"and"	"the"	"heat"	"parch"	"them"	"so"	"that"	"the"	"woman"	"be"	"always"	"make"	"ice_water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"from"	"brush"	"his"	"brush_the"	"the_from"	"from_his"	"person_brush_the"	"brush_the_from"	"the_from_his"	"from_his_coat"	"NNP"	"VB"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"dust"	"from"	"his"	"coat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"the"	"to"	"cause"	"spiral"	"cause_the"	"the_to"	"to_spiral"	",_cause_the"	"cause_the_to"	"the_to_spiral"	"to_spiral_into"	"ε"	"VB"	"DT"	"NN"	"TO"	"VB"	"IN"	"effect"	"person"	"person"	"and"	"person"	"which"	"be"	"a"	"retardation"	"of"	"the"	"orbital"	"motion"	"of"	"particle"	"by"	"the"	"relativistic"	"aberration"	"of"	"the"	"repulsive_force"	"of"	"the"	"impinging"	"solar_radiation"	"cause"	"the"	"dust"	"spiral"	"into"	"the"	"sun"	"in"	"time"	"much"	"short"	"than"	"the"	"age"	"of"	"the"	"earth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:01::"	"and"	"collect"	"sediment"	"in"	"sediment_and"	"and_collect"	"collect_in"	"sea_sediment_and"	"sediment_and_collect"	"and_collect_in"	"collect_in_remote"	"NN"	"NN"	"CC"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"measure"	"of"	"the"	"total"	"mass"	"accretion"	"of"	"meteoritic"	"material"	"the"	"earth"	"is"	"obtain"	"from"	"analysis"	"of"	"deep"	"sea"	"sediment"	"and"	"dust"	"collect"	"in"	"remote"	"region"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
