"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:41:00::"	"to"	"their"	"opportunity"	"party"	"opportunity_to"	"to_their"	"their_party"	"the_opportunity_to"	"opportunity_to_their"	"to_their_party"	"their_party_'s"	"DT"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"registered"	"democrats"	"in"	"new_york_city"	"year"	"have"	"the"	"opportunity"	"to"	"elect"	"their"	"party"	"candidates"	"for"	"mayor"	"and"	"municipal"	"and"	"the"	"men"	"who"	"will"	"run"	"their"	"party"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"the"	"have"	"favorite"	"have_been"	"been_the"	"the_favorite"	"to_have_been"	"have_been_the"	"been_the_favorite"	"the_favorite_solo"	"TO"	"VB"	"VBN"	"VB"	"DT"	"JJ"	"NN"	"one"	"of"	"those"	"delightful"	"surprise"	"additions"	"which"	"so"	"frequently"	"occur"	"in"	"jazz"	"programs"	"be"	"an"	"excellent"	"stint"	"at"	"the"	"drums"	"by"	"the"	"great"	"joe_jones"	"drum"	"to"	"old_man"	"river"	"which"	"seem"	"to"	"have"	"elect"	"the"	"favorite"	"solo"	"for"	"the"	"boys"	"on"	"the"	"batterie"	"at"	"this"	"year"	"concerts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"unhesitatingly"	"to"	"natives"	"slow_down"	"natives_unhesitatingly"	"unhesitatingly_to"	"to_slow_down"	"california_natives_unhesitatingly"	"natives_unhesitatingly_to"	"unhesitatingly_to_slow_down"	"to_slow_down_and"	"NNP"	"NNS"	"RB"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"really"	"remarkable"	"thing"	"to"	"be"	"that"	"most"	"california"	"natives"	"unhesitatingly"	"elect"	"to"	"slow_down"	"and"	"permit"	"the"	"invading"	"car"	"free"	"access"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"a"	"problem"	"temporary"	"problem_of"	"of_a"	"a_temporary"	"'s_problem_of"	"problem_of_a"	"of_a_temporary"	"a_temporary_successor"	"POS"	"NN"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ambassador_stevenson"	"yesterday"	"describe"	"the"	"n"	"problem"	"of"	"elect"	"a"	"temporary"	"successor"	"to"	"the"	"late"	"dag_hammarskjold"	"as"	"the"	"gravest"	"crisis"	"the"	"institution"	"has"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"."	"will"	"∅"	"will_be"	"be_."	"._∅"	"none_will_be"	"will_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"the"	"proposal"	"the"	"members"	"of"	"the"	"board_of_trustees"	"of"	"county"	"college"	"will"	"be"	"appoint"	"none"	"will"	"be"	"elect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"we"	"''"	"glad"	"'"	"glad_we"	"we_''"	"''_'"	"be_glad_we"	"glad_we_''"	"we_''_'"	"''_'_."	"VB"	"JJ"	"PRP"	"VB"	"ε"	"ε"	"ε"	"nearly"	"democratic"	"county"	"committee_members"	"at"	"the"	"meeting"	"in"	"the"	"puddingstone_inn"	"when"	"i"	"come_back"	"here"	"after"	"the"	"november"	"election"	"you"	"think"	"you"	"be"	"my"	"man"	"you"	"be"	"kind_of"	"governor"	"we"	"be"	"glad"	"we"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"their"	"truth"	"candidate"	"truth_and"	"and_their"	"their_candidate"	"the_truth_and"	"truth_and_their"	"and_their_candidate"	"their_candidate_and"	"DT"	"NN"	"CC"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"take"	"the"	"truth"	"to"	"the"	"people"	"and"	"people"	"will"	"like"	"the"	"truth"	"and"	"elect"	"their"	"candidate"	"and"	"party"	"in"	"november"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"has"	"the"	"board_of_trustees"	"youngest"	"board_of_trustees_has"	"has_the"	"the_youngest"	"university_board_of_trustees_has"	"board_of_trustees_has_the"	"has_the_youngest"	"the_youngest_president"	"NNP"	"NN"	"VBZ"	"VB"	"DT"	"JJS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new_york"	"board_of_trustees"	"has"	"elect"	"the"	"youngest"	"president"	"in"	"the"	"year"	"history"	"of"	"nyu"	"it"	"was"	"announce"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"president"	"has"	"of"	"has_been"	"been_president"	"president_of"	"john_di_massimo_has_been"	"has_been_president"	"been_president_of"	"president_of_the"	"NNP"	"VBZ"	"VBN"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"john_di_massimo"	"been"	"elect"	"president"	"of"	"the"	"columbus_day"	"celebration_committee"	"it"	"was"	"announce"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"you"	"to"	"if"	"use"	"if_you"	"you_to"	"to_use"	"∅_if_you"	"if_you_to"	"you_to_use"	"to_use_the"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"elect"	"to"	"use"	"the"	"standard"	"deduction"	"or"	"the"	"tax"	"table"	"and"	"later"	"find"	"you"	"should"	"have"	"itemize"	"your"	"deduction"	"you"	"may"	"do"	"so"	"by"	"file"	"an"	"amended_return"	"within"	"the"	"time"	"prescribed"	"for"	"file"	"a"	"claim"	"for"	"refund"	
