"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:41:00::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"be_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"VB"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"is"	"write"	"for"	"the"	"stage"	"it"	"is"	"mention"	"for"	"an"	"off-broadway"	"production"	"in"	"the"	"fall"	"and"	"in_addition"	"employ"	"an"	"avant-garde"	"structure"	"that"	"particularly"	"need"	"to"	"be"	"see"	"comprehension"	"be"	"to"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"division"	"acceptance"	"division_to"	"to_the"	"the_acceptance"	"of_this_division_to"	"division_to_the"	"to_the_acceptance"	"the_acceptance_of"	"RB"	"NN"	"TO"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"will"	"continue"	"to"	"an"	"objective"	"of_this"	"division"	"to"	"encourage"	"the"	"acceptance"	"of"	"planning"	"as"	"a"	"proper"	"and"	"continuing"	"responsibility"	"of"	"local_government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"in"	"planning"	"initiative"	"cooperation"	"initiative_in"	"in_planning"	"planning_cooperation"	"the_initiative_in"	"initiative_in_planning"	"in_planning_cooperation"	"planning_cooperation_at_all"	"VB"	"NN"	"IN"	"VB"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"planning"	"division"	"take"	"the"	"initiative"	"in"	"encourage"	"planning"	"cooperation"	"at_all"	"levels"	"of"	"government"	"among"	"the"	"operating"	"departments"	"of"	"the"	"state"	"between"	"the"	"cities"	"and"	"towns"	"of"	"the"	"state"	"and"	"on"	"a"	"regional"	"basis"	"between"	"the"	"six"	"new_england"	"states"	"0"	"0"	"0"	"0"	
"2:41:00::"	"∅"	"by"	"∅"	"every"	"∅_∅"	"∅_by"	"by_every"	"∅_∅_∅"	"∅_∅_by"	"∅_by_every"	"by_every_means"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"every"	"means"	"all"	"existing"	"assemblies"	"of"	"god"	"churches"	"to"	"start"	"new"	"churches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"greater"	"that"	"awareness"	"that_of"	"of_greater"	"greater_awareness"	"become_that_of"	"that_of_greater"	"of_greater_awareness"	"greater_awareness_of"	"VB"	"IN"	"IN"	"VB"	"JJR"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"roles"	"of"	"the"	"social_scientist"	"ethicist"	"or"	"in"	"our"	"discussions"	"with"	"the"	"realtors"	"become"	"that"	"of"	"encourage"	"greater"	"awareness"	"of"	"the"	"opportunities"	"offer"	"by"	"the"	"legal"	"and"	"political"	"processes"	"for"	"the"	"exercise"	"of"	"broad"	"social"	"responsibilities"	"in"	"their"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"were"	"to"	","	"be"	",_were"	"were_to"	"to_be"	"children_,_were"	",_were_to"	"were_to_be"	"to_be_polite"	"NNS"	"ε"	"VBD"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"old"	"do"	"you"	"have"	"to"	"be"	"remember"	"when"	"americans"	"especially"	"children"	"were"	"encourage"	"to"	"be"	"polite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	","	"voice"	"discourage"	"voice_to"	"to_,"	",_discourage"	"-_voice_to"	"voice_to_,"	"to_,_discourage"	",_discourage_or"	"ε"	"NN"	"TO"	"VB"	"ε"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"aids"	"be"	"your"	"attitude"	"which"	"come"	"through"	"your"	"your"	"hands"	"and"	"legs"	"voice"	"to"	"encourage"	"discourage"	"or"	"whatever"	"the"	"need"	"may"	"be"	"hands"	"to"	"guide"	"or"	"restrain"	"legs"	"to"	"produce"	"motion"	"and"	"rate"	"of"	"speed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"earnestly"	"''"	"be"	"!"	"be_earnestly"	"earnestly_''"	"''_!"	"should_be_earnestly"	"be_earnestly_''"	"earnestly_''_!"	"''_!_be"	"MD"	"VB"	"RB"	"VB"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"junior"	"showmanship"	"be"	"an"	"extremely"	"project"	"and"	"should"	"be"	"earnestly"	"encourage"	"be"	"one"	"of"	"mr._barcus"	"strong_beliefs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"and"	"juniors"	"teach"	"to"	"teach_and"	"and_juniors"	"juniors_to"	"to_teach_and"	"teach_and_juniors"	"and_juniors_to"	"juniors_to_become"	"TO"	"VB"	"CC"	"VB"	"NNS"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"purpose"	"of"	"the"	"junior"	"competition"	"be"	"to"	"teach"	"and"	"encourage"	"juniors"	"to"	"become"	"good"	"sportsmen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"political"	"and"	"reform"	"and_to"	"to_political"	"political_reform"	"aid_and_to"	"and_to_political"	"to_political_reform"	"political_reform_in"	"NN"	"CC"	"TO"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"foreign"	"aid"	"programs"	"were"	"revamp"	"to"	"greater"	"emphasis"	"to"	"economic"	"aid"	"and"	"to"	"encourage"	"political"	"reform"	"in"	"recipient"	"nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
