"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"
"2:32:00::"	"life"	"the"	"animal"	"power"	"animal_life"	"life_the"	"the_power"	"or_animal_life"	"animal_life_the"	"life_the_power"	"the_power_of"	"CC"	"NN"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"living"	"creatures"	"from"	"the"	"form"	"of"	"insect"	"or"	"animal"	"life"	"evidence"	"the"	"power"	"of"	"creativity"	"if"	"it"	"be"	"only"	"to"	"reproduce"	"a"	"form"	"like"	"their"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"tangible"	"that"	"little"	"these"	"little_tangible"	"tangible_that"	"that_these"	"be_little_tangible"	"little_tangible_that"	"tangible_that_these"	"that_these_projection"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"u.s."	"department_of_labor"	"have"	"a"	"program"	"of"	"project"	"industry"	"and"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"of"	"satisfactory"	"presentation"	"to"	"presentation_of"	"of_satisfactory"	"satisfactory_to"	"upon_presentation_of"	"presentation_of_satisfactory"	"of_satisfactory_to"	"satisfactory_to_him"	"IN"	"NN"	"IN"	"NN"	"JJ"	"TO"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject_to"	"the"	"limitation"	"of_this"	"act"	"the"	"secretary_of_the_interior"	"shall"	"make"	"payment"	"to"	"small"	"domestic"	"producer"	"upon"	"presentation"	"of"	"evidence"	"satisfactory"	"to"	"him"	"of"	"their"	"status"	"as"	"such"	"producer"	"and"	"of"	"the"	"sale"	"by"	"them"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	
"1:10:01::"	"the"	"suggest"	"∅"	"that"	"∅_the"	"the_suggest"	"suggest_that"	"∅_∅_the"	"∅_the_suggest"	"the_suggest_that"	"suggest_that_foreign"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"evidence"	"suggest"	"that"	"foreign"	"people"	"believe"	"the"	"united_states"	"be"	"weak"	"than"	"the"	"soviet_union"	"and"	"is"	"bound"	"to"	"fall"	"still"	"further"	"behind"	"in"	"the"	"year"	"ahead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"all"	"of"	"be"	"a"	"be_all"	"all_of"	"of_a"	"these_be_all"	"be_all_of"	"all_of_a"	"of_a_continuing"	"DT"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"adult_education"	"course"	"work-study_program"	"of"	"various"	"these"	"be"	"all"	"evidence"	"of"	"a"	"continuing"	"interest"	"of"	"the"	"school"	"in"	"further"	"educational"	"opportunity"	"for"	"out-of-school"	"youth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"son"	"so"	"her"	"strong"	"her_son"	"son_so"	"so_strong"	"with_her_son"	"her_son_so"	"son_so_strong"	"so_strong_a"	"IN"	"PRP$"	"NN"	"VB"	"RB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"son"	"evidence"	"so"	"strong"	"a"	"musical"	"bent"	"his"	"mother"	"could"	"do"	"little"	"else"	"but"	"get"	"him"	"start"	"on"	"the"	"study"	"of"	"music"	"though"	"she"	"wait"	"until"	"he"	"be"	"ten"	"begin"	"with"	"the"	"piano"	"and"	"follow"	"that"	"with"	"the"	"trumpet"	
"1:09:00::"	"all"	"related"	"categorize"	"to"	"categorize_all"	"all_related"	"related_to"	",_categorize_all"	"categorize_all_related"	"all_related_to"	"related_to_compulsivity"	"ε"	"VB"	"DT"	"NN"	"JJ"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rating"	"scale"	"of"	"compulsivity"	"was"	"construct"	"first"	"peruse"	"the"	"interview"	"record"	"categorize"	"all"	"evidence"	"related"	"to"	"compulsivity"	"then"	"arrange"	"a"	"distribution"	"of"	"such"	"information"	"apart"	"from"	"the"	"case"	"record"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"present"	"that"	"et_al."	"the"	"et_al._present"	"present_that"	"that_the"	"person_et_al._present"	"et_al._present_that"	"present_that_the"	"that_the_anxious"	"NNP"	"RB"	"VB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"present"	"evidence"	"that"	"the"	"anxious"	"child"	"will"	"suffer"	"in"	"the"	"test"	"like"	"situation"	"and"	"that"	"his"	"performance"	"will"	"be"	"impair"	"unless"	"he"	"receive"	"supporting"	"and"	"accepting"	"treatment"	"from"	"the"	"teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"by"	"is"	"the"	"is_also"	"also_by"	"by_the"	"thing_is_also"	"is_also_by"	"also_by_the"	"by_the_extreme"	"NN"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"same"	"is"	"also"	"evidence"	"by"	"the"	"extreme"	"culture"	"protestantism"	"so"	"often"	"observe"	"to"	"characterize"	"the"	"preaching"	"and"	"teaching"	"of"	"the"	"american"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"further"	"that"	"∅"	"roman_catholicism"	"∅_further"	"further_that"	"that_roman_catholicism"	"∅_∅_further"	"∅_further_that"	"further_that_roman_catholicism"	"that_roman_catholicism_enjoy"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"evidence"	"that"	"roman_catholicism"	"enjoy"	"a"	"more"	"favorable_position"	"today"	"than"	"in"	"be"	"the"	"respectful"	"attention"	"give"	"to_it"	"in"	"the"	"mass_media"	"of"	"england"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
