"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"
"2:33:01::"	"sometimes"	"his"	"he"	"own"	"he_sometimes"	"sometimes_his"	"his_own"	"academic_he_sometimes"	"he_sometimes_his"	"sometimes_his_own"	"his_own_evident"	"JJ"	"PRP"	"RB"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"early"	"smith"	"together"	"with"	"his"	"distinguished"	"colleague"	"george_trager"	"austerely"	"academic"	"he"	"sometimes"	"fight"	"his"	"own"	"evident"	"charm"	"and"	"a"	"third"	"man"	"with"	"the"	"engaging"	"name"	"of"	"birdwhistell"	"ray"	"agree"	"on"	"some"	"basic"	"premises"	"about"	"the"	"three-part"	"process"	"that"	"make"	"communication"	"words"	"or"	"language"	"paralanguage"	"a"	"set"	"of"	"phenomena"	"include"	"laughing"	"weeping"	"voice"	"breaks"	"and"	"tone"	"of"	"voice"	"and"	"kinesics"	"the"	"technical"	"name"	"for"	"gestures"	"facial_expressions"	"and"	"body"	"shifts"	"nod"	"or"	"shake"	"the"	"head"	"talk"	"with"	"one"	"hands"	"et"	"cetera"	
"2:33:01::"	"was"	"to"	"and"	"hold"	"and_was"	"was_to"	"to_hold"	"wound_and_was"	"and_was_to"	"was_to_hold"	"to_hold_his"	"VB"	"CC"	"VBD"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"war"	"captain"	"had"	"badly"	"wound"	"and"	"was"	"fight"	"to"	"hold"	"his"	"seat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"they"	"hard"	"∅"	","	"∅_they"	"they_hard"	"hard_,"	"∅_∅_they"	"∅_they_hard"	"they_hard_,"	"hard_,_but"	"ε"	"ε"	"PRP"	"VB"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fight"	"hard"	"but"	"they"	"be"	"forgiving"	"to"	"former"	"foes"	"and"	"seek"	"to"	"prevent"	"vindictive"	"legislatures"	"from"	"confiscate"	"tory"	"property"	"in"	"violation"	"of"	"the"	"treaty"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"to"	"a"	"undertake"	"strike"	"undertake_to"	"to_a"	"a_strike"	"latter_undertake_to"	"undertake_to_a"	"to_a_strike"	"a_strike_."	"NN"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"now"	"disclose"	"that"	"the"	"taxpayer"	"not_only"	"pay"	"for"	"high"	"wages"	"he"	"pay"	"the"	"employers"	"strike"	"expenses"	"when"	"the"	"latter"	"undertake"	"to"	"fight"	"a"	"strike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"to"	"any"	"ability"	"kind_of"	"ability_to"	"to_any"	"any_kind_of"	"its_ability_to"	"ability_to_any"	"to_any_kind_of"	"any_kind_of_war"	"PRP$"	"NN"	"TO"	"VB"	"DT"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"limit"	"american"	"strength"	"too_much"	"to"	"nuclear"	"this"	"country"	"limit"	"its"	"ability"	"to"	"fight"	"any"	"kind_of"	"war"	"besides"	"a"	"nuclear"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"conventional"	"military_forces"	"wars"	"military_forces_to"	"to_conventional"	"conventional_wars"	"american_military_forces_to"	"military_forces_to_conventional"	"to_conventional_wars"	"conventional_wars_too"	"NNP"	"NN"	"TO"	"VB"	"JJ"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"maintain"	"the"	"nuclear"	"deterrent"	"gear"	"american"	"military_forces"	"to"	"fight"	"conventional"	"wars"	"too"	"secretary_of_state"	"rusk"	"junk"	"bluff"	"and"	"nuclear"	"brinkmanship"	"and"	"build"	"more"	"muscle"	"and"	"greater"	"safety"	"into"	"our"	"military"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"commence"	"each"	"tribesmen"	"."	"tribesmen_commence"	"commence_each"	"each_."	"wild_tribesmen_commence"	"tribesmen_commence_each"	"commence_each_."	"each_._∅"	"JJ"	"NNS"	"VB"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"twenty-four_hours"	"after"	"independence"	"wild"	"tribesmen"	"commence"	"fight"	"each"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"be"	"to"	"to"	"the"	"to_be"	"be_to"	"to_the"	"absolutely_to_be"	"to_be_to"	"be_to_the"	"to_the_complete"	"RB"	"TO"	"VB"	"VB"	"TO"	"DT"	"JJ"	"first_of_all"	"and"	"in_a_sense"	"as"	"the"	"source"	"of"	"all"	"ills"	"the"	"unshakeable"	"american"	"commitment"	"to"	"the"	"principle"	"of"	"unconditional"	"surrender"	"the"	"tendency"	"to"	"view"	"any"	"war"	"in_which"	"we"	"might"	"be"	"involved"	"not"	"as"	"a"	"means"	"of"	"achieve"	"limited"	"objectives"	"in"	"the"	"way"	"of"	"changes"	"in"	"a"	"given"	"status_quo"	"but"	"as"	"a"	"struggle"	"to"	"the"	"death"	"between"	"total"	"virtue"	"and"	"total"	"evil"	"with"	"the"	"result"	"that"	"war"	"had"	"absolutely"	"to"	"be"	"to"	"the"	"complete"	"destruction"	"of"	"the"	"enemy"	"power"	"no_matter"	"what"	"disadvantages"	"or"	"complications"	"this"	"might"	"involve"	"for"	"the"	"more"	"distant"	"future"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"he"	"fair"	","	"."	",_he"	"he_fair"	"fair_."	"presidents_,_he"	",_he_fair"	"he_fair_."	"fair_._∅"	"NNS"	"ε"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"republican"	"he"	"fight"	"fair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"army"	"?"	"chinese"	"∅"	"chinese_army"	"army_?"	"?_∅"	"mainland_chinese_army"	"chinese_army_?"	"army_?_∅"	"?_∅_∅"	"NNP"	"JJ"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even_so"	"it"	"add_up"	"to"	"impossible"	"odds"	"except"	"that"	"the"	"question"	"on"	"whose"	"side"	"would"	"the"	"mainland"	"chinese"	"army"	"fight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
