"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:41:00::"	"got"	"''"	"we"	","	"we_got"	"got_''"	"''_,"	"``_we_got"	"we_got_''"	"got_''_,"	"''_,_jones"	"ε"	"PRP"	"VBD"	"VB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"fire"	"jones"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"oven"	"with"	"brick"	"redwood"	"brick_oven"	"oven_with"	"with_redwood"	"a_brick_oven"	"brick_oven_with"	"oven_with_redwood"	"with_redwood_billets"	"DT"	"NN"	"NN"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dwellers"	"thereabouts"	"prefer"	"to"	"get"	"their"	"apple_pies"	"at"	"the"	"bakery"	"which"	"have"	"a"	"brick"	"oven"	"fire"	"with"	"redwood"	"billets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"also"	"standard"	"can"	".22"	"can_also"	"also_standard"	"standard_.22"	"it_can_also"	"can_also_standard"	"also_standard_.22"	"standard_.22_rim-fires"	"PRP"	"MD"	"RB"	"VB"	"JJ"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_most"	"intriguing"	"aspect"	"of"	"the"	"s"	"w"	"magnum"	"chamber"	"for"	"the"	"new"	"be"	"that"	"it"	"can"	"also"	"fire"	"standard"	"rim-fires"	"by"	"means"	"of"	"adapter"	"sleeves"	"in"	"the"	"chambers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:02::"	","	"!"	"one"	"∅"	"one_,"	",_!"	"!_∅"	",_one_,"	"one_,_!"	",_!_∅"	"!_∅_∅"	"ε"	"CD"	"ε"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"five"	"four"	"three"	"two"	"fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"small"	"start"	"a"	"and"	"a_small"	"small_start"	"start_and"	"got_a_small"	"a_small_start"	"small_start_and"	"start_and_put_on"	"VBD"	"DT"	"JJ"	"NN"	"VB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"a"	"small"	"fire"	"start"	"and"	"put_on"	"bacon"	"and"	"coffee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"be"	"but"	"low"	"but_the"	"the_be"	"be_low"	",_but_the"	"but_the_be"	"the_be_low"	"be_low_,"	"ε"	"CC"	"DT"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"long"	"nose"	"wiggle"	"at"	"the"	"smell"	"frizzle"	"bacon"	"and"	"heating"	"java"	"but"	"the"	"fire"	"be"	"low"	"and"	"he"	"want"	"to"	"waste"	"no"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	"."	"screen"	"∅"	"screen_of"	"of_."	"._∅"	"a_screen_of"	"screen_of_."	"of_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"korean"	"fall_back"	"but"	"regroup"	"at"	"the"	"top"	"of"	"the"	"hill"	"pin"	"down"	"the"	"cavalryman"	"a"	"screen"	"of"	"fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"whether"	"protection"	"find_out"	","	"find_out_whether"	"whether_protection"	"protection_,"	"∅_find_out_whether"	"find_out_whether_protection"	"whether_protection_,"	"protection_,_sewage_system"	"ε"	"VB"	"IN"	"NN"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"fire"	"protection"	"sewage_system"	"gas"	"water_main"	"and"	"electrical"	"line"	"be"	"available"	"in"	"the"	"locality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"at"	"had"	"person"	"had_been"	"been_at"	"at_person"	",_had_been"	"had_been_at"	"been_at_person"	"at_person_'s"	"ε"	"VBD"	"VBN"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"man"	"named"	"person"	"with"	"y"	"and"	"e"	"but"	"pronounce"	"without"	"them"	"been"	"fire"	"at"	"person"	"insistence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"slow"	"single"	"and"	"shot"	"and_slow"	"slow_single"	"single_shot"	"muzzle_loader_and_slow"	"and_slow_single"	"slow_single_shot"	"single_shot_arm"	"NN"	"CC"	"JJ"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"firearm"	"and"	"ammunition"	"manufacturer"	"through"	"diligent"	"research"	"and"	"technical"	"have"	"replace"	"the"	"muzzle_loader"	"and"	"slow"	"fire"	"single"	"shot"	"arm"	"with"	"modern"	"fast"	"fire"	"autoloader"	"extremely"	"accurate"	"bolt"	"lever"	"and"	"slide_action"	"firearm"	"0"	"0"	"0"	"0"	"0"	
