"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:41:00::"	"which"	"home_rule"	"law"	"charter"	"law_which"	"which_home_rule"	"home_rule_charter"	"the_law_which"	"law_which_home_rule"	"which_home_rule_charter"	"home_rule_charter_petitions"	"DT"	"NN"	"WDT"	"VB"	"NN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"which"	"govern"	"home_rule"	"charter"	"petitions"	"state"	"that"	"they"	"must"	"be"	"refer"	"to"	"the"	"chairman_of_the_board"	"of"	"canvassers"	"for"	"verification"	"of"	"the"	"signatures"	"within"	"days"	"and"	"mr._martinelli"	"happen"	"to"	"hold"	"that"	
"2:41:01::"	"rule"	"where"	"only"	","	"only_rule"	"rule_where"	"where_,"	"the_only_rule"	"only_rule_where"	"rule_where_,"	"where_,_when"	"DT"	"JJ"	"NN"	"VB"	"WRB"	"ε"	"WRB"	"automobile"	"be"	"in"	"its"	"embryonic"	"stage"	"such"	"roads"	"as"	"exist"	"be"	"pretty_much"	"open"	"roads"	"with"	"the"	"tacit"	"understanding"	"that"	"horses"	"should"	"not"	"be"	"unduly"	"terrify"	"be"	"about"	"only"	"govern"	"where"	"when"	"and_how"	"fast"	"a"	"car"	"could"	"go"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"his"	"mind"	"motives"	"mind_to"	"to_his"	"his_motives"	"his_mind_to"	"mind_to_his"	"to_his_motives"	"his_motives_."	"PRP$"	"NN"	"TO"	"VB"	"PRP$"	"NNS"	"ε"	"gabriel"	"was"	"being"	"ask"	"to"	"do"	"now"	"however"	"be"	"to"	"reexamine"	"all"	"his"	"basic_assumptions"	"make"	"value-judgments"	"on"	"them"	"and"	"give"	"them"	"new"	"and"	"different"	"powers"	"his"	"mind"	"to"	"his"	"motives"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"norms"	"subgroups"	"regulative"	"and"	"regulative_norms"	"norms_subgroups"	"subgroups_and"	"∅_regulative_norms"	"regulative_norms_subgroups"	"norms_subgroups_and"	"subgroups_and_roles"	"ε"	"JJ"	"NNS"	"VB"	"NNS"	"CC"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"norms"	"govern"	"subgroups"	"and"	"roles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"policies"	"the"	"meaningful"	"purchase"	"meaningful_policies"	"policies_the"	"the_purchase"	"the_meaningful_policies"	"meaningful_policies_the"	"policies_the_purchase"	"the_purchase_,"	"DT"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"policies"	"govern"	"the"	"purchase"	"assignment"	"use"	"and"	"management"	"of"	"state"	"vehicles"	"have"	"been"	"shape"	"by"	"the"	"state"	"administrative"	"officers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"factors"	"need"	"the"	"and"	"the_factors"	"factors_need"	"need_and"	"∅_the_factors"	"the_factors_need"	"factors_need_and"	"need_and_assignment"	"ε"	"DT"	"NNS"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"factors"	"govern"	"need"	"and"	"assignment"	"of"	"cars"	"be"	"flexible"	"according"	"to"	"circumstances"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"policies"	"the"	"administrative"	"purchase"	"administrative_policies"	"policies_the"	"the_purchase"	"broad_administrative_policies"	"administrative_policies_the"	"policies_the_purchase"	"the_purchase_,"	"JJ"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"probably"	"the_most"	"important"	"of"	"all"	"matters"	"review"	"be"	"the"	"broad"	"administrative"	"policies"	"govern"	"the"	"purchase"	"assignment"	"use"	"and"	"management"	"of"	"state"	"vehicles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"rule"	"the"	"particular"	"relations"	"particular_rule"	"rule_the"	"the_relations"	"into_particular_rule"	"particular_rule_the"	"rule_the_relations"	"the_relations_of"	"IN"	"JJ"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"number"	"of"	"nineteenth"	"century"	"development"	"contribute"	"to"	"the"	"transmutation"	"of"	"the"	"law_of_nations"	"into"	"international_law"	"that_is"	"from"	"aspect"	"of"	"a"	"universal"	"system"	"justice"	"into"	"particular"	"rule"	"govern"	"the"	"relations"	"of"	"sovereign"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"sex"	"the"	"the"	"numbering"	"the_sex"	"sex_the"	"the_numbering"	"for_the_sex"	"the_sex_the"	"sex_the_numbering"	"the_numbering_sequence"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"difference"	"between"	"the"	"sequence"	"onset"	"of"	"ossification"	"for"	"the"	"sex"	"govern"	"the"	"numbering"	"sequence"	"in"	"figure"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"in"	"the"	"role"	"activity"	"role_in"	"in_the"	"the_activity"	"major_role_in"	"role_in_the"	"in_the_activity"	"the_activity_of"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"besides"	"the"	"presence"	"of"	"goitrogen"	"in"	"the"	"diet"	"the"	"level"	"iodine"	"itself"	"in"	"the"	"diet"	"play"	"a"	"major"	"role"	"in"	"govern"	"the"	"activity"	"of"	"the"	"thyroid_gland"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
