"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"3:00:00::"	"∅"	"as"	"∅"	"be"	"∅_∅"	"∅_as"	"as_be"	"∅_∅_∅"	"∅_∅_as"	"∅_as_be"	"as_be_person"	"ε"	"ε"	"ε"	"JJ"	"IN"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"be"	"person"	"essay"	"his"	"thesis"	"be"	"so"	"restricting"	"as"	"to"	"deny"	"person"	"the"	"stature"	"which"	"he"	"obviously"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"not"	"it"	"to"	"it_be"	"be_not"	"not_to"	",_it_be"	"it_be_not"	"be_not_to"	"not_to_lose"	"ε"	"PRP"	"VB"	"JJ"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"in"	"look_at"	"person"	"against"	"his"	"background"	"mississippi"	"and"	"the"	"south"	"it"	"be"	"important"	"not"	"to"	"lose"	"the"	"broad"	"perspective"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"consideration"	"∅"	"common"	"∅_∅"	"∅_consideration"	"consideration_common"	"∅_∅_∅"	"∅_∅_consideration"	"∅_consideration_common"	"consideration_common_to"	"ε"	"ε"	"ε"	"JJ"	"NN"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consideration"	"common"	"to"	"each"	"type"	"of"	"shelter"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"an"	"consideration"	"be"	"."	"be_an"	"an_consideration"	"consideration_."	"lighting_be_an"	"be_an_consideration"	"an_consideration_."	"consideration_._∅"	"NN"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lighting"	"an"	"important"	"consideration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"something"	"to"	"have"	"tell"	"have_something"	"something_to"	"to_tell"	"do_have_something"	"have_something_to"	"something_to_tell"	"to_tell_you"	"VBP"	"VB"	"NN"	"JJ"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"really"	"have"	"something"	"important"	"to"	"tell"	"you"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"an"	"recent"	"∅"	"trend"	"∅_an"	"an_recent"	"recent_trend"	"∅_∅_an"	"∅_an_recent"	"an_recent_trend"	"recent_trend_be"	"ε"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"important"	"recent"	"trend"	"be"	"the"	"development"	"of"	"area"	"vocational_school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"still"	"?"	"be"	"∅"	"be_still"	"still_?"	"?_∅"	"which_be_still"	"be_still_?"	"still_?_∅"	"?_∅_∅"	"WDT"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"can"	"you"	"cash_in_on"	"this"	"fast-growing"	"type"	"of"	"outlet"	"still"	"maintain"	"relationship"	"with"	"old"	"existing"	"outlet"	"which"	"be"	"still"	"important"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"it"	"trace"	"it_be"	"be_to"	"to_trace"	",_it_be"	"it_be_to"	"be_to_trace"	"to_trace_the"	"ε"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"be"	"important"	"to"	"trace"	"the"	"philosophy"	"of"	"the"	"french_revolution"	"to"	"its"	"source"	"to"	"understand"	"the"	"common"	"democratic"	"origin"	"of"	"individualism"	"and"	"socialism"	"and"	"the"	"influence"	"of"	"the"	"latter"	"on"	"the"	"former"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"as"	"as"	"be"	"the"	"be_as"	"as_as"	"as_the"	"cannot_be_as"	"be_as_as"	"as_as_the"	"as_the_actual"	"MD"	"VB"	"RB"	"JJ"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"these"	"guess"	"about"	"the"	"outcome"	"the"	"struggle"	"cannot"	"be"	"as"	"important"	"as"	"the"	"actual"	"power"	"relationship"	"between"	"the"	"soviet_union"	"and"	"ourselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"program"	"scope"	"have"	"scope_of"	"of_program"	"program_have"	"and_scope_of"	"scope_of_program"	"of_program_have"	"program_have_been"	"CC"	"NN"	"IN"	"JJ"	"NN"	"VBP"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"size"	"scope"	"of"	"important"	"program"	"have"	"been"	"reduce"	"from"	"early"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
