"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"2:35:00::"	"bank"	"a"	"the"	"magnetic_tape"	"the_bank"	"bank_a"	"a_magnetic_tape"	"∅_the_bank"	"the_bank_a"	"bank_a_magnetic_tape"	"a_magnetic_tape_electronic_data_processing"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bank"	"install"	"a"	"magnetic_tape"	"electronic_data_processing"	"system"	"to"	"handle"	"things"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"overhead"	"stripes"	"directional"	"stripes_and"	"and_overhead"	"overhead_directional"	"lane_stripes_and"	"stripes_and_overhead"	"and_overhead_directional"	"overhead_directional_lights"	"NN"	"NNS"	"CC"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"paint"	"continuous"	"stripes"	"and"	"install"	"overhead"	"directional"	"lights"	"as"	"on"	"our"	"bridges"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"in"	"graduate"	"her"	"graduate_and"	"and_in"	"in_her"	"unconditionally_graduate_and"	"graduate_and_in"	"and_in_her"	"in_her_ship"	"RB"	"VB"	"CC"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"anniversary"	"of"	"her"	"sixteenth"	"year"	"her"	"shell"	"helva"	"was"	"unconditionally"	"graduate"	"and"	"install"	"in"	"her"	"ship"	"the"	"xh-834"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"the"	"cylinder_head"	"valves"	"cylinder_head_,"	",_the"	"the_valves"	"the_cylinder_head_,"	"cylinder_head_,_the"	",_the_valves"	"the_valves_and"	"DT"	"NN"	"ε"	"VB"	"DT"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"measure"	"the"	"volume"	"of"	"one"	"the"	"combustion"	"chambers"	"in"	"the"	"cylinder_head"	"install"	"the"	"valves"	"and"	"spark_plug"	"in"	"the"	"chamber"	"and"	"support"	"the"	"head"	"so_that"	"its"	"gasket"	"surface"	"be"	"level"	
"2:35:00::"	"easily"	"."	"is"	"∅"	"is_easily"	"easily_."	"._∅"	"conditioning_is_easily"	"is_easily_."	"easily_._∅"	"._∅_∅"	"NN"	"VBZ"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_matter"	"what"	"style"	"your"	"home"	"be"	"ranch"	"two-story"	"colonial"	"or"	"contemporary"	"central"	"air"	"is"	"easily"	"install"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"be"	","	"can"	"one"	"can_be"	"be_,"	",_one"	"units_can_be"	"can_be_,"	"be_,_one"	",_one_serve"	"NNS"	"MD"	"VB"	"VB"	"ε"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"long"	"rambling"	"ranch"	"such"	"units"	"can"	"be"	"install"	"one"	"serve"	"the"	"living"	"area"	"the"	"the"	"sleeping"	"zone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"been"	"above"	"have"	"the"	"have_been"	"been_above"	"above_the"	"chandeliers_have_been"	"have_been_above"	"been_above_the"	"above_the_terrace"	"NNS"	"VBP"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spot"	"retain"	"the"	"same"	"although"	"crystal"	"chandeliers"	"have"	"been"	"install"	"above"	"the"	"terrace"	"dining_area"	"and"	"the"	"kitchen"	"has"	"undergo"	"a"	"remodel"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"cockpit"	"in"	"makeshift"	"a"	"makeshift_cockpit"	"cockpit_in"	"in_a"	"a_makeshift_cockpit"	"makeshift_cockpit_in"	"cockpit_in_a"	"in_a_v-1"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seventeen"	"years"	"ago"	"today"	"german"	"scientist"	"climb"	"into"	"a"	"makeshift"	"cockpit"	"install"	"in"	"a"	"v-1"	"rocket-bomb"	"that"	"be"	"attached"	"to"	"the"	"underbelly"	"of"	"a"	"heinkel"	"bomber"	"0"	"0"	"0"	"0"	
"2:35:00::"	"are"	"on"	"instrument"	"rocket"	"instrument_are"	"are_on"	"on_rocket"	"these_instrument_are"	"instrument_are_on"	"are_on_rocket"	"on_rocket_,"	"DT"	"NN"	"VBP"	"VB"	"IN"	"NN"	"ε"	"on"	"the"	"micrometeorite"	"environment"	"near"	"the"	"earth"	"is"	"obtain"	"from"	"piezoelectric"	"sensor"	"essentially"	"microphone"	"and"	"from"	"wire"	"gage"	"instrument"	"are"	"on"	"rocket"	"satellite"	"and"	"space_probe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"in"	"switchboard"	"the"	"switchboard_was"	"was_in"	"in_the"	"single_switchboard_was"	"switchboard_was_in"	"was_in_the"	"in_the_location"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"small"	"switchboard"	"was"	"install"	"in"	"the"	"location"	"over"	"person"	"hardware_store"	"later"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"one"	"in"	"be"	"person"	"be_one"	"one_in"	"in_person"	"to_be_one"	"be_one_in"	"one_in_person"	"in_person_'s"	"TO"	"VB"	"CD"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"mention"	"of"	"an"	"electric"	"in"	"manchester"	"seem"	"to"	"be"	"one"	"install"	"in"	"person"	"and"	"person"	"gristmill"	"on"	"the"	"location"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"an"	"electrical_engineer"	"electric_light"	"electrical_engineer_was"	"was_an"	"an_electric_light"	"an_electrical_engineer_was"	"electrical_engineer_was_an"	"was_an_electric_light"	"an_electric_light_plant"	"DT"	"NN"	"VBD"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"june_14"	"the"	"manchester_journal"	"report"	"an"	"electrical_engineer"	"was"	"install"	"an"	"electric_light"	"plant"	"for"	"person"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
