"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"
"2:32:00::"	"been"	"."	"have"	"∅"	"have_been"	"been_."	"._∅"	"responsibility_list_have_been"	"have_been_."	"been_._∅"	"._∅_∅"	"NNP"	"VBP"	"VBN"	"VB"	"ε"	"ε"	"ε"	"of"	"lay_visitation_evangelism"	"is"	"not"	"complete"	"when"	"all_of"	"the"	"persons"	"on"	"the"	"responsibility_list"	"interview"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"enterprisingly"	"red-prone"	","	"comedian"	",_enterprisingly"	"enterprisingly_red-prone"	"red-prone_comedian"	"izvestia_,_enterprisingly"	",_enterprisingly_red-prone"	"enterprisingly_red-prone_comedian"	"red-prone_comedian_charlie_chaplin"	"NNP"	"ε"	"RB"	"VB"	"JJ"	"NN"	"NNP"	"of"	"nikita_khrushchev"	"most"	"enthusiastic"	"eulogizers"	"the"	"u._s._s."	"r"	"daily"	"izvestia"	"enterprisingly"	"interview"	"comedian"	"charlie_chaplin"	"at"	"his"	"swiss"	"villa"	"where"	"he"	"has"	"be"	"in"	"self-exile"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"hardly"	"at_all"	"were"	"-"	"were_hardly"	"hardly_at_all"	"at_all_-"	"many_were_hardly"	"were_hardly_at_all"	"hardly_at_all_-"	"at_all_-_and"	"JJ"	"VBD"	"RB"	"VB"	"RB"	"ε"	"CC"	"0"	"negro"	"lawyers"	"dig_into"	"the"	"records"	"of"	"white"	"students"	"find"	"that"	"many"	"hardly"	"interview"	"at_all"	"and"	"few"	"have"	"academic"	"records"	"as_good_as"	"hamilton_holmes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"on"	"legislation"	"the"	"legislation_was"	"was_on"	"on_the"	"national_legislation_was"	"legislation_was_on"	"was_on_the"	"on_the_air"	"NNP"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recently"	"the"	"secretary"	"of"	"the"	"committee"	"on"	"national"	"legislation"	"was"	"interview"	"on"	"the"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"the"	"by"	"before"	"a"	"before_the"	"the_by"	"by_a"	"two_before_the"	"before_the_by"	"the_by_a"	"by_a_conversation"	"JJ"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"curiosity"	"was"	"sharpen"	"day"	"or"	"two"	"before"	"the"	"interview"	"by"	"a"	"conversation"	"i"	"have"	"with"	"a"	"well-informed"	"teacher"	"of"	"literature"	"a"	"jesuit"	"father"	"at"	"a"	"conference"	"on"	"religious"	"drama"	"near"	"paris"	
"1:10:01::"	"an"	"schedule"	"∅"	"of"	"∅_an"	"an_schedule"	"schedule_of"	"∅_∅_an"	"∅_an_schedule"	"an_schedule_of"	"schedule_of_open-ended"	"ε"	"ε"	"DT"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interview"	"schedule"	"of"	"open-ended"	"question"	"and"	"a"	"multiple-choice"	"questionnaire"	"were"	"prepare"	"and"	"one"	"parent"	"of"	"each"	"of"	"the"	"sample"	"child"	"was"	"see"	"in"	"the"	"home"	"0"	"0"	"0"	
"1:10:01::"	"the"	"record"	"peruse"	","	"peruse_the"	"the_record"	"record_,"	"first_peruse_the"	"peruse_the_record"	"the_record_,"	"record_,_categorize"	"RB"	"VB"	"DT"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rating"	"scale"	"of"	"compulsivity"	"construct"	"by"	"first"	"peruse"	"the"	"interview"	"record"	"categorize"	"all"	"evidence"	"related"	"to"	"compulsivity"	"then"	"arrange"	"a"	"distribution"	"of"	"such"	"information"	"apart"	"from"	"the"	"case"	"record"	"0"	"0"	"0"	
"1:10:01::"	"my"	"with"	"∅"	"teenager"	"∅_my"	"my_with"	"with_teenager"	"∅_∅_my"	"∅_my_with"	"my_with_teenager"	"with_teenager_confirm"	"ε"	"ε"	"PRP$"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interview"	"with"	"teenager"	"confirm"	"this"	"portrait"	"of"	"the"	"weakening"	"of"	"religious"	"and"	"ethnic"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"i"	"believe_in"	"teenager"	"maintain"	"teenager_i"	"i_believe_in"	"believe_in_maintain"	"the_teenager_i"	"teenager_i_believe_in"	"i_believe_in_maintain"	"believe_in_maintain_their"	"DT"	"NN"	"PRP"	"VB"	"VB"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nevertheless"	"most_of"	"teenager"	"i"	"interview"	"believe_in"	"maintain"	"their"	"jewish"	"identity"	"and"	"even"	"envision"	"join"	"a"	"synagogue"	"or"	"temple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"an"	"ten"	"in"	"year"	"in_an"	"an_ten"	"ten_year"	"that_in_an"	"in_an_ten"	"an_ten_year"	"ten_year_ago"	"IN"	"IN"	"DT"	"NN"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"i"	"seem"	"to"	"remember"	"he"	"say"	"that"	"in"	"interview"	"ten"	"year"	"ago"	"you"	"give"	"humor"	"and"	"comedy"	"five"	"year"	"to"	"live"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
