"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:41:00::"	"going_to"	"you"	"n't"	"-"	"n't_going_to"	"going_to_you"	"you_-"	"is_n't_going_to"	"n't_going_to_you"	"going_to_you_-"	"you_-_later"	"VBZ"	"RB"	"VB"	"VB"	"PRP"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"wife"	"n't"	"going_to"	"join"	"you"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"going_to"	"him"	"was"	"later"	"was_going_to"	"going_to_him"	"him_later"	"she_was_going_to"	"was_going_to_him"	"going_to_him_later"	"him_later_."	"PRP"	"VBD"	"VB"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whoever"	"his"	"companion"	"was"	"be"	"she"	"was"	"going_to"	"join"	"him"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"the"	"persons"	"church"	"persons_who"	"who_the"	"the_church"	"few_persons_who"	"persons_who_the"	"who_the_church"	"the_church_be"	"JJ"	"NNS"	"WP"	"VB"	"DT"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"who"	"join"	"the"	"church"	"be"	"insincere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"why"	"the"	"``"	"church"	"``_why"	"why_the"	"the_church"	",_``_why"	"``_why_the"	"why_the_church"	"the_church_''"	"ε"	"ε"	"WRB"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ask"	"member"	"to"	"write"	"a"	"statement"	"on"	"such"	"topics"	"as"	"what"	"christ"	"mean"	"to"	"me"	"the"	"church"	"mean"	"to"	"me"	"why"	"join"	"the"	"church"	"the"	"duties"	"of"	"church_members"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"the"	"those"	"church"	"those_who"	"who_the"	"the_church"	"of_those_who"	"those_who_the"	"who_the_church"	"the_church_were"	"IN"	"DT"	"WP"	"VB"	"DT"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"study"	"of"	"major"	"denominational"	"membership"	"statistics"	"over"	"a"	"twenty-year"	"reveal"	"the"	"appalling"	"fact"	"that"	"nearly"	"per_cent"	"of"	"those"	"who"	"join"	"the"	"church"	"were"	"lose"	"to"	"the"	"church"	"within"	"seven"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"are"	"behind"	"now"	"the"	"now_are"	"are_behind"	"behind_the"	"allies_now_are"	"now_are_behind"	"are_behind_the"	"behind_the_neutral"	"NNS"	"RB"	"VBP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fortunately"	"both"	"the"	"republicans"	"and"	"chief"	"western"	"allies"	"now"	"are"	"join"	"behind"	"the"	"neutral"	"laos"	"aim"	"of"	"the"	"president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"board"	"in"	"the"	"take"	"the_board"	"board_in"	"in_take"	"that_the_board"	"the_board_in"	"board_in_take"	"in_take_a"	"IN"	"DT"	"NN"	"VB"	"IN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._molvar"	"ask"	"that"	"the"	"board"	"join"	"in"	"take"	"a"	"stand"	"in_keeping_with"	"jack_lowe"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"may"	"a"	"person"	"conspiracy"	"person_may"	"may_a"	"a_conspiracy"	"a_person_may"	"person_may_a"	"may_a_conspiracy"	"a_conspiracy_without"	"DT"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"deny"	"motions"	"for"	"dismissal"	"judge_powell"	"state"	"that"	"mass"	"trials"	"have"	"uphold"	"as"	"proper"	"in"	"courts"	"and"	"that"	"a"	"person"	"may"	"join"	"a"	"conspiracy"	"without"	"know"	"who"	"all_of"	"the"	"conspirators"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"chamber_of_commerce"	"tour"	"chamber_of_commerce_to"	"to_the"	"the_tour"	"georgia_state_chamber_of_commerce_to"	"chamber_of_commerce_to_the"	"to_the_tour"	"the_tour_next"	"NNP"	"NN"	"TO"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"when"	"former"	"gov._marvin_griffin"	"and"	"lt._gov._byrd"	"the"	"invitations"	"of"	"the"	"georgia_state"	"chamber_of_commerce"	"to"	"join"	"the"	"tour"	"next"	"november"	"the"	"situation"	"was"	"aggravate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"fiske"	"them"	"∅"	","	"∅_fiske"	"fiske_them"	"them_,"	"∅_∅_fiske"	"∅_fiske_them"	"fiske_them_,"	"them_,_unsteady"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"join"	"them"	"unsteady"	"on"	"his"	"feet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
