"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:42:00::"	"will"	"ritiuality"	"it"	"and"	"it_will"	"will_ritiuality"	"ritiuality_and"	"want_it_will"	"it_will_ritiuality"	"will_ritiuality_and"	"ritiuality_and_loyalty"	"VB"	"PRP"	"MD"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must"	"persuade"	"them"	"to"	"enjoy"	"a"	"way_of_life"	"which"	"if_not"	"identical"	"be"	"congenial"	"with"	"ours"	"he"	"say"	"but"	"that"	"if"	"they"	"do"	"not"	"develop"	"the"	"kind_of"	"society"	"they"	"themselves"	"want"	"it"	"will"	"lack"	"ritiuality"	"and"	"loyalty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"flat"	"electricity"	"the"	"."	"the_flat"	"flat_electricity"	"electricity_."	"because_the_flat"	"the_flat_electricity"	"flat_electricity_."	"electricity_._∅"	"IN"	"DT"	"JJ"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assistant"	"fire_chief"	"chester_cornell"	"say"	"gas"	"fumes"	"apparently"	"were"	"ignite"	"by"	"a"	"candle"	"which"	"of"	"the"	"three"	"kowalski"	"girls"	"present"	"hold"	"for"	"her"	"mother"	"because"	"the"	"flat"	"lack"	"electricity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"of"	"be"	"full"	"be_a"	"a_of"	"of_full"	"have_be_a"	"be_a_of"	"a_of_full"	"of_full_information"	"VB"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"one"	"of"	"the"	"major"	"reason"	"for"	"the"	"failure"	"the"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"be"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"faith"	"force"	"ancestral"	"and"	"ancestral_faith"	"faith_force"	"force_and"	"the_ancestral_faith"	"ancestral_faith_force"	"faith_force_and"	"force_and_authority"	"DT"	"JJ"	"NN"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"offer"	"for"	"to"	"the"	"ancestral"	"faith"	"lack"	"force"	"and"	"authority"	"even"	"in"	"the"	"teenager"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"our"	"of"	"of"	"detailed"	"of_our"	"our_of"	"of_detailed"	"bear_of_our"	"of_our_of"	"our_of_detailed"	"of_detailed_information"	"VB"	"IN"	"PRP$"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"interpret"	"indeed"	"the"	"era"	"from"	"to"	"as"	"a"	"period"	"mainly"	"of"	"consolidation"	"be"	"a"	"necessary"	"but"	"unfortunate"	"defect"	"bear"	"of"	"our"	"lack"	"of"	"detailed"	"information"	"if"	"we"	"could"	"see"	"more"	"deeply"	"we"	"probably"	"would"	"find"	"many"	"side"	"issue"	"and"	"wrong"	"turning"	"which"	"come"	"to"	"an"	"end"	"within"	"the"	"period"	
"1:26:00::"	"the"	"of"	"than"	"beer"	"than_the"	"the_of"	"of_beer"	"more_than_the"	"than_the_of"	"the_of_beer"	"of_beer_during"	"NN"	"RB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"hero"	"of"	"this"	"work"	"by"	"person"	"person"	"be"	"a"	"chap"	"embitter"	"by"	"more"	"than"	"the"	"lack"	"of"	"beer"	"during"	"a"	"jam_session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"performance"	"authority"	"the"	"and"	"the_performance"	"performance_authority"	"authority_and"	"if_the_performance"	"the_performance_authority"	"performance_authority_and"	"authority_and_musical"	"IN"	"DT"	"NN"	"VB"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_of"	"this"	"would"	"be"	"wasted"	"if"	"the"	"performance"	"lack"	"authority"	"and"	"musical"	"distinction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	","	"of"	"accent"	"appreciation"	"accent_,"	",_of"	"of_appreciation"	"harsh_accent_,"	"accent_,_of"	",_of_appreciation"	"of_appreciation_of"	"JJ"	"NN"	"ε"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"south"	"antipathy"	"to"	"northern"	"civilization"	"include"	"such"	"as"	"poor"	"manners"	"harsh"	"accent"	"lack"	"of"	"appreciation"	"of"	"the"	"art"	"of"	"living"	"like"	"gastronomy"	"and"	"the"	"use"	"of"	"leisure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"often"	"even"	"we"	"the"	"we_often"	"often_even"	"even_the"	"here_we_often"	"we_often_even"	"often_even_the"	"even_the_empirically"	"RB"	"PRP"	"RB"	"VB"	"RB"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"collective"	"policy"	"group"	"and"	"national"	"are"	"similarly"	"on"	"voodoo"	"but"	"here"	"we"	"often"	"lack"	"even"	"the"	"empirically"	"successful"	"ritual"	"and"	"are"	"still"	"engage"	"in"	"determine"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"of"	"be"	"verbal"	"be_a"	"a_of"	"of_verbal"	"child_be_a"	"be_a_of"	"a_of_verbal"	"of_verbal_communication"	"NN"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"obstacle"	"to"	"the"	"easy"	"control"	"a"	"year"	"old"	"child"	"be"	"a"	"lack"	"of"	"verbal"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
