"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"3:01:00::"	"earlier"	"treatment"	"also"	"of"	"also_earlier"	"earlier_treatment"	"treatment_of"	"and_also_earlier"	"also_earlier_treatment"	"earlier_treatment_of"	"treatment_of_those"	"CC"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"earlier"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"process"	"of"	"have"	"of_the"	"the_process"	"process_have"	"aspect_of_the"	"of_the_process"	"the_process_have"	"process_have_special"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"facet"	"of"	"aspect"	"of"	"the"	"literary"	"process"	"have"	"special"	"significance"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"value"	"feature"	"has"	"feature_of"	"of_value"	"value_has"	"salient_feature_of"	"feature_of_value"	"of_value_has"	"value_has_been"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"VBZ"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"salient"	"feature"	"of"	"literary"	"value"	"has"	"been"	"deem"	"to"	"be"	"its"	"influence"	"upon"	"and"	"organization"	"of"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"scholarship"	"purpose"	"be"	"purpose_of"	"of_scholarship"	"scholarship_be"	"ultimate_purpose_of"	"purpose_of_scholarship"	"of_scholarship_be"	"scholarship_be_to"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"might"	"argue"	"the"	"ultimate"	"purpose"	"of"	"literary"	"scholarship"	"be"	"to"	"correct"	"this"	"spontaneous"	"provincialism"	"that"	"be"	"likely"	"to"	"obscure"	"the"	"horizon"	"of"	"the"	"general"	"public"	"of"	"the"	"newspaper_critic"	"and"	"of"	"the"	"creative"	"artist"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"recur"	"influence"	"frequently"	"on"	"frequently_recur"	"recur_influence"	"influence_on"	"most_frequently_recur"	"frequently_recur_influence"	"recur_influence_on"	"influence_on_the"	"RB"	"RB"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"most"	"and"	"most"	"frequently"	"recur"	"literary"	"influence"	"on"	"the"	"western"	"world"	"has"	"be"	"that"	"of"	"the"	"old_testament"	"and"	"new_testament"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"circle"	"throughout"	"of"	"throughout_the"	"the_circle"	"circle_of"	"manuscript_throughout_the"	"throughout_the_circle"	"the_circle_of"	"circle_of_europe"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"such"	"be"	"the"	"impromptu"	"that"	"voltaire"	"give"	"to"	"howl"	"of"	"laughter"	"at"	"location"	"and"	"was"	"soon"	"circulate"	"manuscript"	"throughout"	"the"	"literary"	"circle"	"of"	"europe"	"to"	"be"	"print"	"sometime"	"later"	"but"	"with"	"the"	"name"	"of"	"person"	"the"	"famous"	"misanthrope"	"substitute"	"for"	"that"	"of"	"rousseau"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"strong"	"quality"	"have"	"that"	"have_strong"	"strong_quality"	"quality_that"	"drama_have_strong"	"have_strong_quality"	"strong_quality_that"	"quality_that_be"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"the"	"pattern"	"and"	"flow"	"the"	"drama"	"have"	"strong"	"literary"	"quality"	"that"	"be"	"a_bit"	"wearisome"	"in"	"the"	"first_half"	"before"	"don_quixote"	"go"	"to"	"the"	"duke"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"anglo-american"	"critic"	"the"	"-"	"the_anglo-american"	"anglo-american_critic"	"critic_-"	",_the_anglo-american"	"the_anglo-american_critic"	"anglo-american_critic_-"	"critic_-_his"	"ε"	"DT"	"NN"	"JJ"	"NN"	"ε"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"call"	"the"	"afternoon"	"on"	"my"	"friend"	"person"	"the"	"anglo-american"	"literary"	"critic"	"his"	"mother"	"be_born"	"in"	"ohio"	"who"	"live"	"alone"	"in"	"a"	"fairytale"	"cottage"	"on"	"the"	"location"	"raise_hell"	"and"	"peacock"	"the"	"former"	"only"	"when"	"the"	"venerable"	"gentleman"	"become"	"an"	"angry"	"old_man"	"about"	"the"	"state"	"of"	"literature"	"or"	"something"	"else"	"that"	"is"	"dwindle"	"and"	"diminish"	"such_as"	"human"	"stature"	"hope"	"and"	"humor"	
"3:01:00::"	"a"	"figure"	"discuss"	"who"	"discuss_a"	"a_figure"	"figure_who"	"to_discuss_a"	"discuss_a_figure"	"a_figure_who"	"figure_who_use"	"VB"	"VB"	"DT"	"JJ"	"NN"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"one"	"to"	"discuss"	"a"	"literary"	"figure"	"who"	"use"	"folklore"	"in"	"his"	"work"	"the"	"first"	"thing"	"he"	"must"	"realize"	"be"	"that"	"the"	"literary"	"figure"	"be"	"probably"	"part"	"of"	"this"	"ignorant"	"american"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"figure"	"that"	"be"	"that_the"	"the_figure"	"figure_be"	"be_that_the"	"that_the_figure"	"the_figure_be"	"figure_be_probably"	"VB"	"IN"	"DT"	"JJ"	"NN"	"VB"	"RB"	"0"	"if"	"one"	"wish"	"to"	"discuss"	"a"	"literary"	"figure"	"who"	"use"	"folklore"	"in"	"his"	"work"	"the"	"first"	"thing"	"he"	"realize"	"be"	"the"	"literary"	"figure"	"be"	"probably"	"part"	"of"	"this"	"ignorant"	"american"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
