"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"1:04:00::"	"general"	"planning"	"and"	"job"	"and_general"	"general_planning"	"planning_job"	"marketing_and_general"	"and_general_planning"	"general_planning_job"	"planning_job_as"	"NN"	"CC"	"JJ"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"provide"	"good"	"customer"	"service"	"require"	"thorough"	"a"	"marketing"	"and"	"general"	"management"	"planning"	"job"	"as"	"the"	"original"	"selling"	"of"	"the"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"which"	"can"	"figure"	"act_on"	"figure_which"	"which_can"	"can_act_on"	"balance_sheet_figure_which"	"figure_which_can"	"which_can_act_on"	"can_act_on_with"	"NN"	"NN"	"WDT"	"NN"	"MD"	"VB"	"IN"	"individual"	"in"	"your"	"organization"	"who"	"can"	"shepherd"	"a"	"new"	"product"	"through"	"to"	"commercialization"	"who"	"can"	"develop"	"reliable"	"estimate"	"of"	"sale"	"volume"	"production"	"and"	"distribution_cost"	"and"	"translate"	"the"	"whole"	"into"	"profit_and_loss"	"balance_sheet"	"figure"	"which"	"can"	"act_on"	"with"	"some"	"assurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"sale"	","	","	"whether"	",_sale"	"sale_,"	",_whether"	"competition_,_sale"	",_sale_,"	"sale_,_whether"	",_whether_at"	"NN"	"ε"	"NN"	"NN"	"ε"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"growing"	"complexity"	"of"	"and"	"intensity"	"of"	"competition"	"sale"	"management"	"whether"	"at"	"the"	"district"	"region"	"or"	"headquarters"	"level"	"be"	"a"	"tough"	"job"	"today"	"and"	"it"	"will"	"be"	"tough"	"in_the"	"future"	
"1:14:00::"	"your"	"group"	"throughout"	"to"	"throughout_your"	"your_group"	"group_to"	"review_throughout_your"	"throughout_your_group"	"your_group_to"	"group_to_get"	"VB"	"IN"	"PRP$"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"annual"	"marketing"	"review"	"throughout"	"your"	"management"	"group"	"to"	"get"	"the"	"perspective"	"of"	"all"	"individual"	"and"	"get"	"everyone"	"on"	"the"	"marketing"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"game"	"practice"	"and"	","	"and_game"	"game_practice"	"practice_,"	"use_and_game"	"and_game_practice"	"game_practice_,"	"practice_,_there"	"NN"	"CC"	"NN"	"NN"	"NN"	"ε"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"due_to"	"modern"	"use"	"and"	"game"	"management"	"practice"	"there"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"group"	"got_the_business"	"the"	"from"	"the_group"	"group_got_the_business"	"got_the_business_from"	"year_the_group"	"the_group_got_the_business"	"group_got_the_business_from"	"got_the_business_from_the"	"NN"	"DT"	"NNP"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"couple"	"year"	"the"	"group"	"management"	"got_the_business"	"from"	"the"	"group"	"when"	"game"	"were"	"cut_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"business"	"and"	"small"	"research"	"small_business"	"business_and"	"and_research"	"to_small_business"	"small_business_and"	"business_and_research"	"and_research_and"	"VB"	"JJ"	"NN"	"NN"	"CC"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"sba"	"provide"	"guidance"	"and"	"advice"	"on"	"of"	"technical"	"information"	"relate"	"to"	"small"	"business"	"management"	"and"	"research"	"and"	"development"	"of"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"practical"	"problem"	"∅"	"and"	"∅_practical"	"practical_problem"	"problem_and"	"∅_∅_practical"	"∅_practical_problem"	"practical_problem_and"	"problem_and_their"	"ε"	"ε"	"JJ"	"NN"	"NN"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"management"	"problem"	"and"	"their"	"suggested"	"solution"	"are"	"deal"	"with"	"in"	"a"	"series"	"of"	"sba"	"publication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"efficiency"	"improve"	"and"	"improve_the"	"the_efficiency"	"efficiency_and"	"to_improve_the"	"improve_the_efficiency"	"the_efficiency_and"	"efficiency_and_``"	"TO"	"VB"	"DT"	"NN"	"NN"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"offer"	"administrative_management_courses"	"which"	"design"	"to"	"improve"	"the"	"management"	"efficiency"	"and"	"know-how"	"of"	"small"	"business_concern"	"within"	"a"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"sound"	"principle"	"on"	"be"	"on_sound"	"sound_principle"	"principle_be"	"advice_on_sound"	"on_sound_principle"	"sound_principle_be"	"principle_be_available"	"NN"	"IN"	"JJ"	"NN"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"the"	"sba"	"management_counseling_program"	"practical"	"advice"	"on"	"sound"	"management"	"principle"	"be"	"available"	"upon"	"request"	"to"	"both"	"prospective"	"and"	"established"	"businessman"	"in"	"a"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
