"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"
"2:41:00::"	"``"	"''"	"to"	","	"to_``"	"``_''"	"''_,"	"parolees_to_``"	"to_``_''"	"``_''_,"	"''_,_watch"	"NNS"	"TO"	"ε"	"VB"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._marr"	"also"	"have"	"parolees"	"to"	"mother"	"watch"	"to"	"see"	"that"	"they"	"do"	"not"	"break"	"their"	"parole"	"and"	"that"	"they"	"also"	"learn"	"to"	"readjust"	"to"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"be"	"who"	"it"	"plant"	"it_be"	"be_who"	"who_plant"	"∅_it_be"	"it_be_who"	"be_who_plant"	"who_plant_the"	"ε"	"PRP"	"VB"	"NN"	"WP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"mother"	"who"	"plant"	"the"	"verbena"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"or"	"person"	"son"	"person_,"	",_or"	"or_son"	"the_person_,"	"person_,_or"	",_or_son"	"or_son_,"	"DT"	"NNP"	"ε"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mother"	"or"	"son"	"or"	"mother"	"and"	"son"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"or"	"and"	","	"son"	",_or"	"or_and"	"and_son"	"son_,_or"	",_or_and"	"or_and_son"	"and_son_?"	"NN"	"ε"	"CC"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"person"	"mother"	"son"	"or"	"mother"	"and"	"son"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"protestant"	"with"	"a"	"a"	"a_protestant"	"protestant_with"	"with_a"	"provide_a_protestant"	"a_protestant_with"	"protestant_with_a"	"with_a_contraceptive_device"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"new_york_city"	"in"	"the"	"city"	"commissioner"	"of"	"hospital"	"refuse"	"permit"	"a"	"physician"	"to"	"provide"	"a"	"protestant"	"mother"	"with"	"a"	"contraceptive_device"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"by"	"feed"	"mamma"	"feed_and"	"and_by"	"by_mamma"	"being_feed_and"	"feed_and_by"	"and_by_mamma"	"by_mamma_and"	"VBG"	"VB"	"CC"	"VB"	"IN"	"NN"	"CC"	"following"	"year"	"her"	"father"	"undertake"	"to"	"give"	"a"	"course"	"in"	"hebrew"	"theology"	"to"	"group"	"student"	"and"	"this"	"bring"	"to"	"the"	"person"	"house"	"a"	"group"	"of"	"bright"	"young"	"jew"	"who"	"had"	"come"	"to"	"baltimore"	"to"	"study"	"and"	"who"	"enjoy"	"being"	"feed"	"and"	"by"	"mamma"	"and"	"entertain"	"by"	"person"	"and"	"person"	"who"	"play"	"and"	"sing"	"for"	"them"	"in"	"the"	"upstairs"	"sitting_room"	"on"	"sunday"	"evening"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"and"	"and"	"father"	"each_other"	"father_and"	"and_and"	"and_each_other"	"have_got_father_and"	"father_and_and"	"and_and_each_other"	"and_each_other_,"	"VB"	"NN"	"CC"	"NN"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"have_got"	"and"	"mother"	"and"	"each_other"	"say"	"person"	"on"	"the"	"first"	"page"	"of"	"person"	"little_women"	"and"	"i"	"do"	"think"	"that"	"family"	"be"	"the"	"most"	"beautiful"	"thing"	"in"	"all"	"the"	"world"	"burst_out"	"person"	"some"	"five_hundred"	"page"	"later"	"in"	"that"	"popular"	"story"	"of"	"the"	"person"	"family"	"which"	"had"	"first"	"appear"	"when"	"person"	"be"	"eight"	"and"	"the"	"person"	"family"	"as"	"it"	"develop"	"bear"	"a"	"striking"	"resemblance"	"to"	"the"	"person"	
"1:18:00::"	"and"	"''"	"wife"	"."	"wife_and"	"and_''"	"''_."	"wise_wife_and"	"wife_and_''"	"and_''_."	"''_._∅"	"JJ"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"more"	"like"	"person"	"the"	"eldest"	"person"	"girl"	"who"	"learn"	"that"	"a"	"woman"	"happy"	"kingdom"	"be"	"home"	"her"	"highest"	"honor"	"the"	"art"	"of"	"rule"	"it"	"not"	"as"	"a"	"queen"	"but"	"a"	"wise"	"and"	"mother"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"could"	"bent"	"do"	"bent_his"	"his_could"	"could_do"	"musical_bent_his"	"bent_his_could"	"his_could_do"	"could_do_little"	"JJ"	"NN"	"PRP$"	"NN"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"her"	"son"	"evidence"	"strong"	"a"	"musical"	"bent"	"his"	"mother"	"could"	"do"	"little"	"else"	"but"	"get"	"him"	"start"	"on"	"the"	"study"	"of"	"music"	"though"	"she"	"wait"	"until"	"he"	"be"	"ten"	"begin"	"with"	"the"	"piano"	"and"	"follow"	"that"	"with"	"the"	"trumpet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"'s"	"on"	"urging"	"on_his"	"his_'s"	"'s_urging"	"and_on_his"	"on_his_'s"	"his_'s_urging"	"'s_urging_-"	"CC"	"IN"	"PRP$"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"family"	"business"	"fail"	"leave"	"school"	"and"	"on"	"his"	"mother"	"urging"	"for"	"she"	"hope"	"that"	"he"	"would"	"become"	"an"	"actor"	"he"	"join"	"a"	"local"	"little"	"theater"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
