"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"
"1:14:00::"	"our"	"'s"	"in"	"commuter"	"in_our"	"our_'s"	"'s_commuter"	"crisis_in_our"	"in_our_'s"	"our_'s_commuter"	"'s_commuter_railroad"	"NN"	"IN"	"PRP$"	"NN"	"POS"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"time"	"crisis"	"in"	"our"	"nation"	"commuter"	"railroad"	"a"	"new"	"threat"	"to"	"the"	"continued"	"operation"	"of"	"the"	"group"	"has"	"appear"	"in"	"the"	"form"	"of"	"the"	"group"	"proposal"	"for"	"control"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"and"	"of"	"the"	"of_the"	"the_and"	"and_the"	"part_of_the"	"of_the_and"	"the_and_the"	"and_the_importance"	"NN"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_view_of"	"the"	"increasing"	"shortage"	"of"	"usable"	"and"	"ground_water"	"in"	"many"	"part"	"of"	"the"	"nation"	"and"	"the"	"importance"	"of"	"find"	"new"	"source"	"of"	"supply"	"to"	"meet"	"its"	"present"	"and"	"future"	"water"	"need"	"it"	"be"	"the"	"policy"	"of"	"the"	"congress"	"to"	"provide_for"	"the"	"development"	"of"	"practicable"	"low-cost"	"means"	"for"	"the"	"large-scale"	"production"	"of"	"water"	"of"	"a"	"quality"	"suitable"	"for"	"municipal"	"industrial"	"agricultural"	"and"	"beneficial"	"consumptive"	"use"	"from"	"saline"	"water"	"and"	"for"	"study"	"and"	"research"	"related"	"thereto"	
"1:14:00::"	"the"	"and"	"of"	"that"	"of_the"	"the_and"	"and_that"	"defense_of_the"	"of_the_and"	"the_and_that"	"and_that_development"	"NN"	"IN"	"DT"	"NN"	"CC"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"and"	"development"	"activity"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"economy_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"development"	"activity"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"schoolmaster_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"NN"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_england"	"as"	"everyone"	"know"	"has"	"be"	"schoolmaster"	"to"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"'s"	"cope_with"	"backlog"	"cope_with_the"	"the_'s"	"'s_backlog"	"to_cope_with_the"	"cope_with_the_'s"	"the_'s_backlog"	"'s_backlog_of"	"JJ"	"VB"	"DT"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"successful"	"rehabilitation"	"of"	"over"	"a"	"half"	"million"	"disabled"	"person"	"in"	"the"	"first"	"eleven"	"after"	"the"	"existing"	"program"	"was"	"still"	"see"	"to"	"be"	"inadequate"	"to"	"cope_with"	"the"	"nation"	"backlog"	"of"	"an"	"estimated"	"two"	"million"	"disabled"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"our"	"."	"of"	"∅"	"of_our"	"our_."	"._∅"	"life_of_our"	"of_our_."	"our_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"time"	"has"	"come"	"for"	"citizen"	"of"	"all"	"faith"	"to"	"unite"	"in"	"an"	"effort"	"remove"	"this"	"divisive"	"and"	"nettlesome"	"issue"	"from"	"the"	"political"	"and"	"social"	"life"	"of"	"our"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"wish"	"if"	"to"	"if_a"	"a_wish"	"wish_to"	"∅_if_a"	"if_a_wish"	"a_wish_to"	"wish_to_get"	"ε"	"IN"	"DT"	"NN"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"nation"	"wish"	"to"	"get"	"a"	"head_start"	"in"	"physical"	"fitness"	"over"	"all"	"nation"	"it"	"would"	"start"	"its"	"kindergarten"	"student"	"on"	"a"	"program"	"of"	"gymnastics"	"the"	"day"	"they"	"enter"	"and"	"thus"	"eliminate"	"a"	"large_number"	"of"	"the"	"problem"	"that"	"plague"	"american"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"all"	","	"over"	"it"	"over_all"	"all_,"	",_it"	"fitness_over_all"	"over_all_,"	"all_,_it"	",_it_would"	"NN"	"IN"	"DT"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"nation"	"wish"	"to"	"get"	"head_start"	"in"	"physical"	"fitness"	"over"	"all"	"nation"	"it"	"would"	"start"	"its"	"kindergarten"	"student"	"on"	"a"	"program"	"of"	"gymnastics"	"the"	"day"	"they"	"enter"	"and"	"thus"	"eliminate"	"a"	"large_number"	"of"	"the"	"problem"	"that"	"plague"	"american"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"fit"	"."	"physically"	"∅"	"physically_fit"	"fit_."	"._∅"	"a_physically_fit"	"physically_fit_."	"fit_._∅"	"._∅_∅"	"DT"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"ask"	"that"	"become"	"a"	"physically"	"fit"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
