"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"4:02:00::"	"they"	"approve"	"which"	"birth_control"	"which_they"	"they_approve"	"approve_birth_control"	"in_which_they"	"which_they_approve"	"they_approve_birth_control"	"approve_birth_control_,"	"RB"	"RB"	"PRP"	"RB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"then"	"many"	"protestant_denomination"	"have"	"pronouncement"	"in"	"which"	"they"	"not_only"	"approve"	"birth_control"	"but"	"declare"	"it"	"at_times"	"to"	"be"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"now"	"approve"	"is"	"by"	"is_now"	"now_approve"	"approve_by"	"civil_law_is_now"	"is_now_approve"	"now_approve_by"	"approve_by_the"	"NN"	"VB"	"RB"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"action"	"once"	"universally"	"condemn"	"by"	"all"	"and"	"forbid"	"by"	"the"	"civil_law"	"is"	"now"	"not_only"	"approve"	"by"	"the"	"overwhelming"	"majority"	"of"	"protestant_denomination"	"but"	"also"	"deem"	"at"	"certain"	"time"	"to"	"be"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"infuriate"	"me"	"month"	"but"	"month_infuriate"	"infuriate_me"	"me_but"	"many_month_infuriate"	"month_infuriate_me"	"infuriate_me_but"	"me_but_the"	"JJ"	"NN"	"VB"	"RB"	"PRP"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"patient"	"a"	"paranoid"	"woman"	"many"	"month"	"infuriate"	"not_only"	"me"	"but"	"the"	"ward"	"personnel"	"and"	"her"	"fellow"	"patient"	"by"	"arrogantly"	"behave"	"as"	"though"	"she"	"own"	"the"	"whole"	"building"	"as"	"though"	"she"	"be"	"the"	"only"	"person"	"in"	"it"	"whose"	"need"	"be"	"to"	"be"	"meet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"incipiency"	"the"	"its"	"substantial"	"its_incipiency"	"incipiency_the"	"the_substantial"	"in_its_incipiency"	"its_incipiency_the"	"incipiency_the_substantial"	"the_substantial_lessening"	"IN"	"PRP$"	"NN"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"the"	"purpose"	"of_this"	"provision"	"was"	"thus"	"explain"	"in"	"the"	"court"	"opinion"	"section"	"is"	"design"	"to"	"arrest"	"in"	"incipiency"	"not_only"	"the"	"substantial"	"lessening"	"of"	"competition"	"from"	"the"	"acquisition"	"by"	"one"	"corporation"	"of"	"the"	"whole"	"or"	"any"	"part"	"of"	"the"	"stock"	"of"	"a"	"competing"	"corporation"	"but"	"also"	"to"	"arrest"	"in"	"their"	"incipiency"	"restraint"	"or"	"monopoly"	"in"	"a"	"relevant"	"market"	"which"	"as"	"a"	"reasonable"	"probability"	"appear"	"at"	"the"	"time"	"of"	"suit"	"likely"	"to"	"result"	"from"	"the"	"acquisition"	"by"	"one"	"corporation"	"of"	"all"	"or"	"any"	"part"	"of"	"the"	"stock"	"of"	"any"	"corporation"	
"4:02:00::"	","	"to"	"tissue"	"wipe"	"tissue_,"	",_to"	"to_wipe"	"cleansing_tissue_,"	"tissue_,_to"	",_to_wipe"	"to_wipe_my"	"JJ"	"NN"	"ε"	"RB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition_to"	"the"	"usual"	"tool"	"i"	"make"	"use"	"of"	"cleansing"	"tissue"	"not_only"	"to"	"wipe"	"my"	"brush"	"but"	"to"	"mop_up"	"certain"	"area"	"to"	"soften"	"edge"	"and"	"to"	"open_up"	"light"	"in"	"dark"	"wash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"which"	"must"	"network"	"be"	"network_which"	"which_must"	"must_be"	"of_network_which"	"network_which_must"	"which_must_be"	"must_be_change"	"IN"	"NN"	"WDT"	"RB"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"network"	"for"	"military"	"communication"	"be"	"of"	"the"	"best"	"example"	"of"	"network"	"which"	"not_only"	"must"	"be"	"change"	"with"	"the"	"change"	"in"	"objective"	"but"	"also"	"must"	"be"	"change"	"with"	"the"	"addition"	"of"	"new"	"machine"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"weight"	"the"	"which"	"number"	"which_weight"	"weight_the"	"the_number"	",_which_weight"	"which_weight_the"	"weight_the_number"	"the_number_of"	"ε"	"WDT"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"present"	"a"	"simple"	"equation"	"for"	"an"	"index"	"of"	"persistence"	"which"	"weight"	"not_only"	"the"	"number"	"of"	"stem"	"root"	"per"	"meaning"	"but"	"their"	"relative_frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"has"	"have"	"person"	"much"	"person_has"	"has_have"	"have_much"	"that_person_has"	"person_has_have"	"has_have_much"	"have_much_experience"	"IN"	"NNP"	"VBZ"	"RB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"that"	"person"	"has"	"not_only"	"have"	"much"	"experience"	"with"	"basic"	"vocabulary"	"in"	"many"	"language"	"but"	"has"	"acquire"	"great"	"tact"	"and"	"feeling"	"for"	"the"	"expectable"	"behavior"	"of"	"lexical"	"item"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"n"	"commute"	"and"	"but"	"and_n"	"n_commute"	"commute_but"	"d_and_n"	"and_n_commute"	"n_commute_but"	"commute_but_be"	"NN"	"CC"	"NN"	"RB"	"VB"	"CC"	"VB"	"just"	"observe"	"that"	"we"	"can"	"write"	"f"	"where"	"d"	"be"	"diagonalizable"	"and"	"n"	"be"	"nilpotent"	"and"	"where"	"d"	"and"	"n"	"commute"	"but"	"be"	"polynomial"	"in"	"t"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"request"	"through"	"'s"	"their"	"'s_request"	"request_through"	"through_their"	"person_'s_request"	"'s_request_through"	"request_through_their"	"through_their_regular"	"NNP"	"POS"	"NN"	"RB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dance"	"teacher"	"can"	"to"	"person"	"request"	"not_only"	"through"	"their"	"regular"	"dance"	"work"	"but"	"also"	"through"	"the"	"kind"	"of"	"basic"	"gymnastic"	"work"	"that"	"make_for"	"strength"	"and"	"flexibility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
