"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"1:18:01::"	"belgian"	"of"	"a"	"the"	"a_belgian"	"belgian_of"	"of_the"	",_a_belgian"	"a_belgian_of"	"belgian_of_the"	"of_the_group"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"and"	"it"	"be"	"all"	"the"	"more"	"tragic"	"because"	"it"	"be"	"so"	"little"	"deserved"	"say"	"person"	"a"	"official"	"of"	"the"	"group"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"with"	"offer"	","	"tea"	",_with"	"with_offer"	"offer_tea"	"vientiane_,_with"	",_with_offer"	"with_offer_tea"	"offer_tea_and"	"NN"	"ε"	"IN"	"NN"	"VB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"we"	"enjoy"	"our"	"round"	"the"	"government_office"	"in"	"vientiane"	"with"	"official"	"offer"	"tea"	"and"	"pleasing"	"conversation"	"in"	"french"	"we"	"were"	"get"	"nowhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"administration"	","	"of"	"member"	"of_administration"	"administration_,"	",_member"	"attention_of_administration"	"of_administration_,"	"administration_,_member"	",_member_of"	"NN"	"IN"	"NN"	"NN"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"the"	"strategy"	"of"	"blockade"	"therefore"	"that"	"be"	"suddenly"	"at"	"the"	"of"	"attention"	"of"	"administration"	"official"	"member"	"of"	"congress"	"officer"	"in"	"the"	"pentagon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"park"	"often"	"state"	"have"	"state_park"	"park_often"	"often_have"	"harassed_state_park"	"state_park_often"	"park_often_have"	"often_have_more"	"JJ"	"JJ"	"NN"	"NN"	"RB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"harassed"	"park"	"official"	"often"	"have"	"more"	"camper"	"than"	"they"	"know"	"what"	"to"	"do"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"group"	"become"	"former"	"a"	"former_group"	"group_become"	"become_a"	"a_former_group"	"former_group_become"	"group_become_a"	"become_a_group"	"DT"	"JJ"	"NNP"	"NN"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"official"	"become"	"a"	"group"	"vice_president"	"and"	"set_about"	"maximize"	"group"	"share"	"of"	"the"	"group"	"market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"an"	"word"	"without"	"to"	"without_an"	"an_word"	"word_to"	",_without_an"	"without_an_word"	"an_word_to"	"word_to_anybody"	"ε"	"IN"	"DT"	"JJ"	"NN"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"take"	"a"	"midnight"	"train"	"of"	"cleveland"	"saturday"	"without"	"an"	"official"	"word"	"to"	"anybody"	"and"	"has"	"stay"	"away"	"from"	"newsman"	"on"	"his"	"train"	"trip"	"across_the_nation"	"to"	"location"	"location"	"where"	"his"	"wife"	"former"	"olympic"	"diving"	"champion"	"person"	"await"	
"1:18:00::"	"team"	"who"	"and"	"receive"	"and_team"	"team_who"	"who_receive"	"coach_and_team"	"and_team_who"	"team_who_receive"	"who_receive_an"	"NN"	"CC"	"NN"	"NN"	"WP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"head"	"a"	"of"	"player"	"coach"	"and"	"team"	"official"	"who"	"receive"	"an"	"engrossed"	"copy"	"of"	"an"	"official"	"city"	"citation"	"and"	"a"	"pair"	"of"	"silver"	"cufflink"	"shape"	"like"	"a"	"football"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"an"	"city"	"of"	"citation"	"of_an"	"an_city"	"city_citation"	"copy_of_an"	"of_an_city"	"an_city_citation"	"city_citation_and"	"NN"	"IN"	"DT"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"head"	"a"	"group"	"of"	"player"	"coach"	"and"	"team"	"official"	"who"	"receive"	"an"	"copy"	"of"	"an"	"official"	"city"	"citation"	"and"	"a"	"pair"	"of"	"silver"	"cufflink"	"shape"	"like"	"a"	"football"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"an"	"."	"of"	"∅"	"of_an"	"an_."	"._∅"	"person_of_an"	"of_an_."	"an_._∅"	"._∅_∅"	"NNP"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"can"	"remove"	"the"	"ball"	"can't"	"i"	"person"	"of"	"an"	"official"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"."	"say"	"∅"	"say_the"	"the_."	"._∅"	",_say_the"	"say_the_."	"the_._∅"	"._∅_∅"	"ε"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"say"	"official"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
