"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:31:00::"	"were"	"by"	"conferences"	"the"	"conferences_were"	"were_by"	"by_the"	"important_conferences_were"	"conferences_were_by"	"were_by_the"	"by_the_development_council"	"JJ"	"NNS"	"VBD"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"two"	"important"	"were"	"organize"	"by"	"the"	"development_council"	"industrial_division"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"include"	"the"	"activities"	"dedication"	"activities_include"	"include_the"	"the_dedication"	"promotional_activities_include"	"activities_include_the"	"include_the_dedication"	"the_dedication_program"	"JJ"	"NNS"	"VB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"additional"	"activities"	"include"	"organize"	"the"	"dedication"	"program"	"for"	"operation_turnkey"	"the"	"new"	"automated"	"and"	"a"	"conference"	"with"	"representatives"	"of"	"brown_university"	"providence_college"	"and"	"university"	"of"	"rhode_island"	"and"	"eight"	"electronics"	"concerns"	"regarding"	"the"	"inauguration"	"of"	"a"	"training_program"	"for"	"electronics"	"personnel"	"0"	"0"	"0"	
"2:30:00::"	"should"	"its"	"east_providence"	"civil_defense"	"east_providence_should"	"should_its"	"its_civil_defense"	"∅_east_providence_should"	"east_providence_should_its"	"should_its_civil_defense"	"its_civil_defense_setup"	"ε"	"NNP"	"MD"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"should"	"organize"	"its"	"civil_defense"	"setup"	"and"	"begin"	"by"	"appoint"	"a"	"full-time"	"director"	"raymond_h._hawksley"	"the"	"present"	"city"	"cd"	"head"	"believe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"classes"	"be"	"in"	"be_to"	"to_classes"	"classes_in"	"would_be_to"	"be_to_classes"	"to_classes_in"	"classes_in_first_aid"	"MD"	"VB"	"TO"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"first"	"things"	"he"	"would"	"he"	"say"	"would"	"be"	"to"	"organize"	"classes"	"in"	"first_aid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"is"	"around"	"system"	"it"	"system_is"	"is_around"	"around_it"	"the_system_is"	"system_is_around"	"is_around_it"	"around_it_."	"DT"	"NN"	"VBZ"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"set_up"	"a"	"co-operative"	"library"	"system"	"the"	"law"	"require"	"a"	"central"	"book"	"of"	"nonfiction"	"volumes"	"as"	"the"	"nucleus"	"and"	"the"	"system"	"is"	"organize"	"around"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"and"	"citizens"	"plan"	"citizens_have"	"have_and"	"and_plan"	"barbour_county_citizens_have"	"citizens_have_and"	"have_and_plan"	"and_plan_a"	"NNP"	"NNS"	"VBP"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"center"	"around"	"this"	"historic"	"old"	"structure"	"group"	"of"	"public-spirited"	"barbour_county"	"citizens"	"have"	"organize"	"and"	"plan"	"a"	"week-long"	"series"	"of"	"events"	"begin"	"on"	"may"	"th"	"and"	"continue"	"through"	"june"	"rd"	"to"	"observe"	"most"	"appropriately"	"the"	"centennial"	"of"	"the"	"first"	"land"	"engagement"	"of"	"the"	"civil_war"	"at"	"philippi"	
"2:41:00::"	"ably"	"business"	"so"	"operations"	"so_ably"	"ably_business"	"business_operations"	"who_so_ably"	"so_ably_business"	"ably_business_operations"	"business_operations_;"	"WP"	"RB"	"RB"	"VB"	"NN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"throughout"	"these"	"exciting"	"years"	"i"	"have"	"be"	"fortunate"	"for"	"although"	"i"	"have"	"never"	"offer"	"great"	"financial"	"inducements"	"talent"	"has"	"find"	"way"	"to"	"me"	"william_boal"	"who"	"so"	"ably"	"organize"	"business"	"operations"	"john_beach"	"who"	"guide"	"circulation"	"irving_granville"	"and"	"nelson_rector"	"who"	"travel"	"widely"	"call_on"	"business_firms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"begin"	"city"	"which"	"firemen"	"which_begin"	"begin_city"	"city_firemen"	",_which_begin"	"which_begin_city"	"begin_city_firemen"	"city_firemen_in"	"ε"	"WDT"	"VB"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gladden"	"has"	"be"	"an"	"outspoken"	"critic"	"of"	"the"	"present"	"city"	"administration"	"lead"	"his"	"union"	"battle"	"against"	"the"	"teamsters"	"which"	"begin"	"organize"	"city"	"firemen"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"which"	"leavitt"	"unions"	"'s"	"unions_which"	"which_leavitt"	"leavitt_'s"	"five_unions_which"	"unions_which_leavitt"	"which_leavitt_'s"	"leavitt_'s_workers"	"CD"	"NNS"	"WDT"	"VB"	"NNP"	"POS"	"NNS"	"0"	"0"	"0"	"0"	"leavitt"	"as"	"he"	"enter"	"the"	"jury"	"room"	"say"	"he"	"be"	"prepared"	"to"	"answer"	"questions"	"about"	"the"	"his"	"liquor"	"firm"	"pay"	"to"	"stein"	"for"	"labor"	"consultant"	"work"	"with"	"unions"	"which"	"organize"	"leavitt"	"workers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"all"	"the"	"propose"	"dictionary"	"propose_all"	"all_the"	"the_dictionary"	"been_propose_all"	"propose_all_the"	"all_the_dictionary"	"the_dictionary_'s"	"VBN"	"VB"	"DT"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"linguistic"	"technique"	"for"	"reduce"	"the"	"of"	"dictionary"	"information"	"that"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
