"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"1:14:01::"	"the"	"of"	"all"	"laos"	"all_the"	"the_of"	"of_laos"	"practically_all_the"	"all_the_of"	"the_of_laos"	"of_laos_,"	"RB"	"PDT"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"practically"	"the"	"people"	"of"	"laos"	"he"	"explain"	"about"	"two"	"million"	"of"	"them"	"be"	"rice"	"farmer"	"and"	"the"	"means"	"and"	"motive"	"of"	"modern"	"war"	"be"	"as"	"strange"	"to"	"them"	"as"	"clock"	"and"	"steel"	"plow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"village"	"line_up"	"the"	"to"	"the_village"	"village_line_up"	"line_up_to"	"in_the_village"	"the_village_line_up"	"village_line_up_to"	"line_up_to_give"	"IN"	"DT"	"NN"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"village"	"people"	"line_up"	"to"	"give"	"us"	"flower"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:02::"	"your"	"still"	"are"	"alive"	"are_your"	"your_still"	"still_alive"	"``_are_your"	"are_your_still"	"your_still_alive"	"still_alive_''"	"ε"	"VBP"	"PRP$"	"NN"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"people"	"still"	"alive"	"he"	"ask"	"try"	"to"	"touch"	"a"	"part"	"of"	"her"	"life"	"person"	"had"	"n't"	"discuss"	"so"	"he"	"could"	"have"	"something"	"of"	"her"	"for"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"of_this"	"-"	"isolated"	"-_the"	"the_of_this"	"of_this_isolated"	"understand_-_the"	"-_the_of_this"	"the_of_this_isolated"	"of_this_isolated_law"	"VB"	"ε"	"DT"	"NN"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"hate"	"them"	"to"	"understand"	"the"	"people"	"of_this"	"isolated"	"law"	"unto"	"itself"	"world"	"that"	"be"	"person"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"of"	"on_leave"	"number"	"at_one_time"	"number_of"	"of_on_leave"	"on_leave_at_one_time"	"the_number_of"	"number_of_on_leave"	"of_on_leave_at_one_time"	"on_leave_at_one_time_so"	"DT"	"NN"	"IN"	"NN"	"JJ"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"careful"	"restrict"	"the"	"number"	"of"	"people"	"on_leave"	"at_one_time"	"so"	"that"	"your"	"total"	"employment"	"obligation"	"be"	"minimized"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"of"	"∅"	"the"	"∅_the"	"the_of"	"of_the"	"∅_∅_the"	"∅_the_of"	"the_of_the"	"of_the_17th"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"people"	"of"	"the"	"district"	"of"	"new_york"	"and"	"i"	"as"	"their"	"representative"	"in"	"congress"	"take_pride"	"great"	"pride"	"in"	"the"	"group"	"as"	"one"	"of"	"the"	"great"	"and"	"authoritative"	"newspaper"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"give"	"a"	"to"	"sense_of_purpose"	"to_give"	"give_a"	"a_sense_of_purpose"	"say_to_give"	"to_give_a"	"give_a_sense_of_purpose"	"a_sense_of_purpose_,"	"VB"	"TO"	"VB"	"NN"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"literature"	"may"	"say"	"to"	"give"	"people"	"a"	"sense_of_purpose"	"dedication"	"mission"	"significance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"with"	"of"	"be"	"similar"	"be_with"	"with_of"	"of_similar"	"contact_be_with"	"be_with_of"	"with_of_similar"	"of_similar_social"	"NN"	"VB"	"IN"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"reason"	"turn_to"	"first"	"camping"	"first_reason"	"reason_turn_to"	"turn_to_camping"	"the_first_reason"	"first_reason_turn_to"	"reason_turn_to_camping"	"turn_to_camping_be"	"DT"	"JJ"	"NN"	"NN"	"VB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"make"	"no"	"mistake"	"it"	"the"	"first"	"reason"	"people"	"turn_to"	"camping"	"be"	"one"	"of"	"economy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"two"	"to"	"for"	"vacation"	"for_two"	"two_to"	"to_vacation"	"cost_for_two"	"for_two_to"	"two_to_vacation"	"to_vacation_by"	"NN"	"IN"	"JJ"	"NN"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"compute"	"cost"	"for"	"two"	"people"	"to"	"vacation"	"by"	"automobile"	"come_up"	"with"	"an"	"average"	"daily"	"expenditure"	"figure"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
