"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:32:00::"	"it"	"again"	"think"	"his"	"think_it"	"it_again"	"again_his"	"he_think_it"	"think_it_again"	"it_again_his"	"again_his_argument"	"PRP"	"VB"	"PRP"	"VB"	"RB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"also"	"pleased"	"with"	"wide"	"distribution"	"because"	"he"	"think"	"it"	"prove"	"again"	"his"	"argument"	"that"	"dallas"	"investment"	"men"	"can"	"do"	"just_as"	"good"	"a"	"job"	"as"	"the"	"big"	"new_york"	"investment_bankers"	"claim"	"only"	"they"	"can"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"which"	"the"	"statistics"	"enormous"	"statistics_which"	"which_the"	"the_enormous"	"heartening_statistics_which"	"statistics_which_the"	"which_the_enormous"	"the_enormous_growth"	"JJ"	"NNS"	"WDT"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"the"	"recreational"	"boating"	"scene"	"awash"	"with"	"heartening"	"statistics"	"which"	"prove"	"the"	"enormous"	"growth"	"of_that"	"sport"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"what"	"enough"	"they"	"enough_to"	"to_what"	"what_they"	"long_enough_to"	"enough_to_what"	"to_what_they"	"what_they_can"	"JJ"	"RB"	"TO"	"VB"	"WP"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"turnpikes"	"have"	"not"	"be"	"full"	"operation"	"long"	"enough"	"to"	"prove"	"what"	"they"	"can"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"by"	"can"	"a"	"can_be"	"be_by"	"by_a"	"as_can_be"	"can_be_by"	"be_by_a"	"by_a_quick"	"IN"	"MD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"as"	"his"	"disciples"	"boast"	"even_though"	"his"	"emphasis"	"be"	"elsewhere"	"faulkner"	"does"	"show"	"his"	"awareness"	"of"	"the"	"change"	"order"	"of"	"south"	"quite"	"keenly"	"as"	"be"	"prove"	"by"	"a"	"quick"	"recalling"	"of"	"his"	"sartoris"	"and"	"snopes"	"families"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"policy"	"harsh"	"angola"	","	"angola_policy"	"policy_harsh"	"harsh_,"	"its_angola_policy"	"angola_policy_harsh"	"policy_harsh_,"	"harsh_,_there"	"PRP$"	"NNP"	"NN"	"VB"	"JJ"	"ε"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"case"	"of"	"portugal"	"which"	"a_few"	"weeks"	"ago"	"was"	"rumor"	"ready_to"	"the"	"nato_council"	"should"	"critics"	"of"	"its"	"angola"	"policy"	"prove"	"harsh"	"there"	"has"	"be"	"a"	"noticeable"	"relaxation"	"of"	"tension"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"will"	"one"	","	"of"	",_will"	"will_one"	"one_of"	"call_,_will"	",_will_one"	"will_one_of"	"one_of_the"	"VB"	"ε"	"MD"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"increase"	"in"	"the"	"threshold"	"as"	"the"	"conventional"	"strengthen"	"is"	"call"	"will"	"prove"	"one"	"of"	"the"	"alliance"	"most"	"difficult"	"problems"	"in"	"the"	"months"	"to"	"come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"two"	"themselves"	"the"	"better"	"the_two"	"two_themselves"	"themselves_better"	"heads_of_state_the_two"	"the_two_themselves"	"two_themselves_better"	"themselves_better_hamiltonians"	"NN"	"DT"	"CD"	"VB"	"PRP"	"JJR"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"state"	"rights"	"was"	"formulate"	"by"	"jefferson"	"and"	"madison"	"in"	"the"	"kentucky"	"virginia"	"resolves"	"but"	"in"	"their"	"later"	"as"	"heads_of_state"	"the"	"two"	"prove"	"themselves"	"better"	"hamiltonians"	"than"	"jeffersonians"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"n't"	"it"	"has"	"yet"	"has_n't"	"n't_it"	"it_yet"	"triandos_has_n't"	"has_n't_it"	"n't_it_yet"	"it_yet_,"	"NNP"	"VBZ"	"RB"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"triandos"	"n't"	"prove"	"it"	"yet"	"but"	"he"	"say"	"he"	"be"	"convinced"	"his"	"thumb"	"be"	"all_right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"works"	"disappointing"	"the"	"."	"the_works"	"works_disappointing"	"disappointing_."	"that_the_works"	"the_works_disappointing"	"works_disappointing_."	"disappointing_._∅"	"IN"	"DT"	"NNS"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"chains"	"of"	"movements"	"be"	"not"	"necessarily"	"communicative"	"and"	"be"	"in"	"the"	"realm"	"of"	"communication"	"that"	"the"	"works"	"prove"	"disappointing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"it"	"to"	"although"	"be"	"although_it"	"it_to"	"to_be"	",_although_it"	"although_it_to"	"it_to_be"	"to_be_twice"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"north"	"portion"	"of"	"the"	"essex"	"bridge"	"be"	"worth"	"the"	"cost"	"of"	"construction"	"although"	"it"	"prove"	"to"	"be"	"twice"	"what"	"was"	"estimate"	"in_the_beginning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
