"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"5:00:00:uneventful:00"	"a"	"little"	"be"	"suburb"	"be_a"	"a_little"	"little_suburb"	"there_be_a"	"be_a_little"	"a_little_suburb"	"little_suburb_by"	"EX"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"ireland"	"location"	"near"	"the"	"there"	"be"	"a"	"quiet"	"little"	"suburb"	"by"	"the"	"name"	"of"	"location"	"which"	"mean"	"garden"	"of"	"person"	
"3:00:01::"	"very"	"."	"be"	"∅"	"be_very"	"very_."	"._∅"	"person_be_very"	"be_very_."	"very_._∅"	"._∅_∅"	"NNP"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"very"	"quiet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:soft:04"	"still"	"."	"voice"	"∅"	"voice_still"	"still_."	"._∅"	"his_voice_still"	"voice_still_."	"still_._∅"	"._∅_∅"	"PRP$"	"NN"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_right"	"person"	"say"	"his"	"still"	"quiet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"night"	"in"	"."	"in_the"	"the_night"	"night_."	"lie_dormant_in_the"	"in_the_night"	"the_night_."	"night_._∅"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"nine"	"o'clock"	"in"	"the"	"morning"	"the"	"hour"	"which"	"like"	"a"	"spade"	"turn"	"clod"	"of"	"earth"	"expose"	"to"	"the"	"day"	"a"	"myriad"	"of"	"busy"	"creature"	"that"	"had"	"lie_dormant"	"in"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"them"	"serve"	"despite"	"serve_to"	"to_them"	"them_despite"	"would_serve_to"	"serve_to_them"	"to_them_despite"	"them_despite_their"	"MD"	"VB"	"TO"	"VB"	"PRP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"person"	"and"	"person"	"life"	"were"	"threaten"	"by"	"the"	"mexican"	"following"	"the"	"killing"	"but"	"the"	"company"	"officer"	"feel"	"that"	"in_the_end"	"would"	"serve"	"to"	"quiet"	"them"	"despite"	"their"	"immediate"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	","	"be"	"well-kept"	"be_a"	"a_,"	",_well-kept"	"church_be_a"	"be_a_,"	"a_,_well-kept"	",_well-kept_house"	"NN"	"VB"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"side"	"the"	"church"	"be"	"a"	"quiet"	"well-kept"	"house"	"with"	"shutter"	"and"	"recently"	"paint"	"0"	"0"	"0"	"0"	
"3:00:02::"	"be"	"in"	"all"	"the"	"all_be"	"be_in"	"in_the"	"∅_all_be"	"all_be_in"	"be_in_the"	"in_the_office"	"ε"	"DT"	"VB"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"quiet"	"in"	"the"	"office"	"of"	"the"	"group"	"and"	"the"	"local"	"person"	"yesterday"	"0"	"0"	"0"	
"3:00:02::"	"so"	","	"not"	"however"	"not_so"	"so_,"	",_however"	"be_not_so"	"not_so_,"	"so_,_however"	",_however_."	"VB"	"RB"	"RB"	"JJ"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"campaign"	"lead_up"	"to"	"election"	"be"	"not"	"so"	"quiet"	"however"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"for"	"."	"necessity"	"∅"	"necessity_for"	"for_."	"._∅"	"earlier_necessity_for"	"necessity_for_."	"for_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"feel"	"a"	"puppyish"	"need"	"for"	"as"	"strong"	"as"	"his"	"earlier"	"necessity"	"for"	"quiet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"family"	"in"	"plot"	"in_the"	"the_family"	"family_plot"	"box_in_the"	"in_the_family"	"the_family_plot"	"family_plot_."	"NN"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"hold"	"the"	"funeral"	"the"	"next"	"morning"	"from"	"crossroads"	"church"	"and"	"bury"	"the"	"little"	"box"	"in"	"the"	"quiet"	"family"	"plot"	"0"	"0"	"0"	"0"	
