"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"4:02:01::"	"could"	"literally"	","	"depend_on"	",_could"	"could_literally"	"literally_depend_on"	"for_example_,_could"	",_could_literally"	"could_literally_depend_on"	"literally_depend_on_a"	"RB"	"ε"	"MD"	"RB"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"family"	"survival"	"on"	"our"	"own"	"frontier"	"for_example"	"could"	"quite"	"literally"	"depend_on"	"a"	"man"	"strength"	"and"	"ability"	"to"	"bring_home_the_bacon"	"and"	"the"	"dependent"	"wife"	"seldom"	"question"	"his"	"judgment"	"about"	"anything"	"include"	"the"	"marriage"	"bed"	
"4:02:02::"	"him"	"a"	"know"	"while"	"know_him"	"him_a"	"a_while"	"'ve_know_him"	"know_him_a"	"him_a_while"	"a_while_''"	"VBP"	"VB"	"PRP"	"RB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"i"	"know"	"quite"	"a"	"while"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"be"	"readily"	"data"	"available"	"data_be"	"be_readily"	"readily_available"	"verify_data_be"	"data_be_readily"	"be_readily_available"	"readily_available_and"	"VB"	"NN"	"VB"	"RB"	"RB"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"field"	"of"	"the"	"scientifically"	"verify"	"data"	"be"	"quite"	"readily"	"available"	"and"	"any"	"discussion"	"can"	"be"	"shorten"	"with"	"good"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"a"	"different"	"had"	"effect"	"had_a"	"a_different"	"different_effect"	"death_had_a"	"had_a_different"	"a_different_effect"	"different_effect_."	"NN"	"VBD"	"DT"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"person"	"person"	"had"	"a"	"quite"	"different"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"be"	"predictable"	"really"	"."	"really_be"	"be_predictable"	"predictable_."	"person_really_be"	"really_be_predictable"	"be_predictable_."	"predictable_._∅"	"NNP"	"RB"	"VB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"quite"	"predictable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"handle"	"a"	"three"	"few"	"three_handle"	"handle_a"	"a_few"	"we_three_handle"	"three_handle_a"	"handle_a_few"	"a_few_small"	"PRP"	"NN"	"VB"	"RB"	"JJ"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"us"	"three"	"handle"	"quite"	"a"	"few"	"small"	"commission"	"from"	"spot"	"drawing"	"for"	"advertising_agency"	"uptown"	"to"	"magazine"	"work"	"and"	"quick"	"lettering"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"not"	"''"	"``"	"."	"``_not"	"not_''"	"''_."	"∅_``_not"	"``_not_''"	"not_''_."	"''_._∅"	"ε"	"ε"	"RB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"quite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"n't"	"fair"	"be"	"."	"be_n't"	"n't_fair"	"fair_."	"that_be_n't"	"be_n't_fair"	"n't_fair_."	"fair_._∅"	"RB"	"VB"	"RB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"that"	"n't"	"quite"	"fair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"diverse"	"detergent_builder"	"."	"detergent_builder_be"	"be_diverse"	"diverse_."	"for_detergent_builder_be"	"detergent_builder_be_diverse"	"be_diverse_."	"diverse_._∅"	"IN"	"NN"	"VB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"market"	"for"	"detergent_builder"	"be"	"quite"	"diverse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"still"	"small"	"be"	"("	"be_still"	"still_small"	"small_("	"england_be_still"	"be_still_small"	"still_small_("	"small_(_ten"	"NN"	"VB"	"RB"	"RB"	"JJ"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"in"	"the"	"catholic"	"population"	"england"	"be"	"still"	"quite"	"small"	"ten"	"percent"	"or"	"million"	"yet"	"it"	"represent"	"a"	"very"	"considerable"	"percentage"	"of"	"the"	"churchgoing"	"population"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
