"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"2:30:01::"	"be"	"to"	"would"	"pay"	"would_be"	"be_to"	"to_pay"	"workers_would_be"	"would_be_to"	"be_to_pay"	"to_pay_the"	"NNS"	"MD"	"VB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"today"	"propose"	"a"	"mammoth"	"new"	"medical_care"	"program"	"social_security"	"taxes"	"on"	"million"	"american"	"workers"	"would"	"be"	"raise"	"to"	"pay"	"the"	"hospital"	"and"	"some"	"medical_bills"	"of"	"million"	"americans"	"over"	"who"	"are"	"covered"	"by"	"social_security"	"or"	"railroad"	"retirement"	"programs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"money"	","	"to"	",_to"	"to_money"	"money_to"	"co._,_to"	",_to_money"	"to_money_to"	"money_to_retire"	"NNP"	"ε"	"TO"	"VB"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"union_oil_co."	"of"	"california_tuesday"	"offer"	"million"	"in"	"debentures"	"to"	"the"	"public"	"through"	"a"	"of"	"underwriters"	"head"	"by"	"dillon"	"read"	"co."	"to"	"raise"	"money"	"to"	"retire"	"a"	"similar"	"amount"	"hold"	"by"	"gulf_oil_corp."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"in"	"budapest"	"manhattan"	"budapest_and"	"and_in"	"in_manhattan"	"in_budapest_and"	"budapest_and_in"	"and_in_manhattan"	"in_manhattan_."	"IN"	"NNP"	"CC"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"serene"	"mrs._wilson"	"be_born"	"in"	"budapest"	"raise"	"in"	"manhattan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"has"	"against"	"nationalism"	"relations"	"nationalism_has"	"has_against"	"against_relations"	"aroused_nationalism_has"	"nationalism_has_against"	"has_against_relations"	"against_relations_between"	"JJ"	"NN"	"VBZ"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"i"	"have"	"emphasize"	"the"	"which"	"an"	"aroused"	"nationalism"	"has"	"raise"	"against"	"relations"	"between"	"christians"	"and"	"non-christians"	"in"	"asia"	"the"	"fact"	"be"	"that"	"this"	"development"	"has"	"also"	"widen"	"the"	"gulf"	"between"	"certain"	"afro-asian"	"religions"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	"exist"	"wages"	"exist_to"	"to_the"	"the_wages"	"not_exist_to"	"exist_to_the"	"to_the_wages"	"the_wages_of"	"RB"	"VB"	"TO"	"VB"	"DT"	"NNS"	"IN"	"officious"	"and"	"improper"	"interference"	"on"	"the"	"subject"	"the"	"price"	"of"	"labor"	"or"	"the"	"wages"	"of"	"mechanics"	"will"	"be"	"regulate"	"by"	"the"	"demand"	"for"	"the"	"manufactured"	"article"	"and"	"the"	"value"	"of_that"	"which"	"is"	"pay"	"for"	"it"	"but"	"the"	"right"	"does"	"exist"	"to"	"the"	"wages"	"of"	"the"	"mechanic"	"by"	"any"	"forced"	"and"	"artificial"	"means"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"equitably"	"design"	"resources"	"design_to"	"to_equitably"	"equitably_resources"	"tax_policies_design_to"	"design_to_equitably"	"to_equitably_resources"	"equitably_resources_for"	"NN"	"VB"	"TO"	"VB"	"RB"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"not_only"	"development"	"programing"	"also"	"establish"	"tax_policies"	"design"	"to"	"raise"	"equitably"	"resources"	"for"	"investment"	"fiscal"	"and"	"monetary"	"policies"	"design"	"to"	"prevent"	"serious"	"inflation"	"and"	"regulatory"	"policies"	"aim"	"to"	"attract"	"the"	"financial"	"and"	"managerial"	"resources"	"of"	"foreign"	"investment"	"and"	"to"	"prevent"	"excessive"	"luxury"	"consumption"	"by"	"a_few"	
"2:32:00::"	"question"	"by"	"main"	"the"	"main_question"	"question_by"	"by_the"	"the_main_question"	"main_question_by"	"question_by_the"	"by_the_incident"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"question"	"raise"	"by"	"the"	"incident"	"be"	"how"	"much"	"longer"	"will"	"un"	"bury"	"its"	"head"	"in"	"the"	"sand"	"on"	"the"	"congo"	"problem"	"instead"	"of"	"face"	"the"	"bitter"	"fact"	"that"	"it"	"have"	"no"	"solution"	"in"	"present"	"terms"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"has"	"the"	"development"	"question"	"development_has"	"has_the"	"the_question"	"this_development_has"	"development_has_the"	"has_the_question"	"the_question_whether"	"DT"	"NN"	"VBZ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interviews"	"with"	"several"	"church"	"leaders"	"disclose"	"that"	"this"	"development"	"has"	"raise"	"the"	"question"	"whether"	"the"	"peace_corps"	"will"	"be"	"able"	"to"	"prevent"	"confusion"	"for"	"church"	"and"	"state"	"over"	"methods"	"means"	"and"	"goals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"at"	"additional"	"stab"	"revenues"	"stab_at"	"at_additional"	"additional_revenues"	"another_stab_at"	"stab_at_additional"	"at_additional_revenues"	"additional_revenues_through"	"DT"	"NN"	"IN"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"either"	"case"	"it"	"could"	"call"	"a"	"special"	"session"	"of"	"legislature"	"later"	"in"	"to"	"make"	"another"	"stab"	"at"	"raise"	"additional"	"revenues"	"through"	"a"	"tax"	"raiser"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"bail"	"unable"	"and"	"unable_to"	"to_bail"	"bail_and"	"be_unable_to"	"unable_to_bail"	"to_bail_and"	"bail_and_was"	"VB"	"JJ"	"TO"	"VB"	"NN"	"CC"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hold"	"as"	"a"	"material"	"witness"	"in"	"the"	"compulsory"	"prostitution"	"of"	"mickey_jelke"	"the"	"comely"	"courtesan"	"be"	"unable"	"to"	"raise"	"bail"	"and"	"was"	"commit"	"to"	"the"	"women"	"house"	"of"	"detention"	"a"	"terribly"	"overcrowded"	"prison"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
