"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"1:09:00::"	"for"	"."	"young"	"∅"	"young_for"	"for_."	"._∅"	"too_young_for"	"young_for_."	"for_._∅"	"._∅_∅"	"RB"	"JJ"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"enjoy"	"a"	"paradoxical"	"freedom"	"we"	"be"	"still"	"too"	"young"	"for"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"public"	"."	"in"	"∅"	"in_public"	"public_."	"._∅"	"program_in_public"	"in_public_."	"public_._∅"	"._∅_∅"	"NN"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal"	"program"	"of"	"vocational"	"education"	"merely"	"provide"	"financial_aid"	"encourage"	"the"	"establishment"	"of"	"vocational"	"education"	"program"	"in"	"public"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"area"	"."	"toward"	"∅"	"toward_area"	"area_."	"._∅"	"trend_toward_area"	"toward_area_."	"area_._∅"	"._∅_∅"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"title"	"program"	"of"	"the"	"national_defense_education_act"	"of"	"be"	"a"	"spur"	"to"	"this"	"trend"	"toward"	"area"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"in"	"on"	"the"	"on_the"	"the_in"	"in_the"	"check_on_the"	"on_the_in"	"the_in_the"	"in_the_area"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"check"	"the"	"school"	"in"	"the"	"area"	"the"	"quality"	"of"	"teaching"	"and"	"the"	"provision"	"for"	"transportation"	"to"	"and"	"from"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"most"	"program"	"in"	"have"	"in_most"	"most_program"	"program_have"	"stress_in_most"	"in_most_program"	"most_program_have"	"program_have_little"	"VB"	"IN"	"JJ"	"NN"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"cognizance"	"of"	"the"	"fact"	"so"	"overlooked"	"that"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"have"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a_few"	"district"	"in"	"one"	"in_a_few"	"a_few_district"	"district_one"	"∅_in_a_few"	"in_a_few_district"	"a_few_district_one"	"district_one_find"	"ε"	"IN"	"JJ"	"NN"	"NN"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_few"	"school"	"district"	"one"	"find"	"a"	"link"	"between"	"school"	"and"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"between"	"and"	"link"	"job"	"link_between"	"between_and"	"and_job"	"a_link_between"	"link_between_and"	"between_and_job"	"and_job_."	"DT"	"NN"	"IN"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a_few"	"school"	"district"	"find"	"a"	"link"	"between"	"school"	"and"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"in"	"of"	"further"	"of_the"	"the_in"	"in_further"	"interest_of_the"	"of_the_in"	"the_in_further"	"in_further_educational"	"NN"	"IN"	"DT"	"NN"	"IN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"adult_education"	"course"	"work-study_program"	"of"	"various"	"sort"	"these"	"be"	"evidence"	"of"	"a"	"continuing"	"interest"	"of"	"the"	"school"	"in"	"further"	"educational"	"opportunity"	"for"	"out-of-school"	"youth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"suburban"	","	"the"	"i"	"the_suburban"	"suburban_,"	",_i"	"with_the_suburban"	"the_suburban_,"	"suburban_,_i"	",_i_shall"	"VB"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"later"	"deal"	"with"	"the"	"suburban"	"school"	"i"	"shall"	"discuss"	"the"	"importance"	"of"	"arrange"	"a"	"program"	"for"	"the"	"academically"	"talented"	"and"	"highly"	"gifted"	"youth"	"in"	"any"	"high_school"	"where"	"he"	"is"	"find"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"which"	"be"	"offer"	"be_a"	"a_which"	"which_offer"	"should_be_a"	"be_a_which"	"a_which_offer"	"which_offer_significant"	"MD"	"VB"	"DT"	"NN"	"WDT"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"view"	"should"	"be"	"a"	"school"	"which"	"offer"	"significant"	"vocational_program"	"for"	"boy"	"within"	"easy"	"reach"	"of"	"every"	"family"	"in"	"a"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
