"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:30:00::"	"who"	"their"	"subjects"	"kohnstamm"	"subjects_who"	"who_their"	"their_kohnstamm"	"those_subjects_who"	"subjects_who_their"	"who_their_kohnstamm"	"their_kohnstamm_reactivity"	"DT"	"NNS"	"WP"	"VB"	"PRP$"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"prediction"	"had"	"been"	"make"	"about"	"the"	"in"	"security"	"or"	"self-confidence"	"between"	"those"	"subjects"	"who"	"shift"	"their"	"kohnstamm"	"reactivity"	"when"	"inform"	"and"	"those"	"who"	"did"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"their"	"those"	"reactions"	"those_who"	"who_their"	"their_reactions"	"for_those_who"	"those_who_their"	"who_their_reactions"	"their_reactions_after"	"IN"	"DT"	"WP"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"suggestion"	"hypothesis"	"also"	"seem"	"as"	"an"	"explanation"	"for"	"those"	"who"	"shift"	"their"	"reactions"	"after"	"they"	"were"	"inform"	"of"	"the"	"of"	"normal"	"reactions"	"different"	"from"	"those"	"which"	"they"	"give"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"is"	"his"	"world_power"	"way"	"world_power_is"	"is_his"	"his_way"	"of_world_power_is"	"world_power_is_his"	"is_his_way"	"his_way_,"	"IN"	"NN"	"VBZ"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"long"	"as"	"mr._khrushchev"	"be"	"convinced"	"the"	"balance"	"of"	"world_power"	"is"	"shift"	"his"	"way"	"no"	"amount"	"of"	"either"	"smiles"	"or"	"toughness"	"neither"	"camp_david"	"talks"	"nor"	"kitchen"	"debates"	"can"	"compel"	"him"	"to"	"enter"	"fruitful"	"negotiations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"to"	"that"	"necessary"	"balance"	"necessary_to"	"to_that"	"that_balance"	"effort_necessary_to"	"necessary_to_that"	"to_that_balance"	"that_balance_."	"NN"	"JJ"	"TO"	"VB"	"IN"	"NN"	"ε"	"had"	"set"	"for"	"himself"	"the"	"task"	"which"	"he"	"believe"	"vital"	"of"	"awaken"	"the"	"u._s."	"and"	"its"	"allies"	"to"	"the"	"hard"	"and"	"complex"	"effort"	"necessary"	"to"	"that"	"balance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"has"	"the"	","	"whole"	",_has"	"has_the"	"the_whole"	"co._,_has"	",_has_the"	"has_the_whole"	"the_whole_attention"	"NNP"	"ε"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"effect"	"chou_en-lai"	"clash"	"with"	"khrushchev"	"together"	"with"	"the"	"everlasting"	"on"	"molotov"	"co."	"has"	"shift"	"the"	"whole"	"attention"	"of"	"the"	"world"	"include"	"that"	"of"	"the"	"soviet"	"people"	"from"	"the"	"epoch-making"	"twenty-year"	"program"	"to"	"the"	"present"	"soviet-chinese"	"conflict"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"the"	"from"	"describe"	"a"	"describe_the"	"the_from"	"from_a"	"to_describe_the"	"describe_the_from"	"the_from_a"	"from_a_classic"	"TO"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central"	"concern"	"of"	"person"	"impressive"	"called"	"mimesis"	"be"	"to"	"describe"	"the"	"shift"	"from"	"a"	"classic"	"theory"	"of"	"imitation"	"based"	"upon"	"a"	"recognition"	"of"	"level"	"of"	"truth"	"to"	"a"	"christian"	"theory"	"of"	"imitation"	"in"	"which"	"the"	"level"	"are"	"dissolve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"single"	"only"	"a"	"and"	"a_single"	"single_only"	"only_and"	"for_a_single"	"a_single_only"	"single_only_and"	"only_and_rely_upon"	"IN"	"DT"	"JJ"	"NN"	"RB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"the"	"possibility"	"your"	"cafeteria"	"for"	"a"	"single"	"shift"	"only"	"and"	"rely_upon"	"vending_machine"	"or"	"prepackaged"	"sandwich"	"for"	"the"	"second"	"and"	"third"	"shift"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"third"	"operation"	"and"	"?"	"and_third"	"third_operation"	"operation_?"	"-_and_third"	"and_third_operation"	"third_operation_?"	"operation_?_∅"	"ε"	"CC"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"the"	"possibility"	"operate"	"your"	"cafeteria"	"for"	"a"	"single"	"shift"	"only"	"and"	"rely_upon"	"vending_machine"	"or"	"prepackaged"	"sandwich"	"for"	"second"	"and"	"third"	"shift"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"last"	"both"	"his"	"before"	"his_last"	"last_both"	"both_before"	"work_his_last"	"his_last_both"	"last_both_before"	"both_before_and"	"VB"	"PRP$"	"JJ"	"NN"	"DT"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"require"	"each"	"employee"	"work"	"his"	"last"	"shift"	"both"	"before"	"and"	"after"	"the"	"holiday"	"to"	"be"	"eligible"	"for"	"pay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"person"	"his"	"∅"	"gaze"	"∅_person"	"person_his"	"his_gaze"	"∅_∅_person"	"∅_person_his"	"person_his_gaze"	"his_gaze_to"	"ε"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shift"	"his"	"gaze"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
