"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:04:03::"	"flu"	","	"-"	"sun"	"-_flu"	"flu_,"	",_sun"	"services_-_flu"	"-_flu_,"	"flu_,_sun"	",_sun_lamp"	"NN"	"ε"	"NN"	"NN"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"indiscriminately"	"offer"	"medical"	"services"	"flu"	"shot"	"sun"	"lamp"	"treatment"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"single"	"arm"	"fire"	"with"	"fire_single"	"single_arm"	"arm_with"	"slow_fire_single"	"fire_single_arm"	"single_arm_with"	"arm_with_modern"	"JJ"	"VB"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"firearm"	"and"	"ammunition"	"manufacturer"	"through"	"diligent"	"research"	"and"	"technical"	"have"	"replace"	"the"	"muzzle_loader"	"and"	"slow"	"fire"	"single"	"shot"	"arm"	"with"	"modern"	"fast"	"fire"	"autoloader"	"extremely"	"accurate"	"bolt"	"lever"	"and"	"slide_action"	"firearm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"come"	"determine"	"from"	"determine_the"	"the_come"	"come_from"	"could_determine_the"	"determine_the_come"	"the_come_from"	"come_from_the"	"MD"	"VB"	"DT"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_near_as"	"person"	"determine"	"the"	"shot"	"come"	"from"	"the"	"direction"	"of"	"the"	"location"	"ranch_house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"first"	"person"	"the"	"had"	"the_first"	"first_person"	"person_had"	"at_the_first"	"the_first_person"	"first_person_had"	"person_had_hurl"	"IN"	"DT"	"JJ"	"NN"	"NNP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"first"	"shot"	"person"	"had"	"hurl"	"his"	"mount"	"to"	"the"	"left"	"toward"	"the"	"side"	"of"	"the"	"winding"	"draw"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"five"	"("	"of"	"*"	"of_five"	"five_("	"(_*"	"set_of_five"	"of_five_("	"five_(_*"	"(_*_*"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"marksman"	"we"	"set"	"of"	"five"	"shot"	"f"	"for"	"the"	"mouse"	"we"	"restrict"	"attention"	"to"	"litter"	"of"	"eight"	"f"	"and"	"for"	"the"	"ace"	"we"	"toss"	"three"	"dice"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"third"	"and"	"his"	"one"	"his_third"	"third_and"	"and_one"	"on_his_third"	"his_third_and"	"third_and_one"	"and_one_on"	"IN"	"PRP$"	"JJ"	"NN"	"CC"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"marksman"	"get"	"two"	"one"	"on"	"his"	"third"	"shot"	"and"	"one"	"on"	"his"	"fifth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"had"	"that"	"stun"	"that_the"	"the_had"	"had_stun"	"much_that_the"	"that_the_had"	"the_had_stun"	"had_stun_the"	"RB"	"IN"	"DT"	"NN"	"VBD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"not"	"much"	"that"	"the"	"shot"	"had"	"stun"	"the"	"audience"	"as"	"that"	"they"	"had"	"been"	"stun"	"already"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"1961"	"at"	"first"	"baseball"	"first_1961"	"1961_at"	"at_baseball"	"their_first_1961"	"first_1961_at"	"1961_at_baseball"	"at_baseball_'s"	"PRP$"	"JJ"	"CD"	"NN"	"IN"	"NN"	"POS"	"o'clock"	"the"	"group"	"who"	"give"	"the"	"group"	"as"	"much"	"trouble"	"as"	"anyone"	"did"	"in"	"break_even"	"with"	"them"	"get"	"their"	"first"	"shot"	"baseball"	"world"	"champion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:06::"	"a"	"."	"flub"	"∅"	"flub_a"	"a_."	"._∅"	"ever_flub_a"	"flub_a_."	"a_._∅"	"._∅_∅"	"RB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"he"	"also"	"achieve"	"something"	"that"	"endear"	"to"	"every"	"duffer"	"who"	"ever"	"flub"	"a"	"shot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:06::"	"second"	"."	"his"	"∅"	"his_second"	"second_."	"._∅"	"into_his_second"	"his_second_."	"second_._∅"	"._∅_∅"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"narrow"	"fairway"	"of"	"a"	"yard"	"person"	"whip"	"into"	"his"	"second"	"shot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
