"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:26:00::"	"the"	"in"	"when"	"laos"	"when_the"	"the_in"	"in_laos"	"moment_when_the"	"when_the_in"	"the_in_laos"	"in_laos_threaten"	"NN"	"WRB"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"be"	"there"	"a"	"moment"	"when"	"the"	"situation"	"in"	"laos"	"threaten"	"to"	"ignite"	"another"	"war"	"among"	"the"	"world"	"giant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"religious"	"which"	"and"	"has"	"and_religious"	"religious_which"	"which_has"	"philosophical_and_religious"	"and_religious_which"	"religious_which_has"	"which_has_been"	"JJ"	"CC"	"JJ"	"NN"	"WDT"	"VBZ"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"polar"	"concern"	"imitation"	"vs."	"formalism"	"a"	"philosophical"	"and"	"religious"	"situation"	"which"	"has"	"been"	"develop"	"over"	"a"	"long"	"period_of_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"third"	"be"	"a"	"."	"a_third"	"third_be"	"be_."	"∅_a_third"	"a_third_be"	"third_be_."	"be_._∅"	"ε"	"DT"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"third"	"situation"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"price"	"in"	"probable"	"your"	"probable_price"	"price_in"	"in_your"	"the_probable_price"	"probable_price_in"	"price_in_your"	"in_your_field"	"DT"	"JJ"	"NN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"probable"	"price"	"situation"	"in"	"your"	"field"	"been"	"forecast"	"as"	"a"	"basis"	"for"	"future"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"present"	"."	"the"	"∅"	"the_present"	"present_."	"._∅"	"in_the_present"	"the_present_."	"present_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"abandon"	"the"	"study"	"in"	"the"	"face"	"of"	"their"	"promising"	"outlook"	"for"	"all"	"concerned"	"b."	"enter"	"on-again-off-again"	"negotiation"	"with"	"c."	"o."	"which"	"result"	"in"	"the"	"present"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"some"	"."	"in"	"∅"	"in_some"	"some_."	"._∅"	",_in_some"	"in_some_."	"some_._∅"	"._∅_∅"	"ε"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"expedient"	"thing"	"yes"	"very"	"true"	"one"	"must"	"as"	"one"	"could"	"in"	"some"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"."	"illuminate"	"∅"	"illuminate_the"	"the_."	"._∅"	"has_illuminate_the"	"illuminate_the_."	"the_._∅"	"._∅_∅"	"VBZ"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"evangelism"	"and"	"congregational"	"outreach"	"have"	"not"	"been"	"carefully"	"study"	"in"	"the"	"one"	"study"	"in"	"pittsburgh"	"however"	"has"	"illuminate"	"the"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"this"	"look_at"	"way"	"look_at_the"	"the_this"	"this_way"	"we_look_at_the"	"look_at_the_this"	"the_this_way"	"this_way_,"	"PRP"	"VB"	"DT"	"NN"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"look_at"	"the"	"situation"	"this"	"way"	"we"	"can"	"get"	"an"	"idea"	"of"	"person"	"nightmarish"	"worry"	"or"	"at_least"	"of"	"the"	"worry"	"he"	"might"	"have"	"if"	"his"	"enemy"	"were"	"dispose"	"to"	"exploit"	"their"	"advantage"	"0"	"0"	
"1:26:00::"	"the"	"he"	"with"	"had"	"with_the"	"the_he"	"he_had"	"concern_with_the"	"with_the_he"	"the_he_had"	"he_had_help"	"VB"	"IN"	"DT"	"NN"	"PRP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"hang_up"	"with"	"a"	"bang"	"annoyed"	"at"	"himself"	"for"	"like"	"that"	"but"	"still"	"terribly"	"concern"	"with"	"the"	"situation"	"he"	"had"	"help"	"to"	"create"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"factual"	"with"	"the"	"which"	"the_factual"	"factual_with"	"with_which"	"in_the_factual"	"the_factual_with"	"factual_with_which"	"with_which_he"	"VB"	"DT"	"JJ"	"NN"	"IN"	"WDT"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"will"	"not"	"be"	"surprised"	"to"	"find"	"general"	"principle"	"produce"	"conflicting"	"result"	"in"	"the"	"factual"	"situation"	"with"	"which"	"he"	"is"	"confront"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
