"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:14:00::"	"our"	"have"	"does"	"a"	"does_our"	"our_have"	"have_a"	"∅_does_our"	"does_our_have"	"our_have_a"	"have_a_runaway"	"ε"	"VBZ"	"PRP$"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"society"	"have"	"a"	"runaway"	"uncontrollable"	"growth"	"of"	"technology"	"which"	"may"	"end"	"our"	"civilization"	"or"	"a"	"normal"	"healthy"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"new"	","	"wholly"	"we"	"wholly_new"	"new_,"	",_we"	"a_wholly_new"	"wholly_new_,"	"new_,_we"	",_we_could"	"DT"	"RB"	"JJ"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"were"	"a"	"wholly"	"new"	"society"	"we"	"could"	"insist"	"that"	"our"	"social"	"political"	"economic"	"and"	"philosophic"	"institution"	"foster"	"rather"	"than"	"hamper"	"man"	"best"	"growth"	"0"	"0"	"0"	"0"	
"1:14:00::"	"our"	"."	"in"	"∅"	"in_our"	"our_."	"._∅"	"place_in_our"	"in_our_."	"our_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"corporation"	"have"	"a"	"specific"	"place"	"in"	"our"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"humane"	";"	"a"	"and"	"a_humane"	"humane_;"	";_and"	"assure_a_humane"	"a_humane_;"	"humane_;_and"	";_and_for"	"VB"	"DT"	"JJ"	"NN"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avoid"	"runaway"	"technology"	"can"	"be"	"only"	"by"	"assure"	"a"	"humane"	"society"	"and"	"for"	"this"	"human_being"	"must"	"be"	"firmly"	"in"	"control"	"of"	"the"	"economics"	"on"	"which"	"our"	"society"	"rest"	"0"	"0"	"0"	
"1:14:00::"	"our"	"rest"	"which"	"."	"which_our"	"our_rest"	"rest_."	"on_which_our"	"which_our_rest"	"our_rest_."	"rest_._∅"	"RB"	"RB"	"PRP$"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avoid"	"runaway"	"technology"	"can"	"be"	"do"	"only"	"by"	"assure"	"a"	"humane"	"society"	"and"	"for"	"this"	"human_being"	"must"	"be"	"firmly"	"in"	"control"	"of"	"the"	"on"	"which"	"our"	"society"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"classless"	"under"	"a"	"a"	"a_classless"	"classless_under"	"under_a"	"of_a_classless"	"a_classless_under"	"classless_under_a"	"under_a_socialist"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"the"	"long"	"road"	"that"	"had"	"take"	"liberal"	"in_this"	"country"	"into"	"the"	"social"	"religion"	"of"	"democracy"	"into"	"a"	"worship"	"of"	"man"	"lead"	"logically"	"to"	"the"	"marxist"	"dream"	"of"	"a"	"society"	"under"	"a"	"socialist"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"of"	"."	"view"	"∅"	"view_of"	"of_."	"._∅"	"general_view_of"	"view_of_."	"of_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"that"	"tumultuous"	"painful"	"and"	"costly"	"experience"	"show"	"clearly"	"that"	"a"	"law"	"express"	"a"	"moral"	"judgment"	"cannot"	"be"	"enforce"	"when"	"it"	"have"	"little"	"correspondence"	"with"	"the"	"view"	"of"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"western"	"."	"of"	"∅"	"of_western"	"western_."	"._∅"	"credo_of_western"	"of_western_."	"western_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"particularly"	"be"	"this"	"true"	"as"	"laissez-faire"	"become"	"the"	"dominant"	"credo"	"of"	"western"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"save"	"in_spite_of"	"to"	"himself"	"to_save"	"save_in_spite_of"	"in_spite_of_himself"	"intend_to_save"	"to_save_in_spite_of"	"save_in_spite_of_himself"	"in_spite_of_himself_,"	"VB"	"TO"	"VB"	"NN"	"RB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"the"	"intend"	"to"	"save"	"society"	"in_spite_of"	"himself"	"he"	"invariably"	"find"	"himself"	"in_trouble"	"with"	"the"	"police"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	","	","	"architecture"	"and"	"architecture_,"	",_,"	",_and"	",_architecture_,"	"architecture_,_,"	",_,_and"	",_and_politics"	"ε"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"this"	"principle"	"of"	"division"	"i"	"postpone"	"evolution"	"of"	"sculpture"	"architecture"	"society"	"and"	"politics"	"for"	"the"	"development"	"in"	"these"	"area"	"make_sense"	"only"	"if"	"they"	"be"	"connected"	"to"	"the"	"age"	"of"	"revolution"	"itself"	
