"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"1:04:00::"	"of"	","	"specificity"	"the"	"specificity_of"	"of_,"	",_the"	"improve_specificity_of"	"specificity_of_,"	"of_,_the"	",_the_fluorescein"	"VB"	"NN"	"IN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"attempt"	"improve"	"specificity"	"of"	"staining"	"the"	"fluorescein"	"labeled"	"antiserum"	"use"	"in"	"both"	"direct"	"and"	"indirect"	"method"	"were"	"treat"	"in"	"one"	"of"	"several"	"way"	"they"	"were"	"pass_through"	"dowex-2-chloride"	"twice"	"and"	"treat"	"with"	"acetone"	"insoluble"	"powder"	"person"	"prepare"	"from"	"mouse"	"liver"	"or"	"from"	"healthy"	"sweet_clover"	"stem"	"or"	"crown_gall"	"tissue"	"produce"	"by"	"agrobacterium_tumefaciens"	"person"	"person"	"location"	"on"	"sweet_clover"	"stem"	
"1:04:00::"	"of"	"."	"specificity"	"∅"	"specificity_of"	"of_."	"._∅"	"the_specificity_of"	"specificity_of_."	"of_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"absorption"	"of"	"f"	"with"	"ethyl_acetate"	"or"	"two"	"absorption"	"of"	"f"	"which"	"had"	"been"	"pass_through"	"dowex-2-chloride"	"ns"	"and"	"f"	"with"	"crown_gall"	"tissue"	"powder"	"or"	"mouse"	"liver"	"powder"	"did"	"not"	"further"	"the"	"specificity"	"of"	"staining"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"nonspecific"	"could"	"which"	"be"	"which_nonspecific"	"nonspecific_could"	"could_be"	"by_which_nonspecific"	"which_nonspecific_could"	"nonspecific_could_be"	"could_be_satisfactorily"	"IN"	"WDT"	"JJ"	"NN"	"MD"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"by"	"which"	"nonspecific"	"staining"	"could"	"be"	"satisfactorily"	"remove"	"be"	"by"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"nonspecific"	"."	"remove"	"∅"	"remove_nonspecific"	"nonspecific_."	"._∅"	"satisfactorily_remove_nonspecific"	"remove_nonspecific_."	"nonspecific_._∅"	"._∅_∅"	"RB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"after"	"pass_through"	"f"	"through"	"deae_cellulose"	"the"	"titer"	"of"	"antibody"	"to"	"wtv"	"in"	"the"	"specific"	"fraction"	"be"	"of"	"the"	"titer"	"before"	"such"	"passage"	"precipitin"	"ring"	"test"	"by"	"person"	"but"	"mere"	"dilution"	"of"	"the"	"conjugate"	"did"	"not"	"satisfactorily"	"remove"	"nonspecific"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"specific"	"by"	"∅"	"deae_cellulose"	"∅_specific"	"specific_by"	"by_deae_cellulose"	"∅_∅_specific"	"∅_specific_by"	"specific_by_deae_cellulose"	"by_deae_cellulose_treat"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"staining"	"by"	"deae_cellulose"	"treat"	"f"	"and"	"f"	"although"	"clearly"	"distinguishable"	"under"	"the"	"microscope"	"from"	"either"	"nonspecific"	"staining"	"or"	"autofluorescence"	"of"	"cell"	"was"	"not"	"satisfactorily"	"photograph"	"to"	"show"	"such"	"difference"	"in_spite_of"	"many"	"attempt"	"with"	"black_and_white"	"and"	"color"	"photography"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"nonspecific"	"or"	"either"	"autofluorescence"	"either_nonspecific"	"nonspecific_or"	"or_autofluorescence"	"from_either_nonspecific"	"either_nonspecific_or"	"nonspecific_or_autofluorescence"	"or_autofluorescence_of"	"IN"	"DT"	"JJ"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"specific"	"staining"	"by"	"deae_cellulose"	"treat"	"f"	"and"	"f"	"although"	"clearly"	"under"	"the"	"microscope"	"from"	"either"	"nonspecific"	"staining"	"or"	"autofluorescence"	"of"	"cell"	"was"	"not"	"satisfactorily"	"photograph"	"to"	"show"	"such"	"difference"	"in_spite_of"	"many"	"attempt"	"with"	"black_and_white"	"and"	"color"	"photography"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"specific"	"by"	"of"	"the"	"of_specific"	"specific_by"	"by_the"	"result_of_specific"	"of_specific_by"	"specific_by_the"	"by_the_direct"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"result"	"specific"	"staining"	"by"	"the"	"direct"	"and"	"the"	"indirect"	"method"	"be"	"similar"	"and"	"show"	"the"	"localization"	"of"	"wtv"	"antigen"	"in"	"certain"	"tissue"	"of"	"tumor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	","	"method"	"the"	"method_of"	"of_,"	",_the"	"indirect_method_of"	"method_of_,"	"of_,_the"	",_the_conjugate"	"JJ"	"NN"	"IN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"both"	"the"	"and"	"indirect"	"method"	"of"	"staining"	"the"	"conjugate"	"have"	"nonspecifically"	"staining"	"fraction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"nonspecifically"	"fraction"	"have"	"."	"have_nonspecifically"	"nonspecifically_fraction"	"fraction_."	"conjugate_have_nonspecifically"	"have_nonspecifically_fraction"	"nonspecifically_fraction_."	"fraction_._∅"	"NN"	"VB"	"RB"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"both"	"the"	"direct"	"and"	"indirect"	"of"	"staining"	"the"	"conjugate"	"have"	"nonspecifically"	"staining"	"fraction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"nonspecific"	"in_order"	"cause"	"to"	"cause_nonspecific"	"nonspecific_in_order"	"in_order_to"	"substance_cause_nonspecific"	"cause_nonspecific_in_order"	"nonspecific_in_order_to"	"in_order_to_obtain"	"NN"	"VB"	"JJ"	"NN"	"RB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"our"	"work"	"the"	"best"	"for"	"remove"	"substance"	"cause"	"nonspecific"	"staining"	"in_order"	"to"	"obtain"	"specific"	"conjugate"	"was"	"to"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"and"	"in"	"some"	"case"	"to"	"absorb"	"the"	"first"	"and"	"second"	"milliliter"	"fraction"	"with"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
