"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:42:00::"	"orbit"	"out"	"palladian"	"from"	"palladian_orbit"	"orbit_out"	"out_from"	"the_palladian_orbit"	"palladian_orbit_out"	"orbit_out_from"	"out_from_vicenza"	"DT"	"NNP"	"NN"	"VB"	"RB"	"IN"	"NNP"	"colonnaded"	"cedar-roofed"	"southern"	"mansion"	"be"	"directly"	"traceable"	"via"	"the"	"grey"	"and"	"buff"	"stone"	"of"	"grey-skied"	"england"	"to"	"the"	"golden"	"stucco"	"of"	"one"	"particular"	"part"	"of"	"the_blue"	"south"	"palladian"	"orbit"	"out"	"from"	"vicenza"	"the"	"old"	"mind"	"of"	"andrea_palladio"	"still"	"smile"	"from"	"behind"	"many_an"	"old"	"rocking_chair"	"on"	"a"	"southern"	"porch"	"the"	"deep"	"friezes"	"of"	"his"	"architectonic"	"music"	"rise"	"firm"	"above"	"the"	"shallower"	"freeze"	"in"	"the"	"kitchen"	"his"	"feeling"	"for"	"light"	"and"	"shade"	"bring"	"a"	"glitter"	"from"	"a"	"tall"	"mint_julep"	"his"	"sense"	"of"	"columns"	"frame"	"the"	"warm"	"velvet"	"night"	"has"	"bring_together"	"a_million"	"couple"	"of"	"mating"	"lips"	
"2:29:01::"	"and"	","	"eyes"	"then"	"eyes_and"	"and_,"	",_then"	"her_eyes_and"	"eyes_and_,"	"and_,_then"	",_then_sit_up"	"PRP$"	"NNS"	"CC"	"VB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"rub"	"eyes"	"and"	"stretch"	"then"	"sit_up"	"her"	"hands"	"go_to"	"her"	"hair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"over"	"effort"	"a"	"effort_,"	",_over"	"over_a"	"an_effort_,"	"effort_,_over"	",_over_a"	"over_a_considerable"	"DT"	"NN"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"whole"	"program"	"must"	"conceive_of"	"as"	"an"	"effort"	"stretch"	"over"	"a"	"considerable"	"number"	"of"	"years"	"to"	"alter"	"the"	"basic"	"social"	"and"	"economic_conditions"	"in"	"the"	"less"	"developed"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"schools"	"across"	"of"	"the"	"of_schools"	"schools_across"	"across_the"	"dozens_of_schools"	"of_schools_across"	"schools_across_the"	"across_the_united_states"	"NNS"	"IN"	"NNS"	"VB"	"RB"	"DT"	"NN"	"after"	"pay"	"tribute"	"to"	"the"	"conductor"	"and"	"his"	"white-clad"	"youthful"	"students"	"president_kennedy"	"say"	"as"	"an"	"american"	"i"	"have"	"the"	"greatest"	"pride"	"in"	"the"	"work"	"that_is"	"being"	"in"	"dozens"	"of"	"stretch"	"across"	"the"	"united_states"	"schools"	"where"	"devoted"	"teachers"	"are"	"study"	"with"	"interested"	"young_men"	"and"	"women"	"and"	"open_up"	"the"	"whole"	"wide"	"horizon"	"of"	"serious_music"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"spectacle"	"from"	"a"	"maryland"	"a_spectacle"	"spectacle_from"	"from_maryland"	"provide_a_spectacle"	"a_spectacle_from"	"spectacle_from_maryland"	"from_maryland_and"	"VB"	"DT"	"NN"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"first_half"	"of"	"october"	"the_blue"	"ridge"	"parts"	"of"	"the"	"appalachians"	"provide"	"a"	"spectacle"	"stretch"	"from"	"maryland"	"and"	"west_virginia"	"to"	"georgia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"america"	"out"	"of"	"across"	"of_america"	"america_out"	"out_across"	"heart_of_america"	"of_america_out"	"america_out_across"	"out_across_the"	"NN"	"IN"	"NNP"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"farmlands"	"form"	"heart"	"of"	"america"	"stretch"	"out"	"across"	"the"	"midwest"	"from"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"money"	"for"	"make"	"food"	"make_money"	"money_for"	"for_food"	"about_make_money"	"make_money_for"	"money_for_food"	"for_food_,"	"IN"	"VB"	"NN"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"something"	"have"	"to"	"be"	"do"	"the"	"furnace"	"the"	"fuel"	"bills"	"the"	"washing_machine"	"the"	"doctor"	"dentist"	"bills"	"about"	"make"	"money"	"stretch"	"for"	"food"	"for"	"the"	"mortgage"	"for"	"taxes"	"for"	"shoes"	"for"	"half_soles"	"for"	"overshoes"	"for"	"clothes"	"for"	"the"	"new"	"leaks"	"in"	"the"	"roof"	"for"	"gas"	"and"	"light"	"bills"	"about"	"keep"	"warm"	"about"	"keep"	"well"	"about"	"meet"	"the"	"minor"	"emergencies"	"that"	"come_up"	"once"	"twice"	"fifty"	"times"	"a"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	","	"."	"cat"	"∅"	"cat_,"	",_."	"._∅"	"two_cat_,"	"cat_,_."	",_._∅"	"._∅_∅"	"JJ"	"NN"	"ε"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"at"	"this"	"the"	"one"	"cat"	"suddenly"	"become"	"two"	"cat"	"stretch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"they"	"their"	"as"	"leg"	"as_they"	"they_their"	"their_leg"	"street_as_they"	"as_they_their"	"they_their_leg"	"their_leg_."	"NN"	"IN"	"PRP"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"holdin_'_forth"	"in"	"some"	"bar"	"if"	"he"	"here"	"at_all"	"person"	"declare"	"along"	"the"	"street"	"as"	"they"	"stretch"	"their"	"leg"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"his"	"∅"	"left_hand"	"∅_person"	"person_his"	"his_left_hand"	"∅_∅_person"	"∅_person_his"	"person_his_left_hand"	"his_left_hand_to"	"ε"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stretch"	"his"	"left_hand"	"to"	"the"	"wall"	"and"	"fumble"	"for"	"the"	"switch"	"evil"	"flourish"	"in"	"the"	"dark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
