"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:40:00::"	"is"	"at"	"income"	"high"	"income_is"	"is_at"	"at_high"	"whose_income_is"	"income_is_at"	"is_at_high"	"at_high_rates"	"WP$"	"NN"	"VBZ"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"investors"	"income"	"is"	"tax"	"at"	"high"	"rates"	"though"	"a"	"tax-free"	"yield"	"of"	"per_cent"	"be"	"high"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"state"	"requirements"	"that"	"at_present"	"that_state"	"state_requirements"	"requirements_at_present"	"note_that_state"	"that_state_requirements"	"state_requirements_at_present"	"requirements_at_present_be"	"VB"	"IN"	"NN"	"VB"	"NNS"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"an"	"official"	"statement"	"adopt"	"by"	"the"	"man"	"emory"	"at"	"its"	"annual"	"meeting"	"friday"	"note"	"that"	"state"	"tax"	"requirements"	"at_present"	"be"	"a"	"roadblock"	"to"	"accept"	"negroes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"be"	"to"	"shall"	"such"	"shall_be"	"be_to"	"to_such"	"h_shall_be"	"shall_be_to"	"be_to_such"	"to_such_person"	"NN"	"MD"	"VB"	"VB"	"TO"	"JJ"	"NN"	"the"	"smithfield"	"tax_assessor"	"in_turn"	"claim"	"the"	"tax"	"under"	"the"	"provision"	"of"	"law"	"and"	"all"	"tangible"	"personal_property"	"situate"	"or"	"be"	"in"	"any"	"town"	"in"	"or"	"upon"	"any"	"place"	"of"	"storage"	"h"	"shall"	"be"	"to"	"such"	"person"	"in"	"the"	"town"	"where"	"said"	"property"	"be"	"situated"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"now"	"boats"	"they"	","	"they_now"	"now_boats"	"boats_,"	"whether_they_now"	"they_now_boats"	"now_boats_,"	"boats_,_airplanes"	"IN"	"PRP"	"RB"	"VB"	"NNS"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_reply"	"to"	"a"	"of"	"whether"	"they"	"now"	"tax"	"boats"	"airplanes"	"and"	"movable"	"property"	"exclude"	"automobiles"	"nineteen"	"say"	"that"	"they"	"did"	"and"	"twenty"	"that"	"they"	"did"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"of"	"boats"	"the"	"."	"the_of"	"of_boats"	"boats_."	"in_the_of"	"the_of_boats"	"of_boats_."	"boats_._∅"	"IN"	"DT"	"IN"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interest"	"has"	"been"	"show"	"for"	"a_number_of"	"by"	"local"	"assessors"	"in"	"the"	"of"	"tax"	"boats"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"table"	"or"	","	"or_the"	"the_table"	"table_,"	"deduction_or_the"	"or_the_table"	"the_table_,"	"table_,_and"	"NN"	"CC"	"DT"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"elect"	"to"	"the"	"standard"	"deduction"	"or"	"the"	"tax"	"table"	"and"	"later"	"find"	"you"	"should"	"have"	"itemize"	"your"	"deduction"	"you"	"may"	"do"	"so"	"by"	"file"	"an"	"amended_return"	"within"	"the"	"time"	"prescribed"	"for"	"file"	"a"	"claim"	"for"	"refund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"for"	"purpose"	"act"	","	"act_for"	"for_purpose"	"purpose_,"	"any_act_for"	"act_for_purpose"	"for_purpose_,"	"purpose_,_such_as"	"DT"	"NN"	"IN"	"NN"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"perform"	"any"	"act"	"for"	"tax"	"purpose"	"such_as"	"filing"	"a"	"return"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	
"1:21:00::"	"a"	"payment"	"make"	","	"make_a"	"a_payment"	"payment_,"	"or_make_a"	"make_a_payment"	"a_payment_,"	"payment_,_etc."	"CC"	"VB"	"DT"	"NN"	"NN"	"ε"	"FW"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"for"	"perform"	"any"	"act"	"for"	"purpose"	"such_as"	"filing"	"a"	"return"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"or"	"payment"	"return"	","	"return_or"	"or_payment"	"payment_,"	"a_return_or"	"return_or_payment"	"or_payment_,"	"payment_,_you"	"DT"	"NN"	"CC"	"NN"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"a"	"return"	"or"	"tax"	"payment"	"you"	"must"	"place"	"it"	"in"	"the"	"mail"	"in"	"ample"	"time"	"to"	"reach"	"the"	"district"	"director"	"on"	"or"	"before"	"the"	"due_date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"your"	"in_full"	"pay"	"for"	"pay_your"	"your_in_full"	"in_full_for"	"and_pay_your"	"pay_your_in_full"	"your_in_full_for"	"in_full_for_the"	"CC"	"VB"	"PRP$"	"NN"	"RB"	"IN"	"DT"	"if"	"you"	"were"	"require"	"to"	"file"	"a"	"declaration_of_estimated_tax"	"for"	"the"	"calendar_year"	"it"	"be"	"not"	"necessary"	"to"	"pay"	"the"	"fourth"	"installment"	"due"	"on"	"january"	"if"	"you"	"file"	"your"	"income_tax_return"	"form_1040"	"and"	"pay"	"your"	"in_full"	"for"	"the"	"calendar_year"	"by"	"january"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
