"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"1:09:02::"	"of"	","	"aware"	"of_course"	"aware_of"	"of_,"	",_of_course"	"be_aware_of"	"aware_of_,"	"of_,_of_course"	",_of_course_,"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"not"	"to"	"deny"	"he"	"has"	"be"	"aware"	"of"	"tradition"	"of_course"	"that"	"he"	"is"	"steep"	"in"	"them"	"in_fact"	"or"	"that"	"he"	"has"	"deal"	"with"	"them"	"in"	"his"	"book"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"persistent"	"of"	"most"	"southern"	"most_persistent"	"persistent_of"	"of_southern"	"the_most_persistent"	"most_persistent_of"	"persistent_of_southern"	"of_southern_literature"	"RB"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"the"	"planter"	"aristocracy"	"has"	"appear"	"in"	"literature"	"at_least"	"since"	"person"	"publish"	"swallow-barn"	"in"	"and"	"in"	"his"	"genial"	"portrait"	"of"	"person"	"preside"	"over"	"his"	"plantation"	"dominion"	"the"	"most"	"persistent"	"tradition"	"of"	"southern"	"literature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"of"	"on"	"load"	"his"	"load_of"	"of_on"	"on_his"	"heavy_load_of"	"load_of_on"	"of_on_his"	"on_his_shoulder"	"JJ"	"NN"	"IN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"did"	"n't"	"take"	"person"	"long"	"to"	"realize"	"he"	"have"	"to"	"carry"	"a"	"heavy"	"load"	"of"	"tradition"	"on"	"his"	"shoulder"	"as"	"commander"	"of"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"illustrious"	"of"	"the"	"the"	"the_illustrious"	"illustrious_of"	"of_the"	"sustain_the_illustrious"	"the_illustrious_of"	"illustrious_of_the"	"of_the_group"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"hearty"	"congratulation"	"go"	"to"	"their"	"successor"	"person"	"and"	"who"	"can"	"be"	"count_upon"	"to"	"sustain"	"the"	"illustrious"	"tradition"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"in"	"and"	"∅"	"in"	"∅_in"	"in_and"	"and_in"	"∅_∅_in"	"∅_in_and"	"in_and_in"	"and_in_poetry"	"ε"	"ε"	"IN"	"NN"	"CC"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tradition"	"and"	"in"	"poetry"	"the"	"marriage_bed"	"be"	"a"	"place"	"of"	"unity"	"and"	"harmony"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"natural_law"	"regard"	"roman_catholic"	"as"	"roman_catholic_natural_law"	"natural_law_regard"	"regard_as"	"the_roman_catholic_natural_law"	"roman_catholic_natural_law_regard"	"natural_law_regard_as"	"regard_as_self-evident"	"DT"	"NN"	"NN"	"NN"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"natural_law"	"tradition"	"regard"	"as"	"self-evident"	"that"	"the"	"primary"	"objective"	"purpose"	"of"	"the"	"conjugal"	"act"	"be"	"procreation"	"and"	"that"	"the"	"fostering"	"of"	"the"	"mutual"	"love"	"of"	"the"	"spouse"	"be"	"the"	"secondary"	"and"	"subjective"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"of"	","	"stream"	"to"	"stream_of"	"of_,"	",_to"	"main_stream_of"	"stream_of_,"	"of_,_to"	",_to_which"	"JJ"	"NN"	"IN"	"NN"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"might"	"well"	"emerge"	"as"	"a"	"cultural"	"hero"	"who"	"by"	"the"	"force"	"of"	"his"	"creative"	"life"	"preserve"	"the"	"main"	"stream"	"of"	"tradition"	"to"	"which"	"the"	"surviving"	"idiom"	"of"	"current"	"experimentalism"	"may"	"be"	"eventually"	"add"	"and"	"integrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"''"	"like"	","	"like_the"	"the_''"	"''_,"	"i_like_the"	"like_the_''"	"the_''_,"	"''_,_a"	"PRP"	"VB"	"DT"	"NN"	"ε"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"the"	"tradition"	"a"	"girl"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"venerable"	"in"	"and"	"the"	"and_venerable"	"venerable_in"	"in_the"	"ancient_and_venerable"	"and_venerable_in"	"venerable_in_the"	"in_the_church"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"ancient"	"and"	"venerable"	"tradition"	"in"	"the"	"church"	"which"	"derive"	"however"	"from"	"the"	"heritage"	"of"	"the"	"greek"	"rather"	"than"	"from"	"the"	"bible"	"that"	"god"	"be"	"completely"	"independent"	"of"	"his"	"creation"	"and"	"so"	"have"	"no"	"need"	"of"	"man"	"for"	"accomplish"	"his"	"work"	"in"	"the"	"world"	
"1:09:01::"	"diverse"	"essentially"	"and"	"one"	"and_diverse"	"diverse_essentially"	"essentially_one"	"long_and_diverse"	"and_diverse_essentially"	"diverse_essentially_one"	"essentially_one_be"	"JJ"	"CC"	"JJ"	"NN"	"RB"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"make"	"long"	"and"	"diverse"	"tradition"	"essentially"	"one"	"be"	"that"	"those"	"who"	"have"	"belong_to"	"it"	"have"	"be"	"profoundly"	"in_earnest"	"about"	"be"	"modern"	"man"	"in"	"a"	"distinctively"	"modern_world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"liberal"	"be"	"the"	"an"	"the_liberal"	"liberal_be"	"be_an"	"of_the_liberal"	"the_liberal_be"	"liberal_be_an"	"be_an_enduring"	"IN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"say"	"then"	"that"	"today"	"in"	"our"	"situation"	"the"	"demand"	"for"	"demythologization"	"must"	"be"	"accept"	"without"	"condition"	"we"	"are"	"simply"	"say"	"that"	"at_least"	"much"	"of"	"the"	"liberal"	"be"	"an"	"enduring"	"achievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"a"	"by"	"in"	"person"	"in_a"	"a_by"	"by_person"	"fix_in_a"	"in_a_by"	"a_by_person"	"by_person_'s"	"VB"	"IN"	"DT"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"the"	"conception"	"of"	"the"	"natural"	"community"	"of"	"all"	"originate"	"with"	"the"	"stoic"	"was"	"firmly"	"fix"	"in"	"a"	"tradition"	"by"	"person"	"time"	"although"	"it"	"was"	"not"	"accept"	"by"	"all"	"the"	"theologian"	"philosopher"	"of"	"the"	"middle_ages"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
