"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:42:01::"	","	"to"	"'s"	"sell"	"'s_,"	",_to"	"to_sell"	"chip-o_'s_,"	"'s_,_to"	",_to_sell"	"to_sell_as_well"	"NNP"	"POS"	"ε"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"if"	"morton"	"newest"	"product"	"a"	"corn_chip"	"as"	"chip-o"	"turn_out"	"to"	"sell"	"as_well"	"as"	"its"	"stock"	"did"	"the"	"stock"	"may"	"turn_out"	"to"	"be"	"worth"	"every"	"cent"	"of"	"the"	"prices"	"that"	"the"	"avid"	"buyers"	"bid"	"it"	"up_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"may"	"to"	"stock"	"be"	"stock_may"	"may_to"	"to_be"	"the_stock_may"	"stock_may_to"	"may_to_be"	"to_be_worth"	"DT"	"NN"	"MD"	"VB"	"TO"	"VB"	"JJ"	"morton"	"newest"	"product"	"a"	"corn_chip"	"known"	"as"	"chip-o"	"turn_out"	"to"	"sell"	"as_well"	"as"	"its"	"stock"	"the"	"stock"	"may"	"turn_out"	"be"	"worth"	"every"	"cent"	"of"	"the"	"prices"	"that"	"the"	"avid"	"buyers"	"bid"	"it"	"up_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"that"	"full"	"companies"	"lines"	"companies_that"	"that_full"	"full_lines"	"eight_companies_that"	"companies_that_full"	"that_full_lines"	"full_lines_of"	"CD"	"NNS"	"IN"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seven"	"of"	"eight"	"companies"	"that"	"turn_out"	"full"	"lines"	"of"	"farm"	"machinery"	"say"	"sales"	"by"	"their"	"dealers"	"since"	"the"	"start"	"of"	"august"	"have"	"show"	"gains"	"average"	"nearly"	"above"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"might"	"to"	"mr._levitt"	"be"	"mr._levitt_might"	"might_to"	"to_be"	",_mr._levitt_might"	"mr._levitt_might_to"	"might_to_be"	"to_be_more"	"ε"	"NNP"	"MD"	"VB"	"TO"	"VB"	"RBR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"mayor"	"might"	"turn_out"	"to"	"be"	"more"	"independent"	"than"	"some"	"of"	"his"	"leading"	"supporters"	"would"	"like"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"to"	"2100"	"fiat"	"cars"	"fiat_to"	"to_2100"	"2100_cars"	"enable_fiat_to"	"fiat_to_2100"	"to_2100_cars"	"2100_cars_a"	"VB"	"NNP"	"TO"	"VB"	"CD"	"NNS"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"modern"	"equipment"	"much"	"of_it"	"supply"	"under"	"marshall_plan"	"enable"	"fiat"	"to"	"turn_out"	"cars"	"a"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"to"	")"	"be"	")_,"	",_to"	"to_be"	"046_)_,"	")_,_to"	",_to_be"	"to_be_harpsichord"	"CD"	"ε"	"ε"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"rameau"	"six"	"concerts"	"en"	"sextuor"	"record"	"by"	"l"	"orchestre"	"de"	"chambre"	"pierre_menet"	"bam"	"turn_out"	"to"	"be"	"harpsichord"	"pieces"	"arrange"	"for"	"strings"	"apparently"	"by"	"the"	"composer"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"history"	"to"	"'s"	"pay"	"'s_history"	"history_to"	"to_pay"	"club_'s_history"	"'s_history_to"	"history_to_pay"	"to_pay_tribute"	"NN"	"POS"	"NN"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"largest"	"in"	"the"	"club"	"history"	"turn_out"	"to"	"pay"	"tribute"	"to"	"mrs._self"	"and"	"her"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"they"	"to"	"if"	"be"	"if_they"	"they_to"	"to_be"	",_if_they"	"if_they_to"	"they_to_be"	"to_be_hits"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conversely"	"experimenters"	"would"	"consider"	"as"	"impressive"	"such"	"statements"	"the"	"following"	"which"	"if"	"they"	"turn_out"	"to"	"be"	"hits"	"be"	"so"	"unusual"	"as"	"to"	"be"	"really"	"significant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"has"	","	"it"	"however"	"it_has"	"has_,"	",_however"	"as_it_has"	"it_has_,"	"has_,_however"	",_however_,"	"IN"	"PRP"	"VBZ"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"has"	"turn_out"	"however"	"the"	"excessive"	"enthusiasm"	"in"	"the"	"first"	"instance"	"and"	"the"	"loss"	"of"	"hope"	"in"	"the"	"second"	"be"	"both"	"wrong"	"responses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"his"	"able"	"protoplasmic"	"able_to"	"to_his"	"his_protoplasmic"	"no_longer_able_to"	"able_to_his"	"to_his_protoplasmic"	"his_protoplasmic_pen-and-ink"	"RB"	"JJ"	"TO"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"able"	"to"	"turn_out"	"his"	"protoplasmic"	"pen-and-ink"	"sketches"	"several"	"old"	"favorites"	"be"	"scattered"	"through"	"the"	"present"	"volume"	"thurber"	"has"	"retain"	"unimpaired"	"his"	"vision"	"of"	"humor"	"as"	"a"	"thing"	"of"	"simple"	"unaffected"	"humanness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
