"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"1:14:00::"	"and"	"have"	"college"	"shooting"	"college_and"	"and_have"	"have_shooting"	",_college_and"	"college_and_have"	"and_have_shooting"	"have_shooting_and"	"ε"	"NN"	"CC"	"NN"	"VB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"follow"	"a"	"vigorous"	"campaign"	"of"	"interpretation"	"and"	"leadership"	"development"	"by"	"oep"	"director"	"person"	"today"	"thousand"	"secondary_school"	"college"	"university"	"have"	"shooting"	"and"	"hunting"	"education"	"in"	"their"	"physical_education"	"and"	"recreation"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"state"	","	"the"	"that"	"the_state"	"state_,"	",_that"	"that_the_state"	"the_state_,"	"state_,_that"	",_that_great"	"IN"	"DT"	"JJ"	"NN"	"ε"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"did"	"it"	"happen"	"that"	"the"	"state"	"university"	"that"	"great"	"symbol"	"of"	"american"	"democracy"	"fail"	"to"	"flourish"	"in"	"new_england"	"as"	"it"	"did"	"in"	"part"	"of"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"prepare"	"at"	"to"	"at_the"	"the_prepare"	"prepare_to"	"them_at_the"	"at_the_prepare"	"the_prepare_to"	"prepare_to_matriculate"	"PRP"	"IN"	"DT"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"in"	"the"	"brother"	"decide"	"to"	"enter"	"the"	"group"	"found"	"in"	"and"	"the"	"following"	"spring"	"find"	"them"	"at"	"university"	"prepare"	"to"	"matriculate"	"for"	"the"	"autumn"	"session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"at"	"∅"	"at_the"	"the_."	"._∅"	"lecturer_at_the"	"at_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"the"	"new"	"century"	"open"	"with"	"person"	"begin"	"his"	"professional"	"career"	"in_charge"	"of"	"an"	"apothecary"	"shop"	"in"	"copenhagen"	"and"	"as"	"lecturer"	"university"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"'s"	"for"	"chair"	"for_the"	"the_'s"	"'s_chair"	"apply_for_the"	"for_the_'s"	"the_'s_chair"	"'s_chair_in"	"VB"	"IN"	"DT"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"return"	"to"	"and"	"apply"	"for"	"the"	"university"	"chair"	"in"	"physics"	"but"	"was"	"reject"	"because"	"he"	"was"	"probably"	"consider"	"more"	"a"	"philosopher"	"than"	"a"	"physicist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"at"	"it"	"at_the"	"the_,"	",_it"	"attendance_at_the"	"at_the_,"	"the_,_it"	",_it_was"	"NN"	"IN"	"DT"	"NN"	"ε"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"person"	"at"	"the"	"university"	"it"	"was"	"poorly"	"equip"	"with"	"physical"	"apparatus"	"for"	"experiment"	"in"	"the"	"science"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"and"	"part"	"political"	"part_in"	"in_and"	"and_political"	"active_part_in"	"part_in_and"	"in_and_political"	"and_political_discussion"	"JJ"	"NN"	"IN"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"return"	"in"	"and"	"an"	"active"	"part"	"in"	"university"	"and"	"political"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"relate"	"at"	"that"	"at_the"	"the_relate"	"relate_that"	"student_at_the"	"at_the_relate"	"the_relate_that"	"relate_that_the"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"of"	"event"	"lead"	"to"	"his"	"important"	"discovery"	"still"	"remain"	"ambiguous"	"but"	"it"	"seem"	"that"	"one"	"of"	"the"	"advanced"	"student"	"at"	"the"	"relate"	"that"	"the"	"first"	"direct"	"event"	"that"	"lead"	"to"	"the"	"publication"	"of"	"person"	"discovery"	"occur"	"during"	"a"	"private"	"lecture"	"make"	"before"	"a"	"group"	"of"	"advanced"	"student"	"in"	"the"	"spring"	"of"	
"1:06:00::"	"state-supported"	"where"	"in"	"pressure"	"in_state-supported"	"state-supported_where"	"where_pressure"	"especially_in_state-supported"	"in_state-supported_where"	"state-supported_where_pressure"	"where_pressure_may"	"RB"	"IN"	"JJ"	"NN"	"WRB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"account"	"have"	"been"	"publish"	"of"	"northern"	"liberal"	"in"	"the"	"south"	"up_against"	"prejudice"	"especially"	"in"	"state-supported"	"university"	"where"	"pressure"	"may"	"be"	"strong"	"to"	"uphold"	"the"	"majority"	"view"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"to"	"have"	"attached"	"accreditation"	"attached_to"	"to_have"	"have_accreditation"	"or_attached_to"	"attached_to_have"	"to_have_accreditation"	"have_accreditation_-"	"CC"	"JJ"	"VB"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"will"	"be"	"no"	"mitigation"	"these"	"offence"	"until"	"all"	"art_school"	"independent"	"or"	"attached"	"to"	"university"	"have"	"accreditation"	"as"	"do"	"medical_school"	"by"	"an"	"art"	"accreditation"	"group"	"such_as"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
