"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:07:00::"	"different"	"of"	"three"	"ultraviolet_radiation"	"three_different"	"different_of"	"of_ultraviolet_radiation"	"∅_three_different"	"three_different_of"	"different_of_ultraviolet_radiation"	"of_ultraviolet_radiation_are"	"ε"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"different"	"wavelength"	"of"	"ultraviolet_radiation"	"are"	"select"	"by"	"the"	"variable"	"filter"	"place"	"in_front_of"	"the"	"three"	"mercury"	"xenon"	"light"	"which"	"serve"	"as"	"the"	"ultraviolet"	"source"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"one"	","	"only"	"correspond"	"only_one"	"one_,"	",_correspond"	"second_only_one"	"only_one_,"	"one_,_correspond"	",_correspond_to"	"NN"	"JJ"	"JJ"	"NN"	"ε"	"VB"	"TO"	"signal"	"is"	"amplify"	"and"	"then"	"switch"	"in"	"synchronism"	"with"	"the"	"three"	"ultraviolet_light"	"source"	"which"	"are"	"sequence"	"by"	"the"	"rotating"	"mirror"	"so"	"that"	"during"	"one-twentieth"	"of"	"a"	"second"	"only"	"correspond"	"to"	"red"	"green"	"or"	"blue"	"is"	"see"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"short"	"of"	"much"	"the"	"much_short"	"short_of"	"of_the"	"the_much_short"	"much_short_of"	"short_of_the"	"of_the_ultraviolet_spectrum"	"DT"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_of"	"the"	"cell"	"and"	"microorganism"	"which"	"be"	"transparent"	"visible_light"	"absorb"	"or"	"reflect"	"the"	"much"	"short"	"wavelength"	"of"	"the"	"ultraviolet_spectrum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"cm"	","	"21"	"the"	"21_cm"	"cm_,"	",_the"	"at_21_cm"	"21_cm_,"	"cm_,_the"	",_the_spectrum"	"IN"	"JJ"	"NN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"besides"	"the"	"well-known"	"line"	"at"	"cm"	"wavelength"	"the"	"spectrum"	"of"	"extraterrestrial"	"radio_source"	"may"	"contain"	"sharp"	"line"	"characteristic"	"of"	"atom"	"ion"	"and"	"small"	"molecule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"in"	"standard"	"program"	","	"program_in"	"in_standard"	"standard_,"	"basic_program_in"	"program_in_standard"	"in_standard_,"	"standard_,_spectroscopy"	"JJ"	"NN"	"IN"	"NN"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"basic"	"program"	"in"	"wavelength"	"standard"	"spectroscopy"	"solid-state"	"physics"	"interaction"	"of"	"the"	"free"	"electron"	"and"	"atomic"	"constant"	"which"	"be"	"necessary"	"to"	"provide"	"the"	"foundation"	"for"	"technological"	"progress"	"the"	"group"	"has"	"strengthen"	"its"	"activity"	"in"	"laboratory"	"astrophysics"	
"1:07:00::"	"short"	"and"	"use"	"should"	"use_short"	"short_and"	"and_should"	"those_use_short"	"use_short_and"	"short_and_should"	"and_should_in"	"DT"	"VB"	"JJ"	"NN"	"CC"	"MD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"observation"	"of"	"the"	"radio_emission"	"of"	"a"	"planet"	"which"	"have"	"an"	"atmosphere"	"will"	"probe"	"the"	"atmosphere"	"to_a_greater_extent"	"than"	"those"	"use"	"short"	"wavelength"	"and"	"should"	"in"	"some"	"case"	"give"	"unobtainable"	"information"	"about"	"the"	"characteristic"	"of"	"the"	"solid"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"cm"	"by"	"-"	"person"	"-_cm"	"cm_by"	"by_person"	"1.25_-_cm"	"-_cm_by"	"cm_by_person"	"by_person_and"	"CD"	"ε"	"NN"	"NN"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"study"	"of"	"the"	"radio_emission"	"of"	"the"	"moon"	"and"	"planet"	"begin"	"the"	"detection"	"of"	"the"	"thermal"	"radiation"	"the"	"moon"	"at"	"cm"	"wavelength"	"by"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"meter"	"as"	"15"	"emission"	"15_meter"	"meter_as"	"as_emission"	"about_15_meter"	"15_meter_as"	"meter_as_emission"	"as_emission_from"	"RB"	"JJ"	"NN"	"NN"	"IN"	"NN"	"IN"	"0"	"the"	"radio_emission"	"of"	"a"	"planet"	"was"	"first"	"detect"	"in"	"when"	"person"	"and"	"person"	"identify"	"the"	"origin"	"of"	"interference"	"like"	"radio_noise"	"on"	"their"	"record"	"at"	"about"	"meter"	"wavelength"	"emission"	"from"	"jupiter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"centimeter"	","	"at"	"except"	"at_centimeter"	"centimeter_,"	",_except"	"thermal_emission_at_centimeter"	"at_centimeter_,"	"centimeter_,_except"	",_except_possibly"	"NN"	"IN"	"NN"	"NN"	"ε"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"radio_radiation"	"the"	"sun"	"which"	"is"	"reflect"	"from"	"the"	"moon"	"and"	"should"	"be"	"negligible"	"compare"	"with"	"their"	"thermal_emission"	"at"	"centimeter"	"wavelength"	"except"	"possibly"	"time"	"of"	"exceptional"	"outburst"	"of"	"solar"	"radio_noise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"of"	"from"	"range"	"4.3"	"range_of"	"of_from"	"from_4.3"	"the_range_of"	"range_of_from"	"of_from_4.3"	"from_4.3_mm"	"DT"	"NN"	"IN"	"NN"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"radio_observation"	"of"	"the"	"moon"	"have"	"made"	"over"	"the"	"range"	"of"	"wavelength"	"from"	"mm"	"to"	"cm"	"and"	"the"	"result"	"are"	"summarize"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
