"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"
"2:32:02::"	"i"	"you"	"∅"	"could"	"∅_i"	"i_you"	"you_could"	"∅_∅_i"	"∅_i_you"	"i_you_could"	"you_could_see"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wish"	"you"	"could"	"see"	"the"	"situation"	"as"	"i"	"see"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"harris"	"to"	"and"	"god"	"and_harris"	"harris_to"	"to_god"	"geely_and_harris"	"and_harris_to"	"harris_to_god"	"to_god_they"	"NNP"	"CC"	"NNP"	"VB"	"VB"	"NNP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"make"	"a_couple_of"	"punk"	"detectives"	"geely"	"and"	"harris"	"wish"	"to"	"god"	"they"	"stay"	"out"	"of"	"my"	"way"	"this"	"afternoon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"may"	","	"democrats"	"it"	"democrats_may"	"may_,"	",_it"	"new_york_democrats_may"	"democrats_may_,"	"may_,_it"	",_it_nevertheless"	"NN"	"NNPS"	"MD"	"VB"	"ε"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"this"	"choice"	"be"	"exciting"	"than"	"new_york"	"democrats"	"may"	"wish"	"it"	"nevertheless"	"must"	"be"	"make"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"mrs._long"	"all"	"∅"	"the"	"∅_mrs._long"	"mrs._long_all"	"all_the"	"∅_∅_mrs._long"	"∅_mrs._long_all"	"mrs._long_all_the"	"all_the_juniors"	"ε"	"ε"	"NNP"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wish"	"all"	"the"	"juniors"	"luck"	"in"	"the"	"class"	"and"	"state"	"have"	"fun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"also"	"all"	"mr._barcus"	"the"	"mr._barcus_also"	"also_all"	"all_the"	",_mr._barcus_also"	"mr._barcus_also_all"	"also_all_the"	"all_the_juniors"	"ε"	"NNP"	"RB"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"closing"	"also"	"wish"	"all"	"the"	"juniors"	"luck"	"in"	"their"	"class"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"we"	"to"	"if"	"prevent"	"if_we"	"we_to"	"to_prevent"	"``_if_we"	"if_we_to"	"we_to_prevent"	"to_prevent_monopolistic"	"ε"	"IN"	"PRP"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"compare"	"this"	"statement"	"of"	"a"	"nineteenth-century"	"judge"	"with"	"how"	"congressman_martin"	"according_to"	"the"	"daily_labor_report"	"of"	"sept."	"defend"	"the"	"of"	"enact"	"anti-trust"	"legislation"	"in"	"the"	"field"	"of"	"labor"	"if"	"we"	"wish"	"to"	"prevent"	"monopolistic"	"fixing"	"of"	"wages"	"production"	"or"	"prices"	"and"	"if"	"we"	"wish"	"to"	"preserve"	"the"	"freedom"	"of"	"the"	"employer"	"and"	"his"	"employees"	"to"	"contract"	"on"	"wages"	"hours"	"and"	"conditions"	"of"	"employment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"we"	"to"	"if"	"preserve"	"if_we"	"we_to"	"to_preserve"	"and_if_we"	"if_we_to"	"we_to_preserve"	"to_preserve_the"	"CC"	"IN"	"PRP"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"compare"	"this"	"statement"	"of"	"a"	"nineteenth-century"	"judge"	"with"	"how"	"congressman_martin"	"according_to"	"the"	"daily_labor_report"	"sept."	"defend"	"the"	"necessity"	"of"	"enact"	"anti-trust"	"legislation"	"in"	"the"	"field"	"of"	"labor"	"if"	"we"	"wish"	"to"	"monopolistic"	"fixing"	"of"	"wages"	"production"	"or"	"prices"	"and"	"if"	"we"	"wish"	"to"	"preserve"	"the"	"freedom"	"of"	"the"	"employer"	"and"	"his"	"employees"	"to"	"contract"	"on"	"wages"	"hours"	"and"	"conditions"	"of"	"employment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"always"	"to"	"he"	"be"	"he_always"	"always_to"	"to_be"	"had_he_always"	"he_always_to"	"always_to_be"	"to_be_a"	"VBN"	"PRP"	"RB"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"always"	"wish"	"to"	"be"	"a"	"conductor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"just"	"to"	"i"	"congratulate"	"i_just"	"just_to"	"to_congratulate"	"∅_i_just"	"i_just_to"	"just_to_congratulate"	"to_congratulate_inspector_trimmer"	"ε"	"PRP"	"RB"	"VB"	"VB"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"wish"	"to"	"congratulate"	"inspector_trimmer"	"and"	"his"	"efficient"	"police"	"troops"	"in"	"clean"	"the"	"city"	"of"	"those"	"horrible"	"automobiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"to"	"∅"	"advocate"	"∅_i"	"i_to"	"to_advocate"	"∅_∅_i"	"∅_i_to"	"i_to_advocate"	"to_advocate_two"	"ε"	"ε"	"PRP"	"VB"	"VB"	"VB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wish"	"to"	"advocate"	"two"	"drastic"	"changes"	"in"	"washington_square"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"not"	"to"	"does"	"be"	"does_not"	"not_to"	"to_be"	"``_does_not"	"does_not_to"	"not_to_be"	"to_be_associated"	"ε"	"VBZ"	"RB"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sponsor"	"quote"	"john_mclendon"	"of"	"the"	"mclendon-ebony"	"station"	"group"	"as"	"say"	"the"	"southern_negro"	"is"	"become"	"conscious_of"	"quality"	"and"	"and"	"does"	"not"	"wish"	"to"	"be"	"associated"	"with"	"radio"	"which"	"be"	"any"	"way"	"degrading"	"to"	"his"	"race"	"he"	"tend"	"to"	"shy_away_from"	"the"	"hooting"	"and"	"hollering"	"personalities"	"that"	"originally"	"make"	"negro"	"radio"	"programs"	"famous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"jenny"	"now"	"∅"	"that"	"∅_jenny"	"jenny_now"	"now_that"	"∅_∅_jenny"	"∅_jenny_now"	"jenny_now_that"	"now_that_she"	"ε"	"ε"	"NNP"	"VB"	"RB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wish"	"now"	"that"	"she"	"had"	"have"	"dr._dunne"	"feel"	"that"	"somehow"	"he"	"would"	"n't"	"have"	"allow"	"the"	"dear"	"baby"	"to"	"turn_into"	"triplets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
